duplicate,#,question,choices,answer,explanation,source
,1,"A UX Designer is tasked with ensuring Lightning App Builder apps are mobile-friendly, including interactive elements.What should be the minimum touch screen target size for interactive elements on mobile devices?",A. 24 pixels wide x 24 pixels tall | B. 44 pixels wide x 44 pixels tall | C. 64 pixels wide x 64 pixels tall,B,"The 44x44 pixel minimum touch target size is the industry standard established by Apple's Human Interface Guidelines and echoed by WCAG 2.5.5 (AAA) and Salesforce's own mobile design guidelines. This size accommodates the average human fingertip contact area, reducing tap errors on touchscreens. 24px is too small and causes frequent mis-taps, while 64px is unnecessarily large and wastes screen real estate on mobile devices.",https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=1
,2,Cloud Kicks needs functional components that will be used on many pages. The components need to be consistent with the look and feel of Lightning Experience.What does the Salesforce Lightning Design System (SLDS) provide that will ensure consistency?,A. Experience Lightning Components | B. ComponentBlueprints | C. JavaScript Frameworks | D. Custom Lightning components,B,"SLDS Component Blueprints are HTML/CSS templates that define the visual structure and styling of UI components to match Lightning Experience's look and feel. They provide the CSS classes, markup patterns, and design tokens needed to build consistent interfaces without relying on JavaScript frameworks. Experience Lightning Components (A) and Custom Lightning components (D) are implementation choices, while JavaScript Frameworks (C) are not part of SLDS.",https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=1
,3,"Cloud Kicks (CK) allows its partners to manage leads and opportunities. CK's relationship manager has requested that partners are able to quickly browse and see their opportunities segmented by key attributes:If the opportunity is closing within 2 weeks If it is valued at more than $100,000 Which approach should be used in Experience Builder to enable this?",A. Create a custom Lightning Web Component using a data table for each key attribute. | B. Allow each user to create a filter for each key attribute and link to the opportunities list view. | C. Configure a pre-filtered opportunity list view for each key attribute with the partner group.,C,"Pre-configured list views shared with partner groups provide a guided, low-friction browsing experience without requiring users to build their own filters. This is the declarative, scalable approach in Experience Builder — an admin creates the filtered list views once and shares them with the appropriate partner community group. Option B places burden on end users who may lack skills or time, and option A requires custom development when a no-code solution exists.",https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=1
,4,Cloud Kicks wants to modify one of its custom Lightning Web Components so that its administrators can change the look and feel depending on what type of Lightning page is used in.Which feature should be recommended?,A. Styling hooks | B. CSS loaded as a static resource | C. App Builder styling property | D. SLDS utility classes,C,"App Builder styling properties (also called Design Attributes or targetConfig properties) allow administrators to configure a component's appearance directly within Lightning App Builder without writing code. This gives admins a declarative way to adjust the look and feel per page context. Styling hooks (A) and SLDS utility classes (D) require developer intervention, and loading CSS as a static resource (B) is not an admin-friendly approach.",https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=1
,5,When designing a custom component that includes this clickable icon in a Lookup field:What should be used as the alternative (alt) text?,A. Image of a search button | B. Search | C. Search button | D. Image of a magnifying glass,C,"For interactive/clickable icons, the alt text should describe the function of the element, not its visual appearance. ""Search button"" communicates both the action (search) and the role (button) to screen reader users, providing complete context. ""Search"" alone (B) omits the interactive role, while ""Image of a search button"" (A) and ""Image of a magnifying glass"" (D) describe the visual rather than the function, which is poor accessibility practice.",https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=1
,6,Cloud Kicks marketing development representatives need to process incoming leads. Understanding the typical lead to opportunity is essential to the design.Which three new records would typically be created when they convert a lead?Choose 3 answers,A. Contact | B. Activity | C. Converted Lead | D. Account | E. Opportunity,"A,D,E","When a Lead is converted in Salesforce, the system creates three new records: a Contact (person), an Account (company), and an Opportunity (potential deal). This is standard Salesforce lead conversion behavior. Activities (B) are not automatically created during conversion, and ""Converted Lead"" (C) is not a separate object — the original Lead record is simply marked as converted.",https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=2
,7,A UX Designer has been asked to optimize a Lightning app for screen reader-assisted accessibility.How should the page be optimized?,A. Switch to a Lightning Console layout. | B. Place components in adjacent tabs. | C. Stack components on the same page. | D. Use accordions to organize components.,D,"Accordions allow content to be logically organized and collapsed/expanded on a single page, which works well with screen readers because the structure is sequential and each section has a clear heading. Screen readers navigate linearly, so accordions on one page are easier to traverse than tabbed navigation (B) which requires managing focus across tab panels, or console layouts (A) which have complex multi-pane structures. Stacking all components (C) without structure creates an overwhelming wall of content for screen reader users.",https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=2
,8,Which feature is provided in the Salesforce Lightning Design System (SLDS) for designers and developers?,A. A library of Lightning Web Components | B. Semantic and accessible component markup | C. ES6 JavaScript modules and plugins,B,"SLDS provides semantic HTML markup patterns and accessible component blueprints that follow WCAG guidelines, ensuring consistent and accessible UI across Salesforce applications. SLDS is a CSS framework and design system — it does not provide a library of functional LWC components (A, which is the LWC library itself) or JavaScript modules and plugins (C, which are not part of SLDS).",https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=2
,9,A UX Designer at Cloud Kicks is planning out the company's website redesign using Experience Cloud and will help guide discovery.Which three outputs of the discovery process should be prepared? Choose 3 answers,A. User Personas | B. Journey Maps | C. interactive Prototypes | D. High-Level Wireframes | E. High-Fidelity Mock-ups,"A,B,D","The discovery phase focuses on understanding users and defining the problem space, so its outputs are User Personas (representing target audiences), Journey Maps (showing current-state experiences and pain points), and High-Level Wireframes (rough structural layouts to validate direction). Interactive Prototypes (C) and High-Fidelity Mock-ups (E) are outputs of later design and prototyping phases, not discovery.",https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=2
,10,A UX Designer wants to ensure new Salesforce users are given the appropriate onboarding experience.Which two on-App Guidance customizations should be used?,A. Specify prompt scheduling | B. Customize prompt theme | C. Set prompt permissions | D. Configure minimum three steps,"A,C","In-App Guidance prompts support two key customizations for appropriate onboarding: scheduling (A) lets you control when prompts appear (e.g., only for new users or after a feature release), and permissions (C) let you target specific user profiles or permission sets so only the right users see the guidance. Customizing prompt theme (B) is a cosmetic option and not essential to appropriate onboarding targeting, and ""minimum three steps"" (D) is not a real In-App Guidance configuration option.",https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=2
