duplicate,#,question,choices,answer,explanation,source
,1,"Universal containers (UC) has an e-commerce website while customers can buy products, make payments, and manage their accounts. UC decides to build a customer Community on Salesforce and wants to allow the customers to access the community for their accounts without logging in again. UC decides to implement an sp-Initiated SSO using a SAML-BASED compliant IDP. In this scenario where salesforce is the service provider, which two activities must be performed in salesforce to make sp-Initiated SSO work? Choose 2 answers",A. Configure SAML SSO settings. | B. Configure Delegated Authentication | C. Create a connected App | D. Set up my domain,"A,D","SP-initiated SSO with Salesforce as the Service Provider requires: (A) Configure SAML SSO settings in Salesforce to define the IdP certificate, issuer, and ACS URL; (D) Set up My Domain, which is a prerequisite for SP-initiated SSO as it provides the unique Salesforce URL that triggers the IdP redirect. Delegated Authentication (B) is a different mechanism, and a Connected App (C) is not required for SAML SSO.",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-exam-questions.html?p=1
,2,"The security team at Universal containers(UC) has identified exporting reports as a high-risk action and would like to require users to be logged into salesforce with their active directory (AD) credentialswhen doing so. For all other uses of Salesforce, Users should be allowed to use AD credentials or salesforce credentials.What solution should be recommended to prevent exporting reports except when logged in using AD credentials while maintaining the ability to view reports when logged in with salesforce credentials?","A. Use SAML Federated Authentication and Custom SAML jit provisioning to dynamically add or remove a permission set that grants the Export Reports permission. | B. Use SAML Federated Authentication, treat SAML sessions as high assurance, and raise the session level required for exporting reports. | C. Use SAML Federated Authentication and block access to reports when accesses through a standard assurance session. | D. Use SAML Federated Authentication with a login flow to dynamically add or remove a permission set that grants the export reports permission.",B,"SAML sessions can be treated as High Assurance in Salesforce. By raising the session security level required for the 'Export Reports' permission (via Session Security Settings), users authenticated via AD/SAML at High Assurance can export, while users logged in with standard Salesforce credentials (standard assurance) cannot. This is the cleanest solution without complex dynamic provisioning.",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-exam-questions.html?p=1
,3,Universal Containers (UC) is looking to purchase a third-party applicationas an Identity Provider. UC is looking to develop a business case for the purchase in general and has enlisted an Architect for advice. Which two capabilities of an Identity Provider should the Architect detail to help strengthen the business case?Choose 2 answers,A. The Identity Provider can authenticate multiple applications. | B. The Identity Provider can authenticate multiple social media accounts. | C. The Identity provider can store credentials for multiple applications. | D. The Identity Provider can centralize enterprise password policy.,"A,D","Key business-case capabilities of an Identity Provider (IdP): (A) An IdP can authenticate users to multiple applications using SSO, reducing password fatigue and improving adoption; (D) An IdP centralizes enterprise password policies, enforcing consistent password complexity, rotation, and lockout rules across all connected apps. Options B and C are not primary IdP value propositions.",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-exam-questions.html?p=1
,4,Northern Trail Outfitters (NTO) uses a Security Assertion Markup Language (SAML)-based Identity Provider (idP) to authenticate employees to all systems. The IdP authenticates users against a Lightweight Directory Access Protocol (LDAP) directory and has access to user information. NTO wants to minimize Salesforce license usage since only a small percentage of users need Salesforce.What is recommended to ensure new employees have immediate access to Salesforce using their current IdP?,A. Install Salesforce Identity Connect to automatically provision new users in Salesforce the first time they attempt to login. | B. Build an integration that queries LDAP periodically and creates new active users in Salesforce. | C. Configure Just-in-Time provisioning using SAML attributes to create new Salesforce users as necessary when a new user attempts to login to Salesforce. | D. Build an integration that queries LDAP and creates new inactive users in Salesforce and use a login flow to activate the user atfirst login.,C,"JIT (Just-in-Time) provisioning uses attributes in SAML assertions to automatically create or update Salesforce user records at login time. This eliminates the need to pre-provision users and minimizes license usage because Salesforce accounts are only created when users actually attempt to log in. Identity Connect (A) and periodic LDAP sync (B) create users proactively, which doesn't minimize license usage.",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-exam-questions.html?p=1
,5,"Universal Containers (UC) is building a customer community and will allow customers to authenticate using Facebook credentials. The First time the user authenticating using Facebook, UC would like a customer account created automatically in their accounting system. The accounting system has a web service accessible to Salesforce for the creation of accounts. How can the Architect meet these requirements?",A. Create a custom application on Heroku that manages the sign-on process from Facebook. | B. Use JIT Provisioning to automatically create the account in the accounting system. | C. Add an Apex callout in the registration handler of the authorization provider. | D. Use OAuth JWT flow to pass the data fromSalesforce to the Accounting System.,C,"When using a Social Sign-On (authentication provider) flow in Salesforce, the registration handler Apex class controls user creation/update. To perform an additional callout to an external accounting system when a user first registers, the architect should add an Apex callout inside the createUser method of the registration handler. Login flows (B) and JIT (B) don't apply here; OAuth JWT (D) is unrelated to registration.",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-exam-questions.html?p=1
,6,"Universal Container's (UC) identity architect needs to recommend a license type for their new Experience Cloud site that will be used by external partners (delivery providers) for reviewing and updating their accounts, downloading files provided by UC and obtaining scheduled pickup dates from their calendar.UC is using their Salesforce production org as the identity provider for these users and the expected number of individual users is 2.5 million with 13.5 million unique logins per month.Which of the following license types should be used to meet the requirement?",A. External Apps License | B. Partner CommunityLicense | C. Partner Community Login License | D. Customer Community plus Login License,C,"With 2.5 million users and 13.5 million logins per month (~5.4 logins/user/month), a login-based license is cost-effective. Partner Community Login License is designed for partner users who need to manage accounts, download files, and access calendar data. External Apps Login License would apply to simpler external app access; Customer Community licenses are for B2C customers, not delivery partners.",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-exam-questions.html?p=2
,7,"An Identity architect works for a multinational, multi-brand organization. As they work with the organization to understand their Customer Identity and Access Management requirements, the identity architect learns that the brand experience is different for each of the customer's sub-brands and each of these branded experiences must be carried through the login experience depending on which sub-brand the user is logging into.Which solution should the architect recommend to support scalability and reduce maintenance costs, if the organization has more than 150sub-brands?",A. Assign each sub-brand a unique Experience ID and use the Experience ID to dynamically brand the login experience. | B. Use Audiences to customize the login experience for each sub-brand and pass an audience ID to the community during the OAuthand Security Assertion Markup Language (SAML) flows. | C. Create a community subdomain for each sub-brand and customize the look and feel of the Login page for each community subdomain to match the brand. | D. Create a separate Salesforce org for each sub-brand so that each sub-brand has complete control over the user experience.,A,"Experience ID (expid) is a URL parameter that can be passed in OAuth and SAML flows to dynamically apply branding to the Salesforce login page. With 150+ sub-brands, a single community can serve all brands by dynamically rendering the correct branding based on the Experience ID parameter, making this the most scalable and low-maintenance approach compared to creating separate orgs or communities per brand.",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-exam-questions.html?p=2
,8,"Northern Trail Outfitters recently acquired a company. Each company will retain its Identity Provider (IdP).Both companies rely extensively on Salesforce processes that send emails to users to take specific actions in Salesforce.How should the combined companys' employees collaborate in a single Salesforce org, yet authenticate to the appropriate IdP?",A. Configure unique MyDomains for each company and have generated links use the appropriate MyDomain in the URL. | B. Have generated links append a querystring parameter indicating the IdP. The login service will redirect to the appropriate IdP. | C. Have generated links be prefixed with the appropriate IdP URL to invoke an IdP-initiated Security Assertion Markup Language flow when clicked. | D. Enable each IdP as a login option in the MyDomain Authentication Service settings. Users will then click onthe appropriate IdP button.,D,"After an acquisition where each company keeps its own IdP, the combined Salesforce org can configure both IdPs as login options in My Domain's Authentication Service settings. Users see buttons for each IdP on the login page and click the appropriate one. This is the simplest approach without requiring URL manipulation or custom code.",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-exam-questions.html?p=2
,9,Northern Trail Outfitters (NTO) is planning to implement a community for its customersusing Salesforce Experience Cloud. Customers are not able to self-register. NTO would like to have customers set their own passwords when provided access to the community.Which two recommendations should an identity architect make to fulfill this requirement?Choose 2 answers,A. Add customers as contacts and add them to Experience Cloud site. | B. Enable Welcome emails while configuring the Experience Cloud site. | C. Allow Password reset using the API to update Experience Cloud site membership. | D. Use Login Flows to allow users to reset password in Experience Cloud site.,"B,D","Since NTO customers cannot self-register but need to set their own passwords when given access: (B) Enabling Welcome Emails sends a password-set link to new users so they can establish their own password; (D) Allowing Password Reset via API lets administrators programmatically trigger password resets when updating community membership. Adding contacts (A) alone doesn't set passwords, and Login Flows (C) don't address the password-setting requirement. [CORRECTED from C,D to B,D]",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-exam-questions.html?p=2
,10,"Universal containers (UC) has a mobile application that it wants to deploy toall of its salesforce users, including customer Community users. UC would like to minimize the administration overhead, which two items should an architect recommend? Choose 2 answers","A. Enable the ""Refresh Tokens is valid until revoked "" setting in the Connected App. | B. Enable the ""Enforce Ip restrictions"" settings in the connected App. | C. Enable the ""All users may self-authorize"" setting in the Connected App. | D. Enable the ""High Assurance session required"" setting in the Connected App.","A,C","To minimize administration overhead for a mobile app used by all Salesforce users including Community users: (A) 'Refresh Tokens is valid until revoked' ensures users stay logged in indefinitely without re-authorizing; (C) 'All users may self-authorize' removes the need for admin approval for each user. Enforcing IP restrictions (B) would break mobile access, and High Assurance (D) adds complexity.",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-exam-questions.html?p=2
