duplicate,#,question,choices,answer,explanation,source
,1,"Universal Containers (UC) is configuring a self-service page for customers to find Knowledge articles and create cases. UC has recently requested that an Einstein Bot be placed on the page, but wants to ensure that the bot only directs cases to live agents during normal business hours and observes holidays.How should a consultant meet this requirement?",A. Configure the Einstein Bot to direct customers to an agent except for designated holidays and instruct Omni-Channel agents to sign off at the end of business | B. Configure the Einstein Bot with a default message when customers log a case letting them know they should expect a delayed response outside of business hours. hours or on holidays. | C. Configure the Einstein Bot with an Action that queries for the Default Business Hours and active Holiday records and directs the customer to a case form when agents are unavailable.,C,"Einstein Bots support an Action-based approach that can query Business Hours and Holiday records to determine agent availability. Option C correctly uses programmatic logic to route customers to a case form when agents are unavailable, respecting both schedules and holidays.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=1
,2,Universal Containers (UC) wants to improve customer satisfaction by diversifying its interaction channels.UC's goal is to enhance real-time communication and support.Which interaction channel should the consultant suggest to UC?,A. Einstein Bots | B. Messaging In-app and Web (MIAW) | C. Experience Cloud sites,B,"Messaging In-app and Web (MIAW) is the modern real-time messaging channel in Salesforce Service Cloud that supports interactive, asynchronous, and real-time communication across web and mobile. Einstein Bots are AI tools and Experience Cloud sites are portals, not direct real-time communication channels.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=1
,3,Universal Containers (UC) has Excel files of customer data maintained by its service reps. All of the service reps have worked with the same customer contacts. UC wants to ensure that its Salesforce instance has clean data.Which best practice should a consultant recommend?,A. Deduplicate the data before importing into Salesforce. | B. Import the records and create a Flow to change the data type. | C. Import the records and use Duplicate Management.,A,Best practice for data imports is to deduplicate before loading to keep Salesforce data clean from the start. Importing duplicates first and then trying to clean with flows or Duplicate Management creates more work and risks data integrity issues.,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=1
,4,"Universal Support is implementing Service Cloud to replace its legacy ticketing system. The support team is geographically dispersed and consists of customer support users with varying levels of technical expertise.They are introducing Case Management, Knowledge, and Omni-Channel routing. The Support Manager aims to ensure the rollout proceeds smoothly and that users adopt the new system quickly and efficiently.How can the Support Manager meet these requirements?","A. Schedule instructor-led training sessions, include role-based scenarios, and implement a phased rollout starting with a pilot group. | B. Launch a full company-wide rollout with a short video tutorial and allow support reps to explore the system independently. | C. Provide sandbox access to all support reps two weeks before launch and encourage peer-to-peer learning without formal training.",A,"A phased rollout with role-based instructor-led training is the best practice for complex multi-feature implementations with diverse teams. This minimizes risk, ensures each role understands their specific workflows, and maximizes adoption rates.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=1
,5,Universal Containers has technical support and general customer service teams that use unique Service Console applications.Which configuration should a consultant use when deploying the console?,A. Assign the app to the User profile. | B. Assign a permission set granting the Service User license. | C. Assign the Service User license to their User record.,A,"To deploy different Service Console apps to different teams, you assign the Lightning app to the appropriate user profiles. This controls which app users see when they log in, allowing each team to have their tailored console experience.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=1
,6,Case closure time at Cloud Kicks (CK) is too high although CK already enabled Knowledge Management.What should the consultant recommend to decrease case closure time?,A. Add data category groups. | B. Create synonym groups. | C. Enable Suggested Articles.,C,"Enabling Suggested Articles in Salesforce Knowledge allows the system to automatically recommend relevant articles to agents while working on a case, reducing time spent searching and lowering case closure times.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=2
,7,"Using the Lightning Service Console, how can a contact center manager see which service agents are currently available to accept new cases?",A. Omni-Channel Analytics | B. Omni-Channel Utility component | C. Omni-Channel Supervisor tab,C,"The Omni-Channel Supervisor tab in Service Console provides real-time visibility into agent availability, current work assignments, and status, enabling managers to monitor who is available to accept new cases.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=2
,8,"Using the Lightning Service Console, how can a contact center manager see which service reps are currently available to accept new cases?",A. Omni-Channel Utility component | B. Omni-Channel Analytics | C. Omni-Channel Supervisor tab,C,"The Omni-Channel Supervisor tab provides real-time monitoring of agent status and availability, allowing contact center managers to see which service reps are currently online and available to accept new cases.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=2
,9,Universal Containers (UC) wants to implement Service Cloud using Agile methodology.How should the consultant recommend delivering a successful implementation?,"A. Generate continuous feedback from the project team, and adjust the requirements and deliverables accordingly. | B. Generate all of the requirements with UC executives and then develop the project schedule. | C. Finish all of the project requirements at once and deliver a complete solution.",A,"Agile methodology emphasizes iterative development with continuous feedback loops, allowing teams to adjust requirements and deliverables based on ongoing stakeholder input rather than fixing requirements upfront.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=2
,10,Support managers have requested the ability to provide real-time feedback to agents during customer chat sessions.Which feature should a consultant configure to meet this requirement?,A. Chatter | B. Omni-Channel Supervisor | C. Flow Orchestrator,B,"Omni-Channel Supervisor allows managers to monitor live messaging sessions and send whisper messages (private messages) to agents during active chat sessions, enabling real-time coaching without the customer seeing.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=2
,11,Universal Containers is implementing Service Cloud Voice with Amazon Connect. The administrator created a new sandbox for testing.What should the administrator expect with regard to the new sandbox configurations?,"A. The AWS Account and contact centers are copied automatically when the sandbox is created, but voice call data is not. | B. A new AWS Account is automatically created, but the contact center and voice call data are not copied into the new sandbox. | C. The AWS Account, contact centers, and voice call data are copied automatically when the sandbox is created.",B,"When a sandbox is created with Service Cloud Voice and Amazon Connect, a new AWS Account is automatically provisioned for the sandbox, but the contact center configuration and voice call data are not copied over to maintain data isolation.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=3
,12,"Cloud Kicks provides regular and special support to customers. When a special case is created, a dedicated account manager needs Read-Only access and a support specialist needs Read and Write access.Which feature will provide the required level of access?",A. View All for Case | B. Case teams | C. Manager groups,B,"Case Teams in Salesforce allow different team members to have different access levels (Read-Only, Read/Write) to a case. This is the correct feature for providing differentiated access to the account manager and support specialist.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=3
,13,Cloud Kicks wants to implement a solution that would hold service agents accountable for keeping customer service-level agreements (SLAs).Which feature should a consultant use to meet this request?,A. Service Contracts | B. Salesforce Survey | C. Entitlement process,C,Entitlement processes define the SLA steps and timelines that must be completed for each case. They hold agents accountable by tracking milestone completion and triggering actions when SLA targets are at risk or missed.,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=3
,14,Which approach should a Service Cloud Consultant use to ensure that Lightning Knowledge searches only display articles for a service rep's product specialization?,A. Use article record types to restrict access for service reps by page layout assignment. | B. Create a data category for each product specialization. Assign data categories using permission sets. | C. Configure a private sharing model for Knowledge. Grant access to service reps through manual or group-based sharing rules.,B,Data categories control article visibility in Lightning Knowledge. Creating a data category per product specialization and assigning visibility via permission sets ensures reps only see articles relevant to their product area.,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=3
,15,Managers at Cloud Kicks often need to update the Case Type field for up to 75 cases at one time using list views.Which Service Console productivity tool should a consultant recommend?,A. Run a macro on each case. | B. Use a mass Quick Action. | C. Use a keyboard shortcut.,B,Mass Quick Actions in list views allow managers to update fields on multiple records simultaneously. This is the most efficient way to update the Case Type field on up to 75 cases at once from a list view.,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=3
,16,Metrics show that Universal Containers has a high call abandonment rate using Service Cloud Voice.Which strategy should a consultant recommend?,A. Set up escalation rules. | B. Set up self-service Knowledge. | C. Set up assignment rules and case queues.,B,"Self-service Knowledge reduces call volume by enabling customers to find answers to common questions without calling in, thereby reducing abandonment rates caused by long hold times.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=4
,17,The call center manager at Universal Containers wants to generate daily reports to monitor agent productivity trends.Which primary object should a consultant select to create a new Omni-Channel report type?,A. Agent Detail | B. Agent Work | C. Assigned Work,B,"The Agent Work object is the primary object for Omni-Channel reports because it records all work items assigned to agents, including handle time, accept time, and related channel information needed for productivity analysis.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=4
,18,"The Universal Containers (UC) customer support organization has implemented Knowledge-Centered Support (KCS) in its call center. However, the call center management thinks that agents should contribute new Knowledge articles more often.What should UC do to address this situation?",A. Measure and reward agents based on the number of new articles submitted for approval. | B. Measure and reward agents based on the number of new articles approved for publication. | C. Require agents to check a box on the case when submitting a new suggested article.,B,"In KCS, measuring and rewarding agents based on articles approved for publication incentivizes creating high-quality, useful articles that pass the approval process. While submitted-for-approval drives volume, rewarding approvals ensures both quantity and quality are balanced, which is the KCS best practice for sustainable knowledge contribution.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=4
,19,Cloud Kicks would like to add a WhatsApp channel to its available support channels.What should the Service Cloud Consultant consider?,"A. Group WhatsApp chats are not supported. | B. Emojis, polls, and quick text are not supported. | C. Queue-based routing is not supported.",A,WhatsApp in Salesforce does not support group chats—only 1:1 conversations between a customer and an agent are supported. This is a key limitation consultants must communicate when planning WhatsApp channel implementation.,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=4
,20,A manager would like information on which Knowledge articles are used most often by call center agents.Which report should a consultant use to identify the Knowledge articles that are used most often?,A. Knowledge articles with the most revisions | B. Knowledge articles with the highest ratings | C. Number of Knowledge articles attached to Cases,C,"To identify which Knowledge articles agents use most often, the best report tracks the number of articles attached to cases. Article views and ratings are useful, but attachments to cases directly indicate agent usage in case resolution.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=4
,21,Universal Containers wants to provide a more consistent service experience to its customers and is evaluating using macros.Which prerequisite should the consultant consider?,A. Publisher actions are on the page layout. | B. All users have permission to create macros. | C. The Lightning page contains the Run Macros action.,C,"For macros to work in Lightning Service Console, the Run Macros action must be available on the Lightning page. Without this action on the page, agents cannot execute macros from the console.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=5
,22,Cloud Tech Support is preparing to deploy Service Cloud with new features including Case Escalation Rules and a Knowledge Base. Their current support staff is accustomed to email-only case management. The company wants minimal downtime and a high adoption rate for the new solution.What should the Service Cloud Consultant recommend to prepare the support reps for the transition?,A. Develop just-in-time video tutorials and provide access after go-live so reps can learn as they use the system. | B. Deliver a combination of hands-on training and Trailhead-based learning aligned to business processes before deployment. | C. Assign power users to configure the system and handle questions post-launch without a formal enablement plan.,B,"Hands-on training combined with Trailhead learning aligned to business processes is the best way to prepare support reps for a new system with multiple features (Case Escalation Rules and Knowledge Base), maximizing adoption before go-live.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=5
,23,"At Universal Containers, support reps need to verify that customers are eligible to receive support when they create the case.Where can a support rep verify that a customer is allowed to receive support?",A. Milestones | B. Actions | C. Entitlements,C,"Entitlements in Salesforce verify whether a customer is eligible to receive support. When creating a case, agents can check the entitlement record to confirm the customer's support level and eligibility.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=5
,24,"A growing retail company wants to modernize its legacy on-premises contact center, which is costly, hard to scale, and lacks support for new digital channels. The company wants to reduce overhead, scale easily during seasonal spikes, and give service reps real-time customer insights.What should a Service Cloud Consultant recommend?","A. Build a custom Experience Cloud solution and integrate with external telephony providers using APIs. | B. Deploy Salesforce Contact Center with Amazon Connect to unify voice, chat, and case management in the cloud with real-time insights. | C. Extend legacy systems using Omni-Channel, Live Agent, and a third-party CTI to add new digital channels over time.",B,"Salesforce Contact Center with Amazon Connect provides a unified cloud-based solution for voice, chat, and case management with real-time data insights. This addresses scalability, multi-channel support, and real-time customer insights in one platform.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=5
,25,Universal Containers is considering a Knowledge-Centered Support (KCS) implementation.Which benefit can be expected from KCS adoption?,A. Reduced administrative overhead | B. Reduced need for self-service | C. Reduced issue resolution time,C,"Knowledge-Centered Support (KCS) improves issue resolution time by building a reusable knowledge base where agents capture and share solutions, reducing time spent solving recurring problems and enabling faster case closure.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=5
,26,Universal Containers wants to let its customers interact in real time with support agents from their computers and mobile devices.Which feature should a consultant recommend to meet this requirement?,A. Einstein Chat Bot | B. Service Cloud Voice | C. Digital Engagement,C,"Digital Engagement in Service Cloud provides real-time communication capabilities across multiple digital channels (chat, messaging) from both computers and mobile devices, enabling customers to interact with support agents in real time.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=6
,27,"Universal Containers is initiating a program to improve customer satisfaction. As part of the program, customers must be surveyed after the case is closed to ensure the customer is satisfied and the issue has been resolved.Which solution should a consultant recommend to meet this requirement?",A. Use auto-response rules to send an email to the customer. | B. Use Escalation Rules to assign the case to a case queue. | C. Use Flow Builder to send an email to the customer.,C,"Flow Builder is the recommended tool for automating post-case-closure surveys. A record-triggered Flow can send an email to customers when a case is closed, automating the satisfaction survey process.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=6
,28,Ursa Major Solar's support department would like to implement a process to ensure customers receive the appropriate support based on their service-level agreements (SLAs).Which feature should the consultant configure as part of the implementation?,A. Milestones | B. Escalation Rule | C. Scheduled Flow Action,A,"Milestones define the key steps and time requirements within an entitlement process, ensuring customers receive support that adheres to their SLA. They track whether specific case actions occur within required timeframes.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=6
,29,"Ursa Major Solar provides support with service-level agreements (SLAs) for high-priority cases. Lower Priority cases have different response times. The service center uses Omni-Channel to manage work items. However, many recently created, high-priority cases exceed the service deadline.Which setting should a consultant configure to meet the requirements?",A. Skills-Based Routing | B. Capacity Model | C. Secondary Routing Priority,C,Secondary Routing Priority in Omni-Channel allows high-priority work items to be routed ahead of lower-priority ones. Configuring this ensures that recently created high-priority cases are not delayed behind existing work items in the queue.,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=6
,30,Cloud Kicks plans to deploy Service Cloud to customers who will have different levels of support. The consultant is unsure whether Entitlements only or Entitlements plus Service Contracts is the correct solution.Which question should the consultant ask to determine the preferred solution?,A. Will customers access Knowledge articles through Experience Cloud? | B. Is support provided on a periodic basis and renewed annually? | C. Do multiple versions of the Entitlements need to be created and maintained?,B,The key differentiator for choosing Entitlements plus Service Contracts (vs. Entitlements only) is whether support is provided on a periodic basis and renewed annually. Service Contracts model time-bound support agreements with start/end dates.,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=6
,31,"After migrating to Lightning Experience, users are complaining that they are unable to create a Knowledge article when closing a case.How should the consultant resolve this issue?",A. Inform users that the only way to create articles is from the Knowledge component. | B. Enable Read/Write/Create permissions for Knowledge articles. | C. Add the Manage Salesforce Knowledge permission to the user's profile.,C,"The 'Manage Salesforce Knowledge' permission is required for users to create and publish Knowledge articles in Lightning Experience. Without this permission, users cannot create articles even when closing a case.",https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-exam-questions.html?p=7
