duplicate,#,question,choices,answer,explanation,source
,1,"ユニバーサル コンテナー (UC) には、コール センター チームが ""機密"" のレコード タイプのケースに取り組んでいる場合にのみ使用する機密情報システムがあります。彼らは、未解決の「機密」ケースを所有している場合にのみシステムへのアクセスが許可され、それ以外の場合はシステムへのアクセスが削除されます。彼らは、Salesforce を IDP として使用して SAML SSO を実装し、スタッフが SSO を使用してシステムにアクセスしようとしたときに、現在開いている「機密」ケース レコードを所有しているかどうかに基づいて、機密情報システムへのスタッフのアクセスを自動的に許可または拒否したいと考えています。未公開の「機密」ケース レコード基準に基づいて、機密情報システムへのアクセスを自動的に許可または拒否するための推奨される解決策は何ですか?",A. apex を使用してカスタムの接続済みアプリ ハンドラーを使用し、スタッフが未解決の「分類済み」ケースを所有しているかどうかに基づいて、システムへのアクセスを動的に許可します。 | B. ケースで apex トリガを使用して、オープンな「分類済み」ケースがユーザに割り当てられたときにアクセスを許可する権限セットを動的に割り当て、ケースがクローズされたときにそれを削除します。 | C. カスタム SAML jit プロビジョニングを使用して、機密情報システムへのアクセスを試みるときに、ユーザーの未解決の「機密」ケースを動的にクエリします。 | D. Salesforce レポートを使用して、現在未解決の「機密」ケースを所有しており、機密情報システムへのアクセスを許可する必要があるユーザーを特定します。,A,Salesforce を IdP として使用した SAML SSO において、ユーザーが「機密」ケースを所有しているかどうかに基づいてアクセスを動的に制御するには、カスタムの接続済みアプリハンドラー (Apex) を使用します。このハンドラーは SSO 試行時にケースレコードをリアルタイムでクエリし、条件に基づいてアサーションを許可または拒否します。Apex トリガー (B) はケースの変更時に権限セットを付与/削除できますが、SSO の瞬間にリアルタイムで制御するにはハンドラーが最適です。,https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-JPN-exam-questions.html?p=1
,2,Universal Containers (UC) には 5 つの Salesforce 組織 (UC1、UC2、UC3、UC4、UC5) があります。UC2、UC3、UC4、および UC5 にいるすべてのユーザーは UC1 にもいますが、すべてのユーザー 65* がすべての組織にアクセスできるわけではありません。Universal Containers は、すべての Salesforce ユーザーが 1 つの資格情報セットを覚えておく必要があるように、認証プロセスを簡素化したいと考えています。UC は、コストとメンテナンスへの影響を最小限に抑えてこれを実現したいと考えています。アーキテクトは UC にどのようなアプローチを推奨する必要がありますか?,A. 5 つの Salesforce 組織すべてでサードパーティ ID プロバイダーを購入して、他のすべての組織で使用し、JIT ユーザー プロビジョニングを設定します。 | B. 5 つの Salesforce 組織すべてで使用するサードパーティの ID プロバイダーを購入しますが、他の組織には JIT ユーザー プロビジョニングを設定しないでください。 | C. UC1 を ID プロバイダーとして他の 4 つの Salesforce 組織に構成し、他のすべての組織で JIT ユーザー プロビジョニングをセットアップします。 | D. UC1 を ID プロバイダーとして他の 4 つの Salesforce 組織に構成しますが、他の組織には JIT ユーザー プロビジョニングを設定しません。,C,"コストとメンテナンスを最小限に抑えて複数組織に単一のクレデンシャルセットでアクセスするには、UC1 を IdP として設定し、他の 4 組織を SP として構成します。さらに、すべての組織で JIT ユーザープロビジョニングを設定することで、ユーザーが初回ログイン時に自動的に作成されます。サードパーティ IdP の購入 (A, B) は追加コストが発生し、JIT なし (D) では事前にユーザーを手動作成する必要があります。",https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-JPN-exam-questions.html?p=1
,3,Universal Containers (UC) は、自社開発の従業員ポータルを使用して、従業員が共同作業を行っています。UC は、Salesforce Ideas を使用して、従業員が従業員ポータルからアイデアを投稿できるようにすることにしました。ユーザーが従業員ポータルのリンクの一部をクリックすると、ユーザーは Salesforce にリダイレクトされ、認証され、関連するページが表示されます。このシナリオに最適な OAuth フローはどれですか?,A. Web アプリケーション フロー | B. SAML ベアラー アサーション フロー | C. ユーザーエージェントフロー | D. Web サーバーの流れ,D,このシナリオでは、ユーザーが従業員ポータル (Web アプリケーション) のリンクをクリックすると Salesforce にリダイレクトされて認証されます。サーバーサイドのコードが Salesforce API にアクセスする Web アプリケーション向けには OAuth 2.0 Web サーバーフロー (Authorization Code Grant) が最適です。クライアントシークレットをサーバー側で安全に保持でき、リフレッシュトークンも取得できます。,https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-JPN-exam-questions.html?p=1
,4,Universal Containers (UC) は、自社開発のカスタマー ポータルを Salesforce Experience Cloud に置き換えることを決定しました。UC は、顧客とパートナーの資格情報をすべて保存するサードパーティのシングル サインオン (SSO) ソリューションを引き続き使用します。顧客が初めて SSO を介して Experience Cloud サイトにログインするときに、ユーザー レコードを自動的に作成する必要があります。ログイン時に Salesforce でユーザーを自動的にプロビジョニングするために、ID アーキテクトはどのソリューションを推奨する必要がありますか?,A. ジャストインタイム (JIT) プロビジョニング | B. カスタム ミドルウェアおよび Web サービス | C. カスタムログインフローと Apex ハンドラ | D. サードパーティの AppExchange ソリューション,A,既存のサードパーティ SSO ソリューションを継続しつつ、Experience Cloud サイトへの初回ログイン時にユーザーレコードを自動作成するには、JIT (ジャストインタイム) プロビジョニングが最適です。SAML アサーション属性を利用して Salesforce でユーザーレコードをオンザフライで作成します。カスタムミドルウェアや AppExchange ソリューションより低コストで実装できます。,https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-JPN-exam-questions.html?p=1
,5,グローバルなフィットネス機器メーカーは、Salesforce を使用して販売サイクルを管理しています。メーカーには、Salesforce から注文データを要求する必要があるカスタム注文フルフィルメント アプリがあります。注文フルフィルメント アプリは、OAuth 2.0 プロトコルを使用して Salesforce API と統合する必要があります。この要件を満たすために、アイデンティティ アーキテクトは何を使用する必要がありますか?,A. キャンバス アプリの統合 | B. OAuth トークン | C. 認証プロバイダー | D. 接続済みアプリと OAuth スコープ,D,Salesforce を統合する製造会社のシナリオでは、注文データをリクエストする注文管理システムが Salesforce REST API にアクセスします。JWT Bearer Token フローは、ユーザー操作なしにサーバー間認証を実現し、クレデンシャルの保存が不要な最もセキュアな方法です。GPS デバイスや IoT デバイスには OAuth 2.0 アセットトークンフローが適しています。,https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-JPN-exam-questions.html?p=1
,6,ユニバーサル コンテナ (UC) は、Web アプリケーションを Salesforce と統合したいと考えています。UC チームは、認証プロセス用に Oauth Web サーバー認証フローを実装しました。アーキテクトが UC に指摘すべき 2 つの考慮事項はどれですか? 2つの答えを選択してください,A. Web アプリケーションは、安全なサーバーでホストする必要があります。 | B. Web サーバーは、消費者のプライバシーを保護できる必要があります。 | C. フローには、ユーザー資格証明の受け渡しが含まれます。 | D. フローは Oauth 更新トークンをサーバーに返しません。,"A,B",OAuth 2.0 Web サーバーフローの考慮事項: (A) Web アプリケーションはクライアントシークレットを保護するためにセキュアなサーバーでホストする必要があります; (B) Web サーバーはコンシューマのプライバシーを保護する必要があります（クライアントシークレットはサーバー側に安全に保存）。このフローはユーザーのクレデンシャルを直接やり取りしません (C は誤り)。また、このフローではリフレッシュトークンが返されます (D は誤り)。,https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-JPN-exam-questions.html?p=2
,7,ユニバーサル コンテナー (UC) は委任認証を設定して、従業員が会社の資格情報を使用してログインできるようにします。UC のセキュリティ チームは、企業のログイン サービスがインターネット上に公開されるリスクを懸念しており、ログイン サービスとセールスフォースの間に信頼できる信頼メカニズムを配置するよう求めています。ログインサービスとセールスフォース間の信頼できる接続を可能にするために、アーキテクトはどのメカニズムを導入する必要がありますか?,A. ログイン ヘッダーのコールアウトにクライアント ID とクライアント シークレットを含めます。 | B. DMZ 内にログイン サービス用のプロキシ サーバーをセットアップします。 | C. パスワードに Salesforce セキュリティ トークンの使用を要求します。 | D. SSL を使用してシステム間の相互認証を強制します。,D,委任認証において、Salesforce とログインサービス間の信頼性を確保するには、相互 SSL (双方向 SSL) 認証を強制します。双方向 SSL では両サイドが証明書を提示し合い、Salesforce だけが正規のログインサービスを呼び出せることを保証します。これにより企業のログインサービスへの不正なアクセスを防止します。,https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-JPN-exam-questions.html?p=2
,8,Universal Containers は新しい Experience Cloud サイトを実装しており、ID アーキテクトはログイン プロセスの時点で動的なブランド化機能を使用したいと考えています。サイトの動的なブランディングをサポートするために、アイデンティティ アーキテクトが推奨する 2 つのオプションはどれですか?2つの答えを選択してください,A. 動的ブランディングを使用するには、コミュニティを Visuaiforce + Salesforce タブ テンプレートで構築する必要があります。 | B. ダイナミック ブランディングを使用するには、カスタマー アカウント ポータル テンプレートを使用してコミュニティを構築する必要があります。 | C. ブランドを表すには、エクスペリエンス ID (expid) またはプレースホルダー パラメーターを URL で使用する必要があります。 | D. Experience Cloud サイトでの動的なブランディングには、外部のコンテンツ管理システム (CMS) を使用する必要があります。,"B,C",ログイン時に動的にパーソナライズされたアラートを表示するには、ログインフロー (B) と Experience Cloud サイトの自己登録 (C) の組み合わせが必要です。ログインフローはユーザーがコミュニティのホームページに到達する前にカスタム画面を表示できます。最小限のカスタマイズで要件を満たせます。,https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-JPN-exam-questions.html?p=2
,9,ユニバーサル コンテナー (UC) のカスタマー サービス担当者は、ケース レコードへのリンクをクリックして SAML SSO でログインするように求められるたびに、特定のケース レコードではなく、Salesforce のホーム タブにリダイレクトされると不満を漏らしています。アーキテクトが UC の ID チームに最初に調査するようにアドバイスする必要がある項目はどれですか?,A. 私のドメインは Salesforce 内で構成され、アクティブになっています。 | B. Salesforce SSO 設定は http ポストを使用しています | C. ID プロバイダーはリレーの状態を正しく保持しています | D. ユーザーは、salesforce 内で正しいフェデレーション ID を持っています。,C,SAML SSO でログイン後にケースレコードではなくホームページにリダイレクトされる問題は、IdP が RelayState パラメータを正しく保持・転送していないことが原因です。RelayState は SP 側のディープリンク URL (特定のケースレコード URL) を SSO フロー中に保持し、認証後にユーザーを正しいページにリダイレクトするために使用されます。,https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-JPN-exam-questions.html?p=2
,10,ユニバーサル コンテナ (UC) には、顧客のコミュニティ ユーザーを含むすべての Salesforce ユーザーに展開するモバイル アプリケーションがあります。UC は管理のオーバーヘッドを最小限に抑えたいと考えています。アーキテクトが推奨すべき項目はどれですか? 2つの答えを選択してください,A. 接続済みアプリで「リフレッシュ トークンは取り消されるまで有効です」設定を有効にします。 | B. 接続されたアプリで「IP 制限を適用する」設定を有効にします。 | C. 接続済みアプリで「すべてのユーザーが自己認証できる」設定を有効にします。 | D. Connected App で「High Assurance セッションが必要」設定を有効にします。,"A,C",コミュニティユーザーを含む全 Salesforce ユーザーへのモバイルアプリ展開において管理オーバーヘッドを最小化するには: (A) 「リフレッシュトークンは取り消されるまで有効」設定でユーザーが再認証不要になる; (C) 「すべてのユーザーが自己認証可能」でAdmin による個別承認が不要になる。IP 制限 (B) はモバイルアクセスを妨げ、高保証 (D) は複雑さを増します。,https://www.freecram.com/Salesforce-certification/Identity-and-Access-Management-Architect-JPN-exam-questions.html?p=2
