duplicate,#,question,choices,answer,explanation,source
,1,Universal Containers のサポート マネージャーは、コールセンターごとの最初の通話解決に関する毎月の履歴指標を確認したいと考えています。コンサルタントはどの分析ソリューションを推奨すべきですか?,A. コールセンターごとにグループ化されたケースレポート | B. コールセンターごとにグループ化されたケース履歴レポート | C. コールセンターごとにグループ化された動的ダッシュボード,C,動的ダッシュボード（Dynamic Dashboard）はコールセンターごとにビューをパーソナライズでき、月次の履歴データに基づいてFCRを視覚化するのに最適です。ケースレポートは単純な件数集計、ケース履歴レポートはフィールド変更履歴を追うものであり、月次FCR指標の確認には動的ダッシュボードが推奨されます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=1
,2,Cloud Kicks (CK) は、顧客とのケースを解決するために組織内で支援を求める必要があることがよくあります。場合によっては、CK にはパートナーの関与も必要です。CK は、会話履歴を文書化しながらケースコミュニケーションに最も効果的なソリューションを求めています。要件を満たすためにコンサルタントはどの機能を推奨する必要がありますか?,A. ケース スウォーミングのサービスに Slack を使用します。 | B. 電子メールのクイック アクションを送信して関係者にループインします。 | C. 子ケースを使用してパートナーとやり取りします。,A,Case Swarming（ケーススウォーミング）はSlackを活用して社内外の専門家をケースに招集し、会話履歴を一元管理しながら協力してケースを解決する機能です。パートナーを含む全関係者との会話履歴を文書化できるため、子ケースやメールよりも効率的です。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=1
,3,Universal Containers の顧客は、複雑な製品の問題についてライブ サポート エージェントに相談することを好みます。その結果、大量の電話がかかり、保留時間が長いという顧客の不満が生じます。問題に対処するためにコンサルタントはどの機能を推奨する必要がありますか?,A. 埋め込みチャット ウィンドウ | B. 連絡先リクエスト | C. Web-to-ケース,A,埋め込みチャットウィンドウ（Embedded Chat Window）を導入すると、エージェントが複数の顧客と同時にチャット対応できるため、電話量を削減し保留時間を短縮できます。顧客はライブエージェントとリアルタイムで会話できるため、電話の代替チャネルとして機能します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=1
,4,Cloud Kicks は、コンタクト センターの顧客が Agentforce サービス エージェントを使用してケースにアクセスし、変更する際にセキュリティを確保したいと考えています。AI エージェントにこのセキュリティ オプションを実装する場合、Service Cloud コンサルタントは何を推奨すべきでしょうか?,A. 顧客を確認するためのカスタム アクションを使用してケース管理トピックを実装します。 | B. 正確な指示とカスタム アクションを使用してケース管理トピックを実装します。 | C. ケース管理トピックのフィルターを使用して、サービス顧客検証トピックを実装します。,C,Agentforceでケースへのアクセスセキュリティを実装するには、「ケース管理トピックにフィルターを設定してService Customer Verificationトピックと組み合わせる」方法が正しいです。未認証ユーザーが保護されたトピックにアクセスしようとすると、自動的に顧客確認トピックが起動します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=1
,5,Universal Containers (UC) カスタマー サポート組織は、コールセンターに Knowledge-Centered Support (KCS) を導入しました。ただし、コールセンター管理者は、エージェントが新しいナレッジ記事をより頻繁に提供する必要があると考えています。この状況に対処するために UC は何をすべきでしょうか?,A. 承認のために送信された新しい記事の数に基づいてエージェントを測定し、報酬を与えます。 | B. 出版が承認された新しい記事の数に基づいてエージェントを評価し、報酬を与えます。 | C. エージェントは、新しい推奨記事を送信するときにケースのチェックボックスをオンにする必要があります。,B,KCSのベストプラクティスでは、承認・公開された記事の数に基づいてエージェントを評価・報酬することが推奨されます。単に提出数を指標にすると低品質記事の量産につながるため、公開承認された記事数を基準とすることで品質も担保されます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=1
,6,Service Cloudコンサルタントが通信業界のクライアントと協業しています。クライアントは、新しいケース自動化とAgentforce Service Agentの導入により、初回コンタクトでの解決率を30%向上させることを目指しています。クライアントは、これらの変更によって顧客満足度が向上することを期待していますが、導入の容易さとシステムの複雑さを懸念しています。懸念事項を管理し、期待を一致させるために、コンサルタントはまず何をすべきでしょうか?,A. 自動化されたケース ルーティング ルールとエスカレーション パスを含む詳細な Agentforce サービス エージェント構成計画を作成し、IT チームと共に技術要件を検証します。 | B. 主要な関係者を早期に関与させながら、技術的な課題、ユーザー導入の障壁、既存のワークフローへの影響に焦点を当てたリスク登録を実施します。 | C. すべての技術要件が確定するまでプロジェクトを延期し、その後、ユーザーの採用に向けた包括的な変更管理戦略を作成することを推奨します。,B,プロジェクト開始時はまずリスク登録（Risk Assessment）を実施し、技術的課題・ユーザー採用の障壁・既存ワークフローへの影響を特定することが重要です。主要ステークホルダーを早期に巻き込むことで、期待値の調整と懸念事項の管理が可能になります。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=2
,7,Universal Containers は、通話ベースの応答システムを実装しています。電話の待ち時間が長くなりすぎ、顧客サービスに影響が出ています。経営者は、顧客の待ち時間を短縮し、エージェントが一度により多くの問い合わせを処理できるようにする方法を見つけたいと考えています。コンサルタントはどの機能を推奨する必要がありますか?,A. ケース自動応答ルール | B. オムニスタジオ | C. Salesforce チャット,C,Salesforce Chat（ライブチャット）を実装すると、エージェントが複数の顧客と同時にチャット対応できるため、電話の待ち時間を削減し、一度に多くの問い合わせを処理できます。電話一本対応から複数同時対応へのシフトが実現します。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=2
,8,Universal Containers は、WhatsApp を使用してサービス コンソールで顧客にサポートを提供しています。エージェントは送信された PDF をプレビューしたいと考えていますチャットウィンドウから顧客によって。コンサルタントは何を推奨すべきでしょうか?,A. PDF を電子メールで送信するよう顧客に依頼します。 | B. チャットでファイル プレビューを使用します。 | C. チャットから PDF をダウンロードします。,B,WhatsAppでPDFなどのファイルをやり取りする際は、チャットのファイルプレビュー機能を使用します。エージェントはチャット画面内でファイルをプレビューし、顧客に共有できます。顧客にメールを別途送らせる必要はありません。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=2
,9,Universal Containers は、ワークフローの効率を高め、顧客サポートを向上させるために Service Cloud を実装しています。Service Cloud を設定する際、コンサルタントは、サービスエージェントがケースを表示するときに適切な顧客情報にアクセスできるようにするために、どうすればよいでしょうか。,A. 数式を使用して、連絡先レコードからケースにフィールドを取得します。 | B. フローを使用して、連絡先レコードからケースに値をコピーします。 | C. ケースレコードの Lightning ページでクロスオブジェクト フィールドを公開します。,C,ケースレコードに連絡先レコードのフィールドを表示するには、Lightningページ上でクロスオブジェクトフィールドを公開します。数式フィールドはデータのコピーを作成し同期の問題が生じ、フローはトリガー時のみ値をコピーしますが、クロスオブジェクト表示は常に最新の連絡先データを参照できます。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=2
,10,Universal Containersは、Agentforce for Serviceの新機能をいくつか実装したいと考えています。Service Cloudコンサルタントは、以下のビジネス要件を検討し、カスタムトピックとアクションではなく、標準トピックを使用することで実現可能な要件を特定する必要があります。すぐに使用できる AI エージェントがトピックを変更せずに対応できるユースケースはどれですか?,A. 破損した輸送コンテナに対する保証請求の手続きと現地検査のスケジュール設定について顧客をガイドします。 | B. 顧客が複数の配送センターにわたる特定のコンテナ モデルの在庫レベルをリアルタイムで確認できるようにします。 | C. 保険ポリシーに関する質問に答え、新しい問題が発生した場合に顧客が新しいサポート チケットを開くことができるようにします。,C,Agentforce for Serviceの新機能テストには、まずサンドボックスで十分な検証を行い、その後段階的に本番展開するアプローチが重要です。保険ポリシーに関する質問への回答と新しいサポートチケット作成のガイドは、AIエージェントが安定して処理できる典型的なユースケースです。,https://www.freecram.com/Salesforce-certification/Service-Cloud-Consultant-JPN-exam-questions.html?p=2
