duplicate,#,question,choices,answer,explanation,source
,1,Universal Containers（UC）は、注文データをESB経由で外部ERPシステムに送信します。UCは更新または注文時にアウトバウンドメッセージをESBに送信します。ESBがバックエンドERPで注文の作成を完了すると、ERPからの注文番号とともに注文を送り返します。開発中、UCで問題が発生しています。ESBによって注文が更新されると、送信メッセージを再度送信するワークフロールールが再度起動されます。このループの問題を防ぐために実行できる推奨手順はどれですか。,A. Apexトリガーを記述して、アウトバウンドメッセージをESBに送信する | B. ワークフロールールの条件を更新して、ERP注文番号フィールドの更新を除外する | C. ワークフロールール条件を更新して統合ユーザーを除外する | D. アウトバウンドメッセージを更新して、統合ユーザーを除外します,B,"【背景】  
Universal Containers は、Salesforce の注文オブジェクトで「注文作成または更新時」にワークフロールールを使って ESB にアウトバウンドメッセージを送信しています。ESB が ERP で受注を確定すると注文レコードの「ERP 注文番号」フィールドを更新し、その更新が再びワークフローをトリガーしてメッセージがループします。

【正解の理由】  
B. ワークフロールールの条件を更新し、ERP 注文番号フィールドの更新を除外する。  
ワークフローのエントリ条件に「ERP 注文番号 = null」や「ERP 注文番号 の変更を除外」のロジックを追加すれば、ESB から返送された更新時にはワークフローが発火せず、ループを防止できます。フィールドベースの条件変更はローコードで実装でき、既存のビジネスロジックへの影響も最小限です。

【誤答の理由】  
A. Apex トリガーを作るのはオーバーキルで、現在のルールをフィールド条件で制御する方が簡単かつメンテナンス性が高いです。  
C. 「統合ユーザーを除外」も可能ですが、ユーザー切り替えが追加設定やテストを要するため、フィールド条件のほうが確実かつ直感的です。  
D. アウトバウンドメッセージそのものにユーザー除外設定はなく、ループ抑止にはワークフロールール側の条件変更が必須です。

【補足情報】  
- ワークフロー条件例：  
  - 「ERP_注文番号__c = null AND (レコードが新規作成 OR 他のトリガーフィールドが変更)」  
- 他にも、プロセスビルダー／フローを使う場合は同様にエントリ条件を細かく設定してください。",integration designer (1).pdf
,2,ユニバーサルコンテナーには、コンテナーのステータスを確認するためにすべてのユーザーが使用するカスタムSalesforce UIがあります。このチェックは、すべてのユーザーがアクセスできるバックエンドシステムへの統合を介して行われます。ただし、一部のユーザーは、そのバックエンドシステムへのより高い特権アクセスを持っているため、同じコンテナーステータスチェックでより多くの詳細を取得できます。それらのユーザーは、同じSalesforce UIがより高い特権アクセスを認識し、それらの追加の詳細を表示することを望みますが、すべてのユーザーに同じレベルの詳細を表示することはできません。この要件を満たすために推奨されるセキュリティアプローチは何ですか？,A. Apexコールアウトを制御するための「ユーザーごと」の識別タイプが設定された名前付き資格情報セット | B. Apexコールアウトを制御してさまざまなレベルの詳細を取得するカスタム権限 | C. バックエンドシステムのユーザー認証情報を保存し、Apexコールアウトで参照される階層的なカスタム設定 | D. Apexコールアウトを制御するために、より高いレベルの権限を持つユーザーを識別するための権限セット,A,"【背景】  
Universal Containers は、Salesforce UI を通じてコンテナステータスを確認できる仕組みを提供しています。全ユーザーがバックエンドと統合された UI を利用できますが、一部のユーザーにはより高いバックエンド権限があり、追加情報を取得可能です。したがって、Salesforce 側でもユーザーの権限に応じて UI 表示を切り替える必要があります。

【正解の理由】  
A：Salesforce の「名前付き資格情報（Named Credentials）」における「ユーザー単位」の識別タイプを使えば、ユーザーごとに異なる認証情報でバックエンドと通信できます。これにより、同じ Apex コードでもユーザーの資格情報に応じて、異なるレベルの情報取得が可能になります。これが最もセキュアかつ推奨されるアーキテクチャです。

【誤りの理由】  
B：カスタム権限で Apex 内の条件分岐を制御することは可能だが、バックエンドアクセス自体の認証とは無関係。詳細データを得るには、結局バックエンドへの認証制御が必要なので不十分。  
C：階層型カスタム設定に認証情報を保存するのはセキュリティリスクがあり、ベストプラクティスではない。特にユーザーごとの資格情報の制御には適していない。  
D：パーミッションセットで「誰が高い権限を持つか」は判定できるが、実際のバックエンドアクセス制御（認証）には使えない。認証情報を分離できるわけではないため、要件を満たさない。

【補足】  
名前付き資格情報に「ユーザー単位」認証を用いると、個々のユーザーが自分の資格情報で外部 API を呼び出す構成が可能になります。これにより、Salesforce 側での権限管理とバックエンド認証が連動し、きめ細かなアクセス制御が実現できます。",integration designer (1).pdf
,3,Universal Containers（UC）のSalesforce組織にはWave Analyticsがあります。UCには専門知識があり、Dell boomi ETLツールにアクセスできます。UCは、組織からのすべてのリードと機会、および他のいくつかのマーケティングツールからのデータをWaveインスタンスに取得して、分析を強化したいと考えています。データ処理をセットアップするための推奨ソリューションは何ですか？,A. Salesforceのデータと他のソースのデータに対応するDell boomi | B. SalesforceデータのWaveデータフローと他のソースからのデータのDell boomi | C. すべてのソースからExcelにデータをエクスポートし、Waveコネクタを使用してデータをインポートする | D. Salesforceデータおよび他のソースからのデータにWaveデータフローを使用する,B,"【背景】  
Universal Containers は Salesforce の Wave Analytics（現在の CRM Analytics）を活用し、Salesforce 組織内のリードや商談データ、および外部マーケティングツールのデータを統合して高度な分析を行いたいと考えています。また、UC は Dell Boomi（ETL ツール）の専門知識とアクセス権を有しており、外部ソースとの統合が可能です。

【正解の理由】  
B：Salesforce の標準データは Wave（CRM Analytics）内の **Data Flow**（現在は「データマネージャ」）を使って直接取り込むのが最適です。一方、外部のマーケティングツールなど Salesforce 以外のデータは Dell Boomi を使って Wave に適切なフォーマットでロードできます。このようにツールの得意分野を活かして役割を分担するのが、最も効率的で拡張性の高い方法です。

【誤りの理由】  
A：Dell Boomi で Salesforce データも含めてすべて処理することは可能ですが、Salesforce データに関しては Wave 専用の Data Flow 機能を活用した方が管理しやすく、設定も簡易でパフォーマンスにも優れる。  
C：すべてを Excel にエクスポートしてから Wave にインポートするのは手動処理が多く、再現性・自動化に欠ける。エンタープライズ向けの分析基盤としては不適。  
D：外部ソースのデータも Wave Data Flow で扱うことはできない。Wave の Data Flow は Salesforce 内のオブジェクトデータを対象としており、外部ソースからのデータは外部ETLやAPIを使って別途ロードする必要がある。

【補足】  
Dell Boomi を使うことで、API や SFTP など多様な連携方式を用いて外部データを CRM Analytics にロードできます。CRM Analytics 上ではそれらを **データセット** として統合し、ダッシュボードやレポートで分析が可能です。また、定期実行スケジュールを Boomi 側で制御することで、運用自動化も実現できます。",integration designer (1).pdf
,4,Universal Containersは、従業員がSalesforceと対話するためのネイティブモバイルアプリを開発する予定です。アーキテクトが推奨すべきオプションはどれですか。,A. アイデンティティ製品の活用 | B. SOAP APIを活用する | C. Message Queue製品を活用する | D. REST APIを活用する,D,"【背景】  
Universal Containers は、従業員向けに **ネイティブモバイルアプリ** を開発し、Salesforce データや機能にシームレスにアクセスさせたいと考えています。モバイル環境では **軽量な通信** と **JSON ベースのデータ交換**、および **OAuth 2.0 認証** のサポートが重要です。

【正解の理由】  
D. REST API を活用する  
- Salesforce REST API は **JSON ペイロード** を標準とし、ネイティブモバイルアプリからの **軽量・効率的な HTTP 呼び出し** に最適化されています。  
- **Salesforce Mobile SDK** も REST API をラップしており、OAuth 2.0 認証フローやデータキャッシュ機能（SmartStore）をローコードで利用可能です。  
- ネイティブ環境での実装サンプルやサポートが豊富で、開発効率とユーザー体験を両立できます。

【誤答の理由】  
A. 身分認証製品を活用する  
→ これは認証基盤の選択肢であり、API レイヤーの話題ではありません。API 通信方式を決める解答ではありません。  
B. SOAP API を活用する  
→ SOAP は XML ベースで **ヘッダーも大きく、モバイル通信には非効率**。ネイティブアプリでの実装コストも高くなります。  
C. メッセージキュー製品を活用する  
→ メッセージキューは **非同期バッチ処理やイベント駆動**に向きますが、モバイル UI のリアルタイム双方向通信には不向きです。

【補足情報】  
- Salesforce Mobile SDK（iOS/Android）は REST API を前提としたライブラリを提供。  
- REST API の **Composite API** や **Batch API** を組み合わせることで、ネットワーク呼び出し数を削減しパフォーマンスを最適化できます。  
- OAuth 2.0 ユーザ名・パスワードフローやリフレッシュトークンを使用して、シームレスなログイン体験を実現可能です。",integration designer (1).pdf
,5,UCは、信頼できる情報源として顧客のMDMを活用しています。要件は、MDMで作成されたアカウントまたは連絡先をSalesforceで作成する前に重複排除して保存することです。これにより、データがクリーンで、Salesforceで複製されなくなります。ピークシーズン中、ユーザーには「同時リクエスト制限超過」エラーが発生します。推奨される解決策は何ですか？,A. VFページコントローラーからMDMへの継続コールアウトを呼び出す | B. 挿入前トリガーからMDMへの継続コールアウトを呼び出す | C. VFページJavaScriptからMDMへの継続コールアウトを呼び出す | D. VFページの@future呼び出しからMDMへの継続コールアウトを呼び出す,A,"【背景】  
Universal Containers（UC）は、アカウントまたは連絡先を Salesforce に保存する前に、MDM システムで重複確認・排除を行いたいと考えています。MDM は外部システムであり、アクセスには HTTP Callout が必要です。また、ピークシーズン中には多数のユーザーが同時にリクエストを行うため、「同時リクエスト制限超過（Concurrent Apex Callout Limit）」が問題となります。

【正解の理由】  
A：Visualforce（VF）ページの**サーバーサイドコントローラー（Apex）**から「継続呼び出し（Continuation）」を使って MDM への HTTP Callout を非同期で実行すれば、同時リクエスト制限（最大10）を回避できます。Continuation は、ユーザー操作に応じた**長時間実行の外部呼び出しに適しており、最大10秒の応答待機が可能**です。

【誤りの理由】  
B：`before insert` トリガーでは HTTP Callout 自体が原則禁止（同期コード内からの外部呼び出しは不可）であり、継続呼び出しは使用できません。技術的に不可能な構成です。  
C：JavaScript（クライアントサイド）からの直接継続呼び出しはサポートされておらず、継続は Apex コントローラー内でのみ使用可能です。  
D：`@future` は非同期処理ですが、継続（Continuation）と併用はできませんし、`@future` 呼び出しそのものが Apex 同時制限（50件）を受けるため、制限の根本解決にはなりません。

【補足】  
継続（Continuation）とは、Apex コントローラー内で `Continuation` クラスを使用し、非同期 HTTP 呼び出しを行う Salesforce の仕組みです。これにより、外部呼び出しの応答待機中もサーバーリソースを解放し、同時リクエストの負荷を抑えられます。高負荷下での外部API連携設計において、非常に有効な方法です。",integration designer (1).pdf
,6,Universal Containersは、Salesforceが認証のためにシステム定義のユーザー名/パスワードを必要とするERPシステムに注文データを送信することを要求します。セキュリティの観点から推奨される統合オプションはどれですか？,A. Apexコールアウトの代わりに認証情報を保存するミドルウェアに送信メッセージを送信する | B. カスタム設定を使用してユーザー名とパスワードを保存し、Apexコールアウトで読み取れるようにします | C. Apexコールアウトがそれを使用できるように、名前付きプリンシパルIDタイプで名前付き資格情報を設定する | D. ユーザー名/ハッシュ化されたパスワードをプライベート静的リソースに保存し、Apexコールアウトがそれを読み取れるようにします,C,"【背景】  
Universal Containers は Salesforce から外部 ERP システムへ注文データを送信したいと考えています。その ERP システムは、システムレベルで定義されたユーザー名とパスワードを用いて認証を行う仕様です。したがって、Salesforce 側からセキュアにこの認証情報を管理し、HTTP コールアウトで安全に通信する必要があります。

【正解の理由】  
C：**Named Credential（名前付き資格情報）**は、Salesforce からの外部システムへの認証情報（ユーザー名/パスワードなど）をセキュアに管理・呼び出しできる標準機能です。プリンシパル識別タイプを「指定されたユーザー（Named Principal）」に設定することで、すべてのユーザーが共通の資格情報を使用して外部にアクセスできます。Apex コードから呼び出す際も、`callout:` プレフィックスで URL を指定するだけで、認証情報を明示する必要がなくなります。

【誤りの理由】  
A：アウトバウンドメッセージは簡易的な連携には有効ですが、HTTP メソッドが `POST` のみ、認証処理に柔軟性がなく、ERP システムが必要とする認証ヘッダーの細かい制御には不向き。加えて資格情報の保存もミドルウェア依存となるため、Salesforce 側の責任範囲でセキュリティ制御ができない。  
B：カスタム設定は構造がシンプルな反面、**セキュリティ的にパスワードを保存する用途には不適切**。カスタムメタデータ型も同様で、暗号化やアクセス制御が不十分。セキュリティベストプラクティスに反する。  
D：Static Resource にパスワードなどの情報を格納するのは完全に非推奨。**暗号化もアクセス制御もできず、全ユーザーがアクセス可能なため、深刻なセキュリティリスク**となる。

【補足】  
Named Credential を使えば、**OAuth、Basic 認証、カスタム認証**を含むさまざまな認証形式に対応でき、暗号化・アクセス制御も Salesforce プラットフォームで統合的に管理できます。システム統合のセキュリティを考慮するうえで、最も推奨される構成です。",integration designer (1).pdf
,7,"ユニバーサル・コンテナーズには、Salesforce内のダッシュボードで輸送中のコンテナの状況をほぼリアルタイムで監視するロジスティクスエンジニアがいます。
ダッシュボードから離れることなく、エンジニアはコンテナを選択し、そのコンテナの最新のステータスをリクエストできます。これらのリクエストは、独自の輸送システムによって処理され、各コンテナに送信するためのリクエストをキューに追加します。コンテナは接続されたデバイスであり、30秒ごとに輸送システムと通信し、ステータスリクエストを受け取ります。
Salesforceと輸送システムを接続するために必要な統合パターンまたはパターンの組み合わせは何ですか？",A. データ変更に基づくUI更新とバッチデータ同期 | B. リモートプロセス呼び出し（Fire and Forget）、データ変更に基づくUI更新 | C. リモートコールイン、データ変更に基づくUI更新 | D. リモートプロセス呼び出し（リクエストとレスポンス）,B,"【背景】  
Universal Containers のロジスティクスエンジニアは、Salesforce のダッシュボードで輸送中のコンテナを監視しており、必要に応じてコンテナの最新ステータスをリクエストできます。  
そのリクエストは、外部の「独自輸送システム」に送られ、各コンテナが **30秒ごとにチェックインしてリクエストを受け取る**仕組みです。つまり、リクエストは即時処理されるわけではなく、処理と応答には非同期性が含まれています。

【正解の理由】  
B：  
- Salesforce から輸送システムへのリクエスト送信は、**即座の応答を必要としない**ため、「リモートプロセス呼び出し（Fire and Forget）」が適しています。  
- ステータスの更新結果は、後で輸送システムから Salesforce に返され、Salesforce ダッシュボード上に反映される。これは、「データ変更に基づくUI更新」パターンで表現されます（例：PushTopic, Platform Events, Polling などで UI を更新）。

【誤りの理由】  
A：バッチデータ同期は、定期的に大量のデータを同期するパターンであり、リアルタイム性のあるステータス取得リクエストやUIとの即時連携には不適切。  
C：リモートコールインは、外部システムが Salesforce に対して処理を要求するパターン。今回は Salesforce 側からリクエストを送るため、方向性が逆。  
D：リモートプロセス呼び出し（リクエストとレスポンス）は同期的な通信が前提。今回のケースでは、リクエストの応答が最大30秒遅延するため、UI上で即応答を待つ同期処理は不適切。

【補足】  
このような「非同期リクエスト + 後で結果を反映」のユースケースは、**Fire and Forget + UI更新**という組み合わせが Salesforce Integration パターンにおけるベストプラクティスです。更新結果をユーザーに通知するには、Platform Event, Change Data Capture, または Streaming API などを使うとより効率的です。",integration designer (1).pdf
,8,Universal Containers （UC） は、製品の在庫を1つの Salesforce 組織で管理しています。UC は、独自の Salesforce 組織を持つ地域および現地の支店が、製品の最新情報を確認できるようにしたいと考えています。,データアクセスを提供する推奨アプローチは何ですか？,D,"【背景】  
Universal Containers（UC）は、1つの中央 Salesforce 組織で製品在庫を管理しています。一方、各地域・支店はそれぞれ別の Salesforce 組織を持っており、それらの組織から中央組織の製品データに「リアルタイム」でアクセスする必要があります。これにより、データの重複や同期遅延なしに最新の製品情報を提供したいと考えています。

【正解の理由】  
D：**Salesforce Connect の Cross-Org アダプター**は、**Salesforce 組織間でリアルタイムにデータを参照**するためのベストプラクティスです。  
- 中央の Salesforce 組織にある「製品」データを、他の Salesforce 組織で「外部オブジェクト」としてリアルタイム参照できます。  
- データの複製やバッチ同期が不要で、リアルタイム性・一元管理・アクセス制御がすべて実現できます。  
- oAuth 認証やプロファイル・権限設定で安全なアクセスも可能です。

【誤りの理由】  
A：Heroku Connect は Salesforce と Heroku Postgres 間の同期に使われるものであり、**Salesforce 組織間の連携には適していません**。今回のように Salesforce-to-Salesforce のケースでは選定対象外。  
B：Salesforce Connect + OData は、**Salesforce 外部の OData 準拠サービス**（SAP, Azure 等）への接続には使えますが、Salesforce 組織間連携には Cross-Org アダプターを用いるのが正解。  
C：Apex HTTP コールアウト + REST API は、技術的には実現可能ですが、**再利用性や保守性、セキュリティ、参照パフォーマンスに欠ける手法**です。データ連携としては冗長で推奨されません。

【補足】  
Cross-Org アダプターの利用により、参照元組織では外部オブジェクトとして扱われるため、標準レポート・SOQL・リストビューなども使えるようになります。また、Product（製品）オブジェクトのデータ一元管理を保ちつつ、分散組織にセキュアに公開できます。",integration designer (1).pdf
,9,"Universal Containersは外部ERPシステムを保有しており、このシステムが在庫管理と出荷物流を管理し
Salesforceで「Closed Won」とマークされた機会（Opportunity）に基づいて出荷物流を実行します。出荷番号（Shipping Number）はERPシステム内の関連レコードを追跡するため、機会（Opportunity）に書き戻す必要があります。営業担当者は迅速に次の機会（Opportunity）へ移行する必要があります。",システム要件を満たしつつ、営業担当者の効率を最大化する統合パターンはどれですか？,A,"【背景】  
Universal Containers（UC）は、Salesforce上の商談（Opportunity）が「Closed Won」とマークされた際に、外部のERPシステムが在庫の引当てや出荷処理を担当します。ERPで処理が完了した後、出荷番号（Shipping Number）をSalesforceの該当Opportunityに書き戻す必要があります。

一方で、営業担当者は即時に次の商談に移動することが求められており、ERP処理の完了を待つような同期的な処理は避けたい状況です。

【正解の理由】  
A：  
- 「リモートプロセス呼び出し - ファイアアンドフォーゲット」は、Salesforce から ERP に対して**非同期でリクエストを送信し、応答を待たずに次の処理へ進める**統合パターンです。  
- これにより、営業担当者は出荷処理完了を待つ必要がなく、迅速に次の業務へ移行できます。  
- ERP側で処理完了後、Salesforce に出荷番号を書き戻す処理は、後続で「リモートコールイン」や「外部イベントによる更新」など別の仕組みで補完されます。

【誤りの理由】  
B：バッチデータ同期は、一定時間ごとに大量のデータを一括処理する方式であり、**リアルタイム性が低く、営業担当の即時行動には適さない**。  
C：リモートプロセス呼び出し - リクエストアンドリプライは**同期処理**のため、ERP処理の応答を待つ間、ユーザー操作がブロックされてしまい、**営業担当者の業務効率を損なう**。  
D：リモートコールインは、ERPなど**外部システムがSalesforceを呼び出すパターン**であり、Salesforce側からERPを起動する本要件の方向性と一致しない。

【補足】  
このユースケースのベストプラクティスは、SalesforceからERPへは「Fire and Forget」で非同期に指示を送り、出荷処理完了後に「出荷番号」をERP側からSalesforceへリモートコールインやPlatform Event/API連携で書き戻す二段構えのアーキテクチャです。これにより、リアルタイム性とユーザー体験の両立が可能になります。",integration designer (1).pdf
,10,"ユニバーサル・コンテナーズ（UC）は、地域事業部門向けに新しいForce.comアプリを展開する計画です。
UCには、展開可能な部分的なコピーとフルサンドボックスが利用可能です。UCのアーキテクトは統合テストとパフォーマンステスト、およびユーザー受入テストのための環境戦略を設計するよう依頼されました。
利用可能なサンドボックスの種類について、アーキテクトが考慮すべき推奨使用方法は何か？",A. 部分的なコピーをパフォーマンステストに、フルサンドボックスを統合テストとユーザー受け入れテストに使用します。 | B. フルサンドボックスをパフォーマンステストとユーザー受け入れテストに、部分的なコピーを統合テストに使用します。 | C. フルサンドボックスを統合テストに、部分的なコピーをユーザー受け入れテストとパフォーマンステストに使用します。 | D. フルサンドボックスをユーザー受け入れテストに、部分的なコピーを統合テストとパフォーマンステストに使用します。,B,"【背景】  
Universal Containers（UC）は、新しい Force.com アプリを地域事業部門向けに展開しようとしています。そのため、以下の3つのテスト目的に適したサンドボックス環境が必要です：
- 統合テスト（Integration Test）
- パフォーマンステスト（Performance Test）
- ユーザー受入テスト（User Acceptance Test）

UCは「部分コピーサンドボックス」と「フルサンドボックス」の2種類を使用可能です。それぞれの特徴を活かすことが、環境戦略の鍵となります。

【正解の理由】  
B：  
- **フルサンドボックス**は本番データの完全なコピーを含むため、**実際のデータ量・構造に基づいたパフォーマンステストやユーザー受入テスト**に最も適しています。これらのテストは、本番に近い環境での動作確認が重要です。  
- 一方、**部分コピーサンドボックス**は、選択されたオブジェクトやサンプルデータのコピーを含むため、**統合テスト（複数システムや機能間の動作確認）**に十分な柔軟性と軽さを持ちます。テストデータ量が少ないため、反復的なテストにも適しています。

【誤りの理由】  
A：部分コピーはデータ量が限られており、**パフォーマンステストに不適**。テスト環境が本番に近くないと、パフォーマンスの再現性が損なわれる。  
C：ユーザー受入テストでは、本番同様の画面・データ構成が求められるため、**部分コピーでは不十分**。また、パフォーマンステストにも適さない。  
D：統合テストには、複雑なエンドツーエンドシナリオが含まれる場合があり、**フルコピーである必要はない**。部分コピーでも十分に対応可能だが、パフォーマンステストはフルである必要がある。

【補足】  
Sandbox の使い分けは、**テスト目的に応じた本番再現性のレベル**で判断するのがベストプラクティスです。  
- **Full Sandbox**：本番と同等のデータ量と構成 → 負荷試験やUATに最適  
- **Partial Copy Sandbox**：限定的なデータセットでテストが可能 → 開発者テストや統合確認に適

この原則をベースに、環境設計を行うと管理効率も高まります。",integration designer (1).pdf
