duplicate,#,question,choices,answer,explanation,source
,1,Mule 4 イベントに含まれないものはどれですか？,A. attributes | B. payload | C. inboundProperties | D. message,C,Mule 4のイベントはattributes、payload、messageを含みますが、inboundProperties（インバウンドプロパティ）はMule 3の概念であり、Mule 4では廃止されました。,https://www.certlibrary.com/exam/MCD%20-%20Level%201
,2,Design Center のフローデザイナーの主な目的は何ですか？,A. ホスト型開発環境で完全に機能する Mule アプリケーションを設計・開発する。 | B. グラフィカルな方法でAPI RAMLファイルを設計する。 | C. Anypoint Studio を使用して実装する必要がある Mule アプリケーションテンプレートを設計・モックアップする。 | D. グラフィカルな方法でAPIライフサイクル管理を定義する。,A,Design CenterのFlow Designerはホスト型（クラウド）開発環境で完全に機能するMuleアプリケーションを設計・開発するためのツールです。RAMLの設計はAPI DesignerがDesign Centerの別機能として提供されます。,https://www.certlibrary.com/exam/MCD%20-%20Level%201
,3,mapObject 操作の入力として使用できる DataWeave 2.0 の型はどれですか？,A. Array | B. Object | C. String | D. Map,B,DataWeave 2.0のmapObject操作はObject型を入力として受け取り、各キーと値のペアを変換します。配列の変換にはmap、文字列はsplitなど別の関数を使います。,https://www.certlibrary.com/exam/MCD%20-%20Level%201
,4,HTTP の代わりに SOAP を使用する場合はどのようなときですか？,A. アーキテクチャで義務付けられている場合。 | B. 統合スペシャリスト次第です。 | C. 信頼性の高いメッセージング機能のための成功/リトライロジック。 | D. アジャイル方法論の一部です。,C,SOAPはWS-SecurityやWS-ReliableMessagingなどの標準規格による信頼性の高いメッセージングと再試行ロジックをサポートしているため、そのような機能が必要な場合に選択されます。,https://www.certlibrary.com/exam/MCD%20-%20Level%201
,5,MuleSoft のアプリケーションネットワークの説明の一部はどれですか？,A. 高可用性でフォールトトレラントなサービスとインフラストラクチャを作成・管理する。 | B. 他のビジネスユニットが消費できるように設計された再利用可能なAPIとアセットを作成する。 | C. JMSメッセージングサービスとインフラストラクチャのコレクションを作成・管理する。 | D. 中央ITを活用してマスターデータ管理によるポイントツーポイントソリューションを提供する。,B,アプリケーションネットワークとは、他のビジネスユニットが再利用できるAPIやアセットを公開・共有することで形成されるネットワークです。MuleSoftのAPI主導の接続アプローチの核心概念です。,https://www.certlibrary.com/exam/MCD%20-%20Level%201
,6,Mule ランタイムがポリシーを強制し、API へのアクセスを制限するために使用するものはどれですか？,A. API Manager | B. API Manager によって作成されたプロキシ | C. Mule ランタイムの組み込み API Gateway | D. Anypoint Access Control,C,MuleランタイムにはAPI Gatewayが組み込まれており、API Managerで定義されたポリシーをプロキシを介して直接強制します。API ManagerはポリシーをMuleランタイムの組み込みAPI Gatewayに適用します。,https://www.certlibrary.com/exam/MCD%20-%20Level%201
,7,RAML でフラグメントを参照するための正しい構文はどれですか？,A. examples: #include examples/BankAccountsExample.raml | B. examples: $include examples/BankAccountsExample.raml | C. examples: ?include examples/BankAccountsExample.raml | D. examples: !include examples/BankAccountsExample.raml,D,RAMLでは!include（エクスクラメーションマーク+include）がフラグメントや外部ファイルを参照するための正しい構文です。#includeや$includeは無効です。,https://www.certlibrary.com/exam/MCD%20-%20Level%201
,8,DataWeave で新しい関数を作成するために使用するキーワードはどれですか？,A. function | B. fun | C. func | D. 該当なし,B,DataWeave 2.0では関数を定義するキーワードはfun（functionの略）です。例：fun greet(name) = 'Hello ' ++ name のように使います。,https://www.certlibrary.com/exam/MCD%20-%20Level%201
,9,CloudHub Fabric の機能は何ですか？,A. 非永続キュー | B. 水平スケーリング | C. VPN モックサービス | D. 該当なし,B,CloudHub Fabricは複数のCloudHubワーカーをクラスター化し、水平スケーリング（ワーカー数の追加）を可能にする機能です。また、永続的なキューや共有データ管理もサポートします。,https://www.certlibrary.com/exam/MCD%20-%20Level%201
,10,CloudHub ワーカー上で実行できる Mule アプリケーションの数はいくつですか？,A. 最大1つ | B. 該当なし | C. 場合による | D. 少なくとも1つ,A,CloudHubの1つのワーカーには1つのMuleアプリケーションのみデプロイできます。これはCloudHubのアーキテクチャ上の設計であり、アプリケーションの分離を保証します。,https://www.certlibrary.com/exam/MCD%20-%20Level%201
