duplicate,#,question,choices,answer,explanation,source
,1,"Cloud  Kicks ( CK) は、 フォーマル シューズとスポーツ シューズのラインを販売しています。製品の製品ファミリーを使用して、各製品を対応するラインに関連付けます。CK は現在、すべての製品を合わせた予想収益額を予測しています
A. 製品ファミリごとに個別のステージと販売プロセスを構成します。
B. 製品ファミリ別にグループ化された商談製品に新しい予測タイプを設定します。
C. 製品ファミリ別にグループ化された商談の新しい予測タイプを構成します。",,B,"CK がフットウェアライン（製品ファミリー）別に予測する能力を向上させるには、商談製品レベルで製品ファミリーごとにグループ化された新しい予測タイプを設定するのが最善の解決策です。このアプローチにより、CK は単一の統合された期待収益予測ではなく、フットウェアラインごとにセグメント化された予測を表示できます。
Salesforce Sales Cloud は様々な予測タイプを提供しており、柔軟なオプションの 1 つとして、商談製品レベルを活用したカスタム予測タイプを使用できます。オプション B が最適な理由は次のとおりです。
* 商談製品での予測タイプ：商談製品に予測タイプを設定することで、CK は商談自体よりも詳細なレベルで予測を細分化できます。CK は製品を製品ファミリーで分類しているため、この構造を活用して各ファミリーごとに個別の予測を取得できます。

* 製品ファミリーによるグループ化：Salesforce は、予測におけるグループ化項目として製品ファミリーの使用をサポートしています。これにより、CKはフォーマルシューズとアスレチックシューズのラインごとに個別の予測を容易に表示・管理できるようになり、製品ラインを区別するビジネスモデルとの整合性も確保できます。
* Salesforceのベストプラクティス：Salesforceのベストプラクティスによると、企業が製品ファミリなどの異なる製品カテゴリを使用している場合、より正確なインサイトと売上予測を得るためには、これらのカテゴリに基づいて予測を行うのが効果的です。このアプローチは、製品ラインごとに売上傾向や目標が異なる場合に特に効果的です。

* 予測機能：Salesforce Sales Cloudのドキュメントでは、予測タイプを設定して商談商品に基づく予測データを表示し、商品ファミリなどのカスタム項目でグループ化できることが説明されています。この設定により、CKはすべての商品を単一の予測にまとめるのではなく、必要なセグメント化されたビューを取得できます。
* 参考資料：詳細については、Salesforceの予測タイプと商品ファミリに関するドキュメントを参照してください。商談商品を含む様々なレベルでの予測の設定と管理方法や、予測における商品ファミリの活用方法が説明されています。詳細については、Salesforce のドキュメント「予測タイプと商品ファミリ」をご覧ください。
要約すると、商談商品に商品ファミリ別にグループ化された予測タイプを設定すること (オプション B) は、Salesforce Sales Cloud のベストプラクティスに準拠しており、CK にとって、個別のフットウェア製品ラインごとに個別の予測を実現するための最も効果的なソリューションとなります。",JPN.v2024-12-12.q79/
,2,"大規模なグローバル組織である Cloud Kicks (CK) は、世界中のオフィスにいるスタッフに複雑な Salesforce リリースを展開しています。コンサルタントは、この対象者のトレーニングに CK が使用するアプローチとしてどのアプローチを推奨すべきでしょうか?
A. Trailhead とドキュメントを活用します。
B. トレーナー研修セッションを実施します
C. アプリ内ガイダンスを構成します。",,B,"大規模なグローバル展開には、トレーナー研修セッションの実施が最も効果的なアプローチです。その理由は以下のとおりです。
* 拡張性とローカライズ：トレーナー研修セッションでは、各地域に特化したトレーナーを育成し、それぞれの地域に合わせたトレーニングを提供できます。このアプローチにより、トレーニングは拡張可能で、各拠点の固有のニーズに合わせて調整できます。
* グローバルな一貫性：担当トレーナーを研修することで、CKは伝達される情報の一貫性を確保しながら、必要に応じてトレーニング資料をローカライズできます。
* Salesforceのベストプラクティス：大規模で分散した組織の場合、Salesforceは、グローバルチーム間での広範なカバレッジと効果的なコミュニケーションを確保するために、トレーナー研修モデルを推奨しています。",JPN.v2024-12-12.q79/
,3,"Cloud Kicks (CK) は、毎日何百もの新規アカウントを Sales Cloud に追加しています。CK は、自動化されたプロセスを使用してアカウント所有者を割り当てます。アカウントに割り当てができない場合は、特定のユーザーにルーティングされ、後日手動で確認して再割り当てします。このユーザーには、何千ものアカウント レコードが割り当てられている場合があります。
CK が新しいアカウント プロセスを設定するときに、コンサルタントはどのソリューションを推奨する必要がありますか?
A. ユーザーをロール階層の最上位の 4 つの個別のロールに配置します。
B. ユーザーに「すべてのデータの変更」権限を割り当てます。
C. ユーザーをロール階層の最下位レベルの別のロールに追加します。",,C,"未割り当ての取引先を手動レビューにルーティングする場合など、多数のレコードを単一のユーザーに割り当てる場合は、そのユーザーをロール階層の最下位に配置するのが最適です。この設定により、ユーザーは自分が直接管理またはレビューする必要があるレコードのみにアクセスできるため、不要なデータの表示を最小限に抑え、セキュリティリスクを軽減できます。ユーザーを階層の最下位に配置することで、データの整合性を維持し、レコードの所有権を明確にすることができます。
ロール階層のベストプラクティスに関する追加のガイダンスについては、「Salesforce のロール階層と共有」を参照してください。",JPN.v2024-12-12.q79/
,4,"Cloud Kicks のパイプラインと予測レポートは、営業担当者がすでに成立した商談を作成しているため、不正確です。営業管理では、営業担当者がこのような種類の商談を作成している頻度を把握したいと考えています。
コンサルタントはどのソリューションを推奨すべきでしょうか?
A. 商談パイプラインの標準レポートを実行して、今後の商談をステージ別に表示します。
B. 作成日よりも完了日が早い商談を表示するレポートを構成します。
C. 自動化を実装して、商談を販売プロセスの最初のステージに更新します。",,B,"作成日よりも早い完了日を持つ商談を強調表示するレポートは、既に完了した商談が後に作成されるという問題に直接対処します。このレポートは、営業管理部門がこのような状況の発生頻度を把握し、パターンを特定したり、追加のトレーニングや監督が必要な営業担当者を特定したりするのに役立ちます。
商談パイプラインレポートは、今後の商談をステージ別に概観しますが、作成日と完了日の不一致については具体的には対応していません。商談ステージの更新を自動化することはデータの整合性管理には役立ちますが、商談の作成が遅れる頻度に関する必要な可視性は提供しません。
Salesforceドキュメント参照：
* 商談に関するカスタムレポートの作成
* 商談項目の理解",JPN.v2024-12-12.q79/
,5,"コンサルタントは、Sales Cloud 実装の展開戦略を設計するために新しいクライアントと会議を行っています。
実装を成功させるために、コンサルタントは計画段階で何をすべきでしょうか?
A. 使用する Salesforce の機能と関数を特定します。
B. 提案されたソリューションのプロトタイプを設計します。
C. 目標、指標、プロジェクト スケジュール、および販売プロセスを定義します。",,C,"Sales Cloud 導入の計画段階では、目標、指標、プロジェクトスケジュール、そして営業プロセスを定義することが、導入を成功させる上で非常に重要です。この基礎的なステップにより、導入がクライアントのビジネス目標と整合し、成功を測定するための明確な基準が提供されます。Salesforce では、導入計画にタイムラインの策定、達成可能な目標の設定、既存および望ましい営業プロセスの文書化を含めることを推奨しています。これらの要素は、効果的なプロジェクト管理の基盤となり、ソリューションをクライアントのビジネスニーズに適合させるのに役立ちます。
Salesforce の機能の特定とプロトタイプの設計は重要なステップですが、通常は明確な目標と要件を定めた後に行われます。適切な計画は、後続のタスクの準備を整えます。
Salesforce ドキュメントの参考資料：
* Salesforce 導入のベストプラクティス
* Sales Cloud 計画ガイド",JPN.v2024-12-12.q79/
,6,"Cloud Kicks は最近、新しい社内営業チームを採用しました。経営陣は、営業プロセスの手順が明確であり、チームがそれに従うことを保証したいと考えています。各手順には、明確なガイドライン、サポート資料、コーチングのヒントが必要です。
新しい営業チームと経営陣をサポートするためにコンサルタントは何を推奨すべきでしょうか?",,C,"新人営業チームを営業プロセスに導くには、商談オブジェクトにパスを作成することが最も効果的です。その理由は以下のとおりです。
* 各ステージのガイダンス：Salesforce パスを使用すると、営業プロセスの各ステージを視覚化し、主要項目、サポート資料、ヒントなど、カスタマイズ可能なガイダンスを商談レコード上で直接確認できます。
* 強化されたユーザーエクスペリエンス：パスは、営業担当者にプロセスの各ステージに合わせた具体的なコーチングのヒントとリソースを提供することで、プロセス遵守を促進し、新しいチームメンバーのオンボーディングを改善します。
* Salesforce のベストプラクティス：Salesforce は、プロセスステップの強化にパスを使用することを推奨しており、プロセスの標準化と遵守の徹底を目指す組織に最適です。
* 参考資料：パスとワークスペースに関する Salesforce ドキュメントで、プロセスガイダンスにパスを使用するメリットについて詳しく説明されています。
まとめると、商談オブジェクトにパスを作成すること（オプション C）により、Cloud Kicks は新人営業チームを営業プロセスの各ステップに体系的に導くことができます。",JPN.v2024-12-12.q79/
,7,"Cloud Kicks (CK) での Sales Cloud 実装が開始されました。
エンド ユーザーのトレーニングが完了しました。IT 関係者はプロジェクトの技術的側面を承認しました。CK 管理者は、販売プロセスに関する質問をコンサルタントに引き続き問い合わせています。
コンサルタントは何をすべきでしょうか?
A. CK にサポート契約を購入することを提案します。
B. 管理者に Salesforce インストラクター主導のトレーニングに参加することを推奨します。
C. 管理者との知識移転を実施します。",,C,"Cloud Kicks の管理者は営業プロセスに関する質問を継続的に受けているため、コンサルタントは知識移転セッションをファシリテートする必要があります。
要点：
* 知識移転の重要性：知識移転により、管理者は導入された営業プロセスの構成、カスタマイズ、そしてその背後にある根拠を理解できるようになります。
* エンパワーメント：管理者を徹底的に教育することで、管理者はより自立し、エンドユーザーを効果的にサポートできるようになります。

* 個別学習：セッションでは、Cloud Kicks に関連する具体的な質問やシナリオに対応し、すぐに価値を提供できます。
* 導入後のサポート：知識移転は、導入を成功させる上で重要な要素であり、長期的な持続可能性を確保します。
Salesforce Sales Cloud の参考資料：
* トレーニングと導入：Salesforce は、導入のベストプラクティスにおいて、トレーニングと知識共有の重要性を強調しています。
* 管理者向けリソース：Salesforce 管理者向けリソース
オプション A と B が誤りである理由：
* オプション A：サポート契約を購入しても、管理者が必要とする個別のサポートが提供されず、不要なコストが発生する可能性があります。
* オプションB：正式なトレーニングは有益ですが、差し迫った懸念事項に対応できない可能性があり、知識移転セッションほど個別対応が行き届いていません。

管理者との知識移転を実施することで、管理者の質問に直接答えることができ、販売プロセスを効果的に管理するために必要な理解を確実に得ることができます。",JPN.v2024-12-12.q79/
,8,"Cloud Kicks は、信頼できるターゲット データに基づいて構築されたインテリジェントなプロセスを作成することで、投資収益率 (ROI) を向上したいと考えています。
AppExchange データ サービスを使用する正当な理由は何ですか?
A. Salesforce Surveysを使用して顧客データを更新する
B. ペルソナとスコアリングを使用して顧客セグメントを作成する
C. カスタマイズ可能な売上予測とリードスコアリングを有効にする",,B,AppExchangeデータサービスを活用することで、データドリブンな顧客セグメンテーションを通じて、Cloud KicksのROI向上能力を大幅に向上させることができます。これらのサービスは、顧客ペルソナの構築やスコアリングモデルの適用のための高度なツールを提供し、ターゲットを絞ったマーケティングおよび販売戦略を可能にします。AppExchangeから提供される豊富なデータを活用することで、Cloud Kicksは顧客の行動や嗜好に関するより深いインサイトを獲得し、よりパーソナライズされたエンゲージメントと効率的なリソース配分を実現できます。,JPN.v2024-12-12.q79/
,9,"Cloud Kicks は、製品ラインに合わせて営業チームを再編成しています。各営業担当者は、割り当てられたアカウントのみに集中します。
営業担当者は特定の製品のアップセル プロセスを実行します。
営業チームの移行を成功させるためにコンサルタントはどのようなアクションを取るべきでしょうか?
A. テリトリーの営業リーダーと会って、テリトリー割り当てルールを設計します。
B. 営業担当者と会って、担当する製品を確認し、商談チームを導入します。
C. レコード共有の要件を理解するために、営業担当幹部と会います。",,A,"製品ラインベースの営業チームへの移行を支援するため、コンサルタントはテリトリー担当のリーダーと面談し、テリトリー割り当てルールを策定する必要があります。その理由は以下のとおりです。
* テリトリー管理：Salesforce のテリトリー管理機能を使用すると、製品ラインなどの基準に基づいて、特定の営業担当者に顧客を割り当てるルールを定義できます。コンサルタントはリーダーと面談することで、CK の再編目標に沿ったテリトリー割り当てを確実に行うことができます。
* 営業戦略との整合性：テリトリー割り当てルールをカスタマイズすることで、営業担当者が担当する特定の顧客に集中できるようにし、担当テリトリー内の顧客のみを参照・対応できるようにします。
* Salesforce のベストプラクティス：テリトリー担当のリーダーと連携することで、テリトリー割り当てルールがビジネス戦略と整合し、スムーズな移行と営業チームの効果的な再編を促進します。
* 参考資料：テリトリー割り当てを効果的に作成および管理する方法については、Salesforce のエンタープライズテリトリー管理に関するドキュメントをご覧ください。
要約すると、テリトリーの営業リーダーと会ってテリトリー割り当てルールを設計する (オプション A) ことで、Cloud Kicks の新しい営業構造に合わせて営業チームの移行を成功させることができます。",JPN.v2024-12-12.q79/
,10,"Cloud Kicks の営業マネージャーは、採用率を向上させるための情報を得るために、現在 Sales Cloud を使用している 250 人の従業員とのディスカバリー ミーティングを開催することをコンサルタントに提案しました。
この目標を効率的に達成するために、コンサルタントは営業マネージャーにどのようなアプローチを推奨すべきでしょうか?
A. すべての従業員に、アイデアやフィードバックをコンサルタントに電子メールで送信するよう依頼します。
B. すべての従業員にアンケートを送信し、希望する変更のリストを尋ねます。
C. 多数の従業員と会ってフィードバックを聞きます。",,B,"大規模なユーザーグループ（従業員250名）から効率的にフィードバックを収集するには、アンケートの送信が推奨されるアプローチです。その理由は以下のとおりです。
* 拡張性と効率性：アンケートは全従業員に迅速に届き、大規模な会議を開催することなく、幅広い意見を体系的に収集できます。アンケートには、定性データと定量データの収集に役立つ様々な質問形式を用意できるため、回答の分析が容易になります。

* 参加促進：アンケートは、従業員が都合の良い時間にフィードバックを提供できるため、多数のユーザーを対象とするグループ会議よりも負担が少なく、参加者の負担を軽減できます。
* データ分析とレポート作成：アンケートツールを使用することで、コンサルタントは回答を分析・分類し、フィードバックの傾向や共通点を特定できます。これにより、集約された意見に基づいて変更の優先順位付けを行うことができます。
* 参考資料：Salesforceは、Sales Cloud内で直接、またはAppExchangeで利用可能な統合ツールを通じて利用できるアンケート機能を提供しており、Salesforce内で回答の管理やインサイトの閲覧を容易にします。
要約すると、アンケートの送信 (オプション B) は、多数の従業員から意見を収集するための最も実用的かつ効率的なアプローチであり、コンサルタントは Sales Cloud の導入を改善するための戦略に役立つ包括的なフィードバックを収集できます。",JPN.v2024-12-12.q79/
