duplicate,#,question,choices,answer,explanation,source
,1,Universal Containers は高度にカスタマイズされた Salesforce 組織を持ち、多くの異なる設定とコードがあります。どの設定アイテムが実行可能なテストでカバーされるべきですか？,A. アクティブな Process Builder | B. 検証ルール | C. ワークフロールール | D. ケース割り当てルール,A,Process Builderなどの自動化プロセスは実行可能なロジックを含むため、単体テストでカバーすべき対象です。検証ルール・ワークフロー・割り当てルールは宣言的設定であり直接テストコードでカバーは困難ですが、Process Builderは実行可能なApexをトリガーする場合があります。,https://www.certlibrary.com/exam/Certified%20Development%20Lifecycle%20and%20Deployment%20Architect
,2,Universal Containers の CTO は、アジャイルチームにスクラムフレームワークを導入することを決定し、一連のスクラム原則を会社に伝えました。スクラムの原則を説明するものはどれですか？,A. 他のチームの作業を行わないことで他のチームを尊重する（開発者はソフトウェアをテストすべきでない）。 | B. タイミング、計画、障害について正直で明確にすることで透明性を生み出す。 | C. 毎日異なるスコープで作業することで変化を受け入れる。 | D. 動作するソフトウェアを提供する。ソフトウェアコンポーネントが動作している場合は変更を避ける。,B,スクラムの核心的な価値の一つは透明性（Transparency）であり、タイミング・計画・障害について正直かつ明確にすることで実現されます。他の選択肢はスクラムの原則を誤って説明しています。,https://www.certlibrary.com/exam/Certified%20Development%20Lifecycle%20and%20Deployment%20Architect
,3,Universal Containers は本番環境で深刻な欠陥（Sev0）を発見しました。数分で何万ものレコードが誤ったデータで作成され、大きなブランドへのダメージをもたらします。Salesforce 管理者が、欠陥のあるテキストフィールドを本番環境でピックリストフィールドに置き換えることを提案しました。Salesforce アーキテクトは何をアドバイスすべきですか？,A. 開発者のみが本番環境で直接変更を加える認定を受けていると説明する。 | B. 提案を否定し、リスクが高すぎて次のリリースウィンドウは週末だと全員に説明する。 | C. セキュリティチームに連絡し、侵入テストを計画し始める。 | D. 管理者とペアを組んで、各変更が行われる際にレビューする。,D,本番環境での深刻な欠陥対応では、管理者とアーキテクトがペアを組んで各変更をレビューしながら進めることが最善です。変更を止めるよりも安全に対処する方が被害拡大を防げます。,https://www.certlibrary.com/exam/Certified%20Development%20Lifecycle%20and%20Deployment%20Architect
,4,高度に規制され監査された環境で本番環境に変更を加える際に考慮すべき2つのオプションはどれですか？（2つ選択）,A. ホットフィックスを含むすべての変更はセキュリティ原則に照らしてレビューされるべきです。 | B. デプロイ後、開発チームは本番環境で機能をテストして確認する必要があります。 | C. すべての本番変更には関係者の明示的な承認が必要です。 | D. 手動手順は実行すべきでありません。,"A,C",高度に規制・監査された環境では、すべての変更（ホットフィックスを含む）はセキュリティ原則に基づきレビューされるべきであり、すべての本番変更には関係者の明示的な承認が必要です。,https://www.certlibrary.com/exam/Certified%20Development%20Lifecycle%20and%20Deployment%20Architect
,5,コードセキュリティの向上に貢献する2つのアクションはどれですか？（2つ選択）,A. 2人の開発者を使用して現在のコード脆弱性をレビューして修正する。 | B. プルリクエストとセキュアなコードレビューを実装する。 | C. セキュアなコードレビューを専門とする会社を雇う。 | D. CI/CDパイプラインに静的コードセキュリティ分析ツールを統合する。,"B,D",コードセキュリティの向上にはプルリクエストとセキュアなコードレビューの実装、およびCI/CDパイプラインへの静的コードセキュリティ分析ツールの統合が効果的です。これらは継続的かつ体系的なセキュリティチェックを実現します。,https://www.certlibrary.com/exam/Certified%20Development%20Lifecycle%20and%20Deployment%20Architect
,6,Universal Containers (UC) には、異なるタイムラインで独立したストリームに取り組む複数の開発チームがあります。各ストリームにはコードと設定の異なるリリースがあり、納期も異なります。推奨するブランチポリシーは何ですか？,A. GitHub フロー | B. トランクベースの開発 | C. スクラッチ組織ベースの開発 | D. リーフベースの開発,A,複数チームが異なるタイムラインで独立した作業ストリームに取り組む場合、GitHub Flowが推奨されます。各ストリームに独立したブランチを持ち、完成したら統合するモデルが適しています。,https://www.certlibrary.com/exam/Certified%20Development%20Lifecycle%20and%20Deployment%20Architect
,7,Universal Containers (UC) は、異なるプロジェクトと異なるベンダーを持つ大規模なプログラムに着手しています。UC はセンター・オブ・エクセレンス（CoE）を設立しましたが、異なるプロジェクト間でのスコープクリープに苦労しています。アーキテクトはCoEにどのようなロールを追加することを提案すべきですか？,A. リリースマネージャー | B. スクラムマスター | C. 変更マネージャー | D. プロダクトオーナー,B,大規模プログラムでスコープクリープが問題となっている場合、スクラムマスターをCOEに追加することを推奨します。スクラムマスターはスコープ管理とプロセス遵守を担います。,https://www.certlibrary.com/exam/Certified%20Development%20Lifecycle%20and%20Deployment%20Architect
,8,Cloud Kicks は別のCRMからSalesforceに切り替えています。すべての標準Salesforceオブジェクトの既存データセットがあります。アーキテクトが推奨する最適な読み込み順序はどれですか？,A. 取引先、取引先担当者、リード、製品、商談、商談明細 | B. 取引先、取引先担当者、商談、製品、商談明細、リード | C. リード、取引先担当者、取引先、商談、製品、商談明細 | D. リード、取引先、取引先担当者、製品、商談、商談明細,B,Salesforceへのデータ移行の正しい順序は親から子オブジェクトの順です。取引先→取引先担当者→商談→製品→商談明細→リードが正しいロード順序です。リードは独立したオブジェクトなので最後でも問題ありません。,https://www.certlibrary.com/exam/Certified%20Development%20Lifecycle%20and%20Deployment%20Architect
,9,Universal Containers はデータ量テストを導入して、ライフサイクルの早期に継続的なパフォーマンス欠陥を解決したいと考えています。規制により、本番データを非本番環境で使用することが禁止されています。アーキテクトが推奨できる2つのオプションはどれですか？（2つ選択）,A. 次のSalesforceリリース後に部分コピーサンドボックスを要請する。 | B. 本番データの形状とボリュームを模倣したモックデータを生成する。 | C. 本番環境でQuery Analyzerを使用する。 | D. フルサンドボックスのリフレッシュ後にデータマスキングを実行する。,"B,D",本番データを非本番環境で使用できない場合、本番データの形状・ボリュームを模倣したモックデータ生成と、フルサンドボックスのリフレッシュ後にデータマスキングを実行する方法が推奨されます。,https://www.certlibrary.com/exam/Certified%20Development%20Lifecycle%20and%20Deployment%20Architect
,10,SFDX を使用することの3つのメリットは何ですか？（3つ選択）,A. Execute Anonymous を使用してメタデータをすばやくデプロイできる。 | B. スクラッチ組織を作成できる。 | C. 中央リポジトリからアプリケーションメタデータをインストールできる。 | D. ローカルマシンまたはバージョン管理システムにコードを保存できる。 | E. ネイティブのデプロイメントロールバックツールを使用して以前の状態に素早く戻すことができる。,"B,C,D",SFDXの3つのメリットは、スクラッチ組織の作成、中央リポジトリからのメタデータインストール、ローカルマシン/バージョン管理システムへのコード保存です。Execute Anonymousはメタデータデプロイには使用しません。ネイティブロールバックツールはSFDXの機能ではありません。,https://www.certlibrary.com/exam/Certified%20Development%20Lifecycle%20and%20Deployment%20Architect
