duplicate,#,question,choices,answer,explanation,source
,1,"Ursa Major Solar の営業担当者は、商談に対して間違った価格表が選択されたことを改めて強調しました。
営業担当者は商談の価格表をどのように変更できますか?",A. 選択すると、「予測」タブから価格表を更新できます。 | B. 選択すると、価格表は商談に固定されます。 | C. 変更はデスクトップサイトから行えます。 | D. モバイルアプリから変更できます。,C,"変更はデスクトップサイトから、商談ページの関連製品リストにある「一括編集」ボタンを使用して行えます。このボタンを使用すると、複数の製品を一度に編集し、価格表のエントリを変更できます。モバイルアプリではこのボタンはサポートされていないため使用できません。また、オポチュニティに製品が追加された後は、すべての製品を削除しない限り、価格表を変更することはできません。参照:
https://help.salesforce.com/s/articleView?id=sf.opportunity_products_edit.htm&type=5 https://help.salesforce.
com/s/articleView?id=sf.opportunity_products_change_pricebook.htm&type=5",Salesforce.Advanced-Administrator-JPN.v2025-03-07.q119
,2,"管理者は、ブルート フォース パスワード攻撃が組織に対して使用されているかどうかを判断したいと考えています。ブルート フォース攻撃とは、短時間に複数のパスワードの組み合わせが試行される攻撃です。
管理者は詳細情報をどこで探すべきですか?",A. ログインフォレンジック | B. 接続されたアプリの OAuth の使用 | C. イベント マネージャー | D. ユーザー フィールド履歴の追跡,A,"正解は A です。

管理者がブルートフォース攻撃（短時間に多数のパスワード試行が行われる攻撃）を受けているかどうかを判断するために確認すべき場所は、「ログインフォレンジック (Login Forensics)」 です。

解説
A. ログインフォレンジック (Login Forensics):

正解です。 ログインフォレンジックは、Salesforce Shield の「イベントモニタリング」の一部として提供される機能で、ログインイベントに関する重要な統計データを提供します。

具体的には、以下のような情報を追跡・特定できます：

指定期間あたりのユーザーごとの平均ログイン回数。

平均回数を上回るログインを行ったユーザー（ブルートフォース攻撃の兆候）。

営業時間外のログイン。

不審なIPアドレス範囲からのログイン。

これにより、通常とは異なる大量のログイン試行が行われていないかを詳細に分析できます。

他の選択肢が不適切な理由
B. 接続されたアプリの OAuth の使用 (Connected App OAuth Usage):

これは OAuth で接続されたアプリ（モバイルアプリやデータローダなど）の利用状況やアクセス権を管理する場所であり、パスワードの総当たり攻撃（ログイン画面での失敗履歴）を分析するための主要な場所ではありません。

C. イベント マネージャー (Event Manager):

イベントモニタリングの設定を行ったり、ログを確認するためのインターフェースですが、ブルートフォース攻撃のような特定のパターンを識別するための「詳細情報（統計情報）」を直接提供する機能名としては、より特化した「ログインフォレンジック」が適切です。

D. ユーザー フィールド履歴の追跡 (User Field History Tracking):

これはユーザーレコードの項目（氏名、ロール、プロファイルなど）が「いつ変更されたか」を記録するものであり、ログインの試行回数や失敗履歴は記録しません。",Salesforce.Advanced-Administrator-JPN.v2025-03-07.q119
,3,"Accountオブジェクトでフィールド履歴追跡を設定した後、AW Computingの管理者は、分析のためにフィールド履歴データを取得したいと考えています。
管理者はこのデータをどのように取得する必要がありますか？",A. アカウントのレポートを作成し、Excelにエクスポートします。 | B. データローダーを使用してアカウント履歴オブジェクトをクエリおよびエクスポートします。 | C. セットアップでデータエクスポートサービスを使用します。 | D. アカウント履歴のリストビューを作成し、[印刷可能ビュー]アクションを使用して印刷します。,B,データローダーを使用してアカウント履歴オブジェクトをクエリし、エクスポートすることで、管理者は分析用にフィールド履歴データを取得できます。データローダーは、CSVファイルを使用してSalesforceのレコードをインポート、エクスポート、挿入、更新、削除、またはアップサートできるツールです。データローダーは大規模なデータセットや複雑なデータ変換に対応可能です。データローダーは、SOQLステートメントを使用して、アカウントのフィールド履歴データを格納するアカウント履歴オブジェクトをクエリし、エクスポートできます。,Salesforce.Advanced-Administrator-JPN.v2025-03-07.q119
,4,"新しいキャンペーン メンバーのスプレッドシートをインポートするリクエストが行われました。システム管理者はデータ インポート ウィザードを開始しましたが、キャンペーン メンバー オブジェクトは選択肢として利用できませんでした。選択として何が原因なのか。
何が原因でこのようなことが起こるのでしょうか?","A. Salesforce,id フィールドは必須ですが、ファイルにありませんでした。 | B. マーケティング ユーザー機能のライセンス割り当てが管理者のユーザー レコードにありません。 | C. インポート ウィザードは、標準オブジェクトの取引先、取引先担当者、およびリードに対してのみ使用できます。 | D. [Compaign Member] オプションは更新でのみ使用できます。",B,"考えられる原因は B. マーケティング ユーザー機能のライセンス割り当てが管理者のユーザー レコードにありません。 です。

理由：

キャンペーンメンバーオブジェクトにデータをインポートするには、インポートを実行するユーザーに「マーケティングユーザー」機能のライセンスが付与されている必要があります。このライセンスがない場合、データインポートウィザードでキャンペーンメンバーオブジェクトが選択肢として表示されない可能性があります。
他の選択肢が適切でない理由：

A: Salesforce ID は通常エクスポートおよび更新時に重要になりますが、新規インポート時に必須というわけではありません。システムは新しいレコードに対して新しい ID を生成します。
C: データインポートウィザードは、取引先、取引先担当者、リードだけでなく、カスタムオブジェクトや他の標準オブジェクトもサポートしています。キャンペーンメンバーもその一つです。
D: キャンペーンメンバーのインポートは、新規レコードの挿入でも利用できます。更新のみに限定されるわけではありません。
したがって、最も可能性の高い原因は、システム管理者のユーザープロファイルにマーケティングユーザーライセンスが付与されていないことです。",Salesforce.Advanced-Administrator-JPN.v2025-03-07.q119
,5,"Ursa Major Solarのユーザーは、さまざまなソースからのデータに基づいてチャートをサポートする複雑なダッシュボードを作成したいと考えています。その一部は、社内の共有ドライブにあります。
管理者は、ユーザーのニーズを満たすためにどの製品を推奨する必要がありますか？",A. Lightningダッシュボードビルダー | B. よりかさばるレポート | C. リストビュー | D. Tableau CRM,D,"Tableau CRMは、Salesforceデータや外部データソースを含む様々なデータソースに基づく、サポートチャート付きの複雑なダッシュボードを作成できる製品です。Tableau CRMは、データをデータセットに保存し、レンズとダッシュボードを使用してデータの探索と可視化を可能にする分析プラットフォームを採用しています。また、人工知能と機械学習機能を使用して、データから洞察を発見し、予測を行うこともできます。Tableau CRMはSalesforceと統合されており、様々なアプリやオブジェクトからアクセス可能です。参照: https://help.salesforce.com/s/articleView?id=sf.bi_overview.htm&type=5 https://help.
salesforce.com/s/articleView?id=sf.bi_data_overview.htm&type=5",Salesforce.Advanced-Administrator-JPN.v2025-03-07.q119
,6,"Cloud Kicks ユーザーが、特定の商談 レコードをクローズしようとすると、「Apex CPU 時間制限を超えました」というエラー メッセージを受け取ったと報告しています。これは、商談 レコードの変更ごと、またはすべてのユーザーに対して発生するわけではありません。
管理者が原因を特定するために推奨される方法は何ですか?",A. ログイン フォレンジックで監視します。 | B. ユーザーのデバッグ ログを有効にします。 | C. セットアップの監査証跡を確認します。 | D. Apex 例外メールアラートの設定,B,"デバッグログは、トランザクションの実行時やユニットテストの実行時に発生するデータベース操作、システムプロセス、エラーを記録します。デバッグログは、各Apexステートメントとトリガーの実行時間を表示することで、Apex CPU時間制限超過エラーの原因特定に役立ちます。参照: https://developer.salesforce.com
/docs/atlas.en-us.apexcode.meta/apexcode/apex_debugging_debug_logs.htm",Salesforce.Advanced-Administrator-JPN.v2025-03-07.q119
,7,"Ursa Major Solarの顧客 レコードには、ユーザーにさまざまな情報と利用可能な機能を提供するための多くのフィールドとLightningコンポーネントがあります。最近、usrrsは、ページの読み込みに時間がかかり、エクスペリエンスに悪影響を及ぼし始めていることに気づきました。
管理者は、どこを改善できるかを診断するために何をすべきですか？",A. セットアップの[環境]セクションにあるデバッグログを確認します。 | B. Lightning AppBuilderツールバーの「分析」をクリックします。 | C. 開発者コンソールからデバッグログを確認します。 | D. 顧客レコードのロード中にApexデバッガーを使用します。,B,"Lightning App Builderツールバーの「分析」機能は、レコードページのパフォーマンスを最適化するツールです。ページ読み込み時間とユーザーエクスペリエンスを改善するための推奨事項と洞察を提供します。どのフィールドやコンポーネントの読み込みに最も時間がかかっているかを特定し、その影響を軽減する方法を提案します。また、ページのパフォーマンスを組織内の他のページやSalesforceのベストプラクティスと比較することもできます。参照:
https://help.salesforce.com/s/articleView?id=sf.lightning_page_optimize.htm&type=5",Salesforce.Advanced-Administrator-JPN.v2025-03-07.q119
,8,"ウルサメジャーソーラーでは、リードがどの惑星から来ているかに応じて、いくつかの異なる惑星チームがリードを処理します。ほとんどのチームは、リードを機能させるためにいくつかのフィールドに入力する必要がありますが、木星チームは、リードがどの月から来ているかなど、追加情報を入力する必要があります。管理者は、惑星に基づいてリード レコードが割り当てられるチームを自動化し、すべてのチームが必要なすべての情報を確実に入手できるようにする必要があります。
これらの要件を満たす2つの機能はどれですか？
2つの答えを選択してください",A. 割り当てルール | B. 検証ルール | C. マッチングルール | D. ワークフロールール,"A,B",このシナリオには2つの要件が含まれており、それぞれに対応する機能を選ぶ必要があります。「惑星に基づいてリードレコードを適切なチームに割り当てる」 $\rightarrow$ 割り当てルール (A)「すべてのチームが必要な情報を確実に入手（入力）できるようにする」 $\rightarrow$ 入力規則 (B)解説A. 割り当てルール (Assignment Rules)正解です。 リード（またはケース）が作成されたときに、特定の条件（例：「惑星 = 木星」）に基づいて、所有者を自動的に特定のユーザーまたはキュー（チーム）に変更する機能です。これにより、手動で割り当てる手間を省けます。B. 検証ルール (Validation Rules / 入力規則)正解です。 「木星チームだけは『月』の情報が必要」という条件付きの必須入力を実現するために使用します。例えば、「惑星が『木星』であり、かつ『月』フィールドが空白の場合にエラーを出す」という式を書くことで、データの入力漏れを防ぎ、必要な情報が確実に入った状態で保存させることができます。他の選択肢が不適切な理由C. マッチングルール (Matching Rules):これは「重複管理」のための機能です（同じリードが二重登録されるのを防ぐ）。チームの割り当てや必須項目の制御には関係ありません。D. ワークフロールール (Workflow Rules):ワークフローでも項目自動更新で所有者を変えることは技術的に可能ですが、リードのルーティングには専用の「割り当てルール」を使うのがベストプラクティスです。また、ワークフローでは「入力の強制（検証）」はできません（保存後に動くため）。,Salesforce.Advanced-Administrator-JPN.v2025-03-07.q119
,9,Cloud Kicksのディストリビューターは、特定のサービス契約に基づいてサポートを受ける資格があります-管理者はSalesforceでこれをどのように表示する必要がありますか？,A. 資格(エンタイトルメント)管理を使用します。 | B. レコードにサービス契約を追加します。 | C. ServiceCloudをオンにします。 | D. 新しいカスタムオブジェクトを作成します。,A,"A. 資格(エンタイトルメント)管理を使用します。

正解です。

エンタイトルメント管理は、Service Cloud の機能の一つで、顧客が 「いつまで」「どのような種類の」サポートを受ける資格があるか を定義・追跡する機能です。

この機能を使用することで、質問にある「サービス契約（Service Contracts）」を作成し、それを特定のエンタイトルメント（サポート権限）とリンクさせることができます。例えば、「電話サポートを24時間受けられる」「Webサポートのみ」といった区別をシステム上で管理できるようになります。",Salesforce.Advanced-Administrator-JPN.v2025-03-07.q119
,10,"Cloud Kicksには、同じオブジェクト上に2つの レコードトリガーフローがあります。1つのフローは、基準が満たされたときに子 レコードを作成します。2番目のレコードトリガーフローは、子レコードが存在するかどうかを確認し、フィールドを更新するための基準に基づいています。更新が必要な子レコードのフィールドは、2番目のレコードトリガー後もnullのままです。
この問題を解決するには、管理者は何をする必要がありますか？",A. 子オブジェクトで新しいレコードトリガーフローを作成して、親レコードのフィールドを更新します。 | B. フィールドを更新するために、作成または編集時にレコードトリガーフローを起動します。 | C. 2つのフローを1つに結合し、フローのどの部分を実行する必要があるかを確認します。 | D. スケジュールフローに流れ込み、フィールドを更新します。,C,C. 2つのフローを1つに結合し、フローのどの部分を実行する必要があるかを確認します。 (Combine the two flows into one and use a decision...)正解です。理由: 現在の構成では、Flow 1（子作成）と Flow 2（子チェック＆更新）がバラバラに存在するため、Flow 2 が Flow 1 よりも 先に、あるいは 同時に 実行されてしまっている可能性があります。その結果、まだ作成されていない子レコードを見つけられず、更新に失敗（nullのまま）しています。解決策: これらを 1つのフローに統合 すれば、フロー内の要素は上から順に実行されます。「1. 子レコードを作成する」 $\rightarrow$ 「2. その結果に基づいてフィールドを更新する」という順序を確実に保証できるため、問題が解決します。,Salesforce.Advanced-Administrator-JPN.v2025-03-07.q119
