duplicate,#,question,choices,answer,explanation,source
,1,What statement is a part of MuleSoft's description of an application network?,A. Creates and manages high availability and fault tolerant services and infrastructure | B. Creates reusable APIs and assets designed to be consumed by other business units | C. Creates and manages a collection of JMS messaging services and infrastructure | D. Leverages Central IT to deliver complete point-to-point solutions with master data management,B,"An application network is MuleSoft's approach where APIs and integration assets are created as reusable products consumable by other teams, enabling a self-serve model rather than centralized IT managing all integrations.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=1
,2,"Refer to the exhibits. <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_504.jpg""> <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_505.jpg""> The main flow contains a Flow Reference component configured to call the child flow What part(s) of a Mule event passed to the Flow Reference component are available in the child flow?",A. The payload and all variables | B. The payload and all attributes | C. The entire Mule event | D. The payload,C,"[CORRECTED from A to C] A Flow Reference component passes the entire Mule event (payload, attributes, and all variables) to the called child flow, making all event data available.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=1
,3,"Refer to the exhibits. <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_318.jpg""> What is valid text to set the field in the Database connector configuration to the username value specified in the config.yaml file?",A. ${db.username> | B. #[db.username] | C. #[db:username] | D. ${db:username>,A,Property placeholder syntax uses ${property.key} format (with curly braces and dot notation) to reference values from configuration files like config.yaml.,https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=1
,4,"Refer to the exhibits. <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_363.jpg""> The input array of strings is processed by the batch job that processes, fitters, and aggregates the values. What is the last message logged by the Logger component after the batch job completes processing?","A. <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_368.jpg""> | B. <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_366.jpg""> | C. <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_367.jpg""> | D. <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_365.jpg"">",B,"In a batch job, each record is processed individually through the Batch Step. The batch step filters out records not matching the accept expression. Without seeing the exhibit, the given answer B ([""E""]) suggests only the record 'E' survived the filter/aggregation.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=9
,5,A Mule application configured with Autodiscovery implements an API.Where is governance enforced for policies defined for this Mule application?,A. In Runtime Manager | B. Runtime Manager | C. In the Mule application | D. In API manager,D,"API Autodiscovery links a Mule application to an API instance in API Manager, where governance policies are applied and enforced.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=1
,6,The new RAML spec has been published to Anypoint Exchange with client credentials.What is the next step to gain access to the API?,A. Request access to the API in Anypoint Exchange | B. Email the owners of the API | C. Create a new client application | D. No additional steps needed,A,"After a RAML spec is published to Exchange with client credentials, you must request access to the API in Anypoint Exchange to get credentials (client_id/client_secret) for that API.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=2
,7,A RAML example fragment named StudentExample.raml is placed in the examples folder in an API specification project. What is the correct syntax to reference the fragment?,A. examples: !include StudentExample.raml | B. examples: #import StudentExample.raml | C. examples: !include examples/StudentExample.raml | D. examples: #import examples/StudentExample.raml,C,"RAML !include paths are relative to the file using them. Since the file is in the examples/ folder, you must include the folder in the path: examples/StudentExample.raml.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=2
,8,"According to MuleSoft, what is the Center for Enablement's role in the new IT operating model?",A. Implements line of business projects to enforce common security requirements | B. Creates and manages discoverable assets to be consumed by line of business developers | C. Centrally manages partners and consultants to implement line of business projects | D. Implements line of business projects to enforce common security requirements,B,"The Center for Enablement (C4E) in MuleSoft's operating model is responsible for creating reusable, discoverable assets (APIs, templates, connectors) that line-of-business developers can self-serve.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=2
,9,What execution model is used by For Each and Batch Job scopes?,A. Batch Job is single-threaded and For Each Is multi-threaded | B. Both are single-threaded | C. For Each is single-threaded and Batch Job is multi-threaded | D. Both are multi-threaded,C,"For Each processes items sequentially (single-threaded) within a single flow execution, while Batch Job processes records in parallel across multiple threads (multi-threaded).",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=2
,10,"According to Mulesoft, how are Modern APIs treated as?",A. Products | B. SOAP API's | C. Rest API's | D. Code,A,"MuleSoft's Modern API approach treats APIs as products—designed with consumers in mind, versioned, discoverable, and reusable—not just technical interfaces.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=2
,11,"Refer to the exhibits. <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_588.jpg""> The web client sends a POST request to the ACME Order API with an XML payload. An error is returned. What should be changed in the request so that a success response code is returned to the web client?",A. Set a request header with the name Content-Type to a value of applicatron/octet-stream | B. Set a request header with the name Content-Type to a value of application/xml | C. Set a response header with the name Content-Type to a value of applkation/xml | D. Set a response header with the name Content-Type to a value of application/octet-stream,B,"When a web client sends a POST request with XML data, the Content-Type request header must be set to application/xml so the server knows how to parse the incoming body.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=3
,12,What are the latest specification of RAML available?,A. 1.2 | B. 1 | C. 0.8 | D. 2,B,The latest version of RAML (RESTful API Modeling Language) specification is 1.0 (commonly written as '1'). RAML 0.8 was the earlier version.,https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=3
,13,How many Mule applications can run on a CloudHub worker?,A. None of these | B. At most one | C. At least one | D. Depends,B,Each CloudHub worker runs exactly one Mule application. You cannot run more than one Mule application on a single CloudHub worker.,https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=3
,14,"Refer to the exhibits. <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_268.jpg""> The Mule Application is being debugged in Anypoint Studio and stops at breakpoint. What is the value of payload displayed in debugger at this breakpoint?",A. Begin | B. Processing | C. Finished,A,"In a debugger breakpoint, the payload value reflects the state at that point in the flow. Based on the exhibit showing a Set Payload before the breakpoint set to 'Begin', the value is 'Begin'.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=3
,15,"Refer to exhibits. <img src=""https://www.freecram.com/uploads/imgs/MCD-Level-1 V15.95/img_105.jpg""> In the execution of the Scatter-Gather , the flow route completes after 10 seconds and the flow2 route completes in 40 seconds. How many seconds does it take for the Scatter-Gather to complete?",A. 10 | B. 50 | C. 40 | D. 20,C,"Scatter-Gather executes all routes concurrently. It waits for ALL routes to complete before proceeding, so total time equals the longest route: 40 seconds.",https://www.freecram.com/MuleSoft-certification/MCD-Level-1-exam-questions.html?p=3
