duplicate,#,question,choices,answer,explanation,source
,1,"規制要件に準拠するために、ユニバーサル ヘルスは、ネットワーク上で送信されるときと保存されているときの両方で、すべての個人識別情報 (PII) を暗号化する必要があります。ユニバーサル ヘルスはデータ監査を完了し、連絡先レコードの 12 フィールド (連絡先名やその他のいくつかの標準フィールドを含む) に PII が含まれる可能性があると判断しました。ユニバーサル ヘルスがコンプライアンスを維持するために必要な 2 つの選択肢はどれですか?
答えを 2 つ選択してください。",A. カスタム Apex トリガを実装し、Apex 暗号クラスを使用して PII データを自動的に暗号化します。 | B. 保存時に暗号化されるように、12 個の各フィールドのフィールド タイプを「テキスト (暗号化)」に更新します。 | C. Salesforce プラットフォームの暗号化を有効にし、暗号化する 12 個の連絡先フィールドを選択します。 | D. Salesforce に入力される前に、外部のサードパーティ暗号化サービスを使用して PII を暗号化します。,"B,C","A. カスタム Apex トリガを実装し、Apex 暗号クラスを使用して PII データを自動的に暗号化します。
不正解です。Apex暗号クラスを使用することで暗号化は可能ですが、管理が複雑になりネイティブ機能ほど便利ではありません。

B. 保存時に暗号化されるように、12 個の各フィールドのフィールド タイプを「テキスト (暗号化)」に更新します。
正解です。暗号化されたテキストフィールドを使用することで、保存時のデータ暗号化を簡単に実現できます。

C. Salesforce プラットフォームの暗号化を有効にし、暗号化する 12 個の連絡先フィールドを選択します。
正解です。プラットフォーム暗号化により、保存時と通信時の暗号化が実現され、規制要件を満たせます。

D. Salesforce に入力される前に、外部のサードパーティ暗号化サービスを使用して PII を暗号化します。
不正解です。サードパーティ暗号化はSalesforce内でのデータ利用を制限し、統合性を損なう可能性があります。",
,2,Universal Containers には大規模なパートナー ネットワークがあり、各パートナーには必要な季節労働者がいます。 アーキテクトは、ユーザー設定をパートナーに統合するためのソリューションをどのように 設計しますか? 2 つの答えを選択してください,A. 各パートナーに委任された外部管理者を割り当てます。 | B. パートナー マネージャーに「ユーザーの変更」権限を付与します。 | C. 外部ユーザーの自己登録を許可します。 | D. ユーザー オブジェクトへの読み取り/書き込みをパートナー マネージャーに与える権限セットを作成します。,"A,C","A. 各パートナーに委任された外部管理者を割り当てます。
正解です。パートナーが独自にユーザー管理を行うためのスケーラブルなアプローチであり、季節労働者管理にも適しています。

B. パートナー マネージャーに「ユーザーの変更」権限を付与します。
不正解です。この権限はセキュリティリスクを伴い、推奨されるソリューションではありません。

C. 外部ユーザーの自己登録を許可します。
正解です。自己登録は大量の季節労働者を迅速に追加でき、管理コストを削減する実用的な方法です。

D. ユーザー オブジェクトへの読み取り/書き込みをパートナー マネージャーに与える権限セットを作成します。
不正解です。このアプローチは他のパートナーのユーザー情報へのアクセスを許す可能性があり、セキュリティ上適切ではありません。",
,3,Universal Containerは、ユーザ入力を受け入れ、結果をユーザに返すことを優先するカスタムVisualforceページを開発しました。ユーザーがSOQLインジェクション攻撃を実行できないようにするには、どの2つの手法を使用する必要がありますか?,A. ユーザー入力内の二重引用符をエスケープします。 | B. SOQL クエリでバインド変数を使用します。 | C. ユーザー入力をサニタイズするには、escapesinglequotes() メソッドを使用します。 | D. コントローラで with Sharing キーワードを使用します。,"B,C","A. ユーザー入力内の二重引用符をエスケープします。
不正解です。二重引用符のエスケープは、JavaScriptやHTMLコンテキストでのセキュリティ対策として有効ですが、SOQLインジェクション防止策としては十分ではありません。

B. SOQL クエリでバインド変数を使用します。
正解です。バインド変数を使用すると、ユーザー入力が直接SOQLクエリに挿入されるのを防ぎ、Salesforceが自動的に値を安全に処理するため、インジェクション攻撃を防止できます。

C. escapesinglequotes() メソッドを使用します。
正解です。escapesinglequotes() メソッドは、ユーザー入力に含まれるシングルクオート（’）をエスケープし、SQL文内で悪用されるリスクを低減します。これにより、入力値が安全に処理されます。

D. コントローラで with Sharing キーワードを使用します。
不正解です。with Sharingキーワードは、データの共有ルールを強制するために使用されますが、SOQLインジェクション攻撃に直接的な防止効果はありません。",
,4,大量の一括データのロードに伴うインポート失敗のリスクを軽減するのに役立つ2つのオプションはどれですか?,A. ユーザーグループ階層を最小限に抑えます。 | B. 共有計算を延期します。 | C. バッチサイズを増やします。 | D. バッチ内の ParentID ごとにレコードをグループ化します。,"B,D","A. ユーザーグループ階層を最小限に抑えます。
不正解です。ユーザーグループ階層は、データの共有計算に影響を与えますが、一括データロード時の失敗リスク軽減に直接寄与しません。階層を最小化することで共有計算の負荷は減少する可能性がありますが、データロード中のタイムアウトやロック競合の防止には効果が薄いです。そのため、この選択肢は適切ではありません。

B. 共有計算を延期します。
正解です。データロード時に共有計算を延期することで、Salesforceがデータ共有ルールをリアルタイムで再計算する負荷を回避できます。一括データロードでは、大量のデータに基づいて共有ルールが更新されるため、計算にリソースを多く消費し、タイムアウトやロード失敗が発生する可能性があります。共有計算を後回しにすることで、パフォーマンスが向上し、ロード失敗のリスクを軽減できます。

C. バッチサイズを増やします。
不正解です。バッチサイズを増やすと、一度に処理するレコード数が増えるため、パフォーマンスが向上する場合があります。しかし、大量データロード時にはAPIの制限やタイムアウトのリスクが高まり、システムリソースを圧迫します。これにより、エラーや失敗の発生率が増加する可能性があるため、この選択肢は不適切です。

D. バッチ内の ParentID ごとにレコードをグループ化します。
正解です。親子関係のあるデータ（例: アカウントとその関連コンタクト）をロードする際、ParentIDごとにグループ化することで、同じ親オブジェクトに関連付けられたレコードが同時に処理されるのを防ぎます。これにより、Salesforceのロックメカニズムによる競合が回避され、データロードの整合性が確保されます。また、ロック競合が少なくなることで、ロードの失敗リスクも低減します。",
,5,Universal Containers のコレクション部門は、Salesforceを使用して取り組みを追跡しています。すべての請求書と請求書品目は Salesforceに保存されます。数量や拡張金額などの請求書品目オブジェクトの詳細は、請求書オブジェクトレベルで要約する必要があり、特定の請求書を表示できるすべてのユーザーは常にすべての請求書品目を見る必要があります。Apex コードを利用しない場合、アーキテクトは Invoice オブジェクトと Invoice Line item オブジェクトの間の関係をどのように作成すればよいでしょうか?,A. 請求書オブジェクトには、請求書品目オブジェクトに対するマスター詳細が必要です。 | B. 請求書品目オブジェクトには請求書オブジェクトへのルックアップが必要です。 | C. 請求書オブジェクトには請求書品目オブジェクトへの内部ジョイントが必要です。 | D. 請求書品目オブジェクトには、請求書オブジェクトに対するマスター詳細が必要です。,D,"A. 請求書オブジェクトには、請求書品目オブジェクトに対するマスター詳細が必要です。
不正解です。関係の方向が誤っています。子オブジェクトである請求書品目にマスター詳細を設定する必要があります。

B. 請求書品目オブジェクトには請求書オブジェクトへのルックアップが必要です。
不正解です。ルックアップ関係では、ロールアップサマリーフィールドを作成できず、要件を満たしません。

C. 請求書オブジェクトには請求書品目オブジェクトへの内部ジョイントが必要です。
不正解です。内部ジョイントはSalesforceの標準的な関係設定ではなく、具体的な解決策にはなりません。

D. 請求書品目オブジェクトには、請求書オブジェクトに対するマスター詳細が必要です。
正解です。マスター詳細関係により、ロールアップサマリーフィールドを使用してデータを集計し、アクセス権の継承も実現します。",
,6,Universal Containers (UC) サービス担当者は、ケースオブジェクト (プライベート OWD) に「すべて表示」があるプロファイルに割り当てられます。サービス担当者が顧客のリクエストに対応するためにすべての関連情報にアクセスできるようにするには、Salesforceアーキテクトが考慮すべき2つの詳細はどれですか？,A. サービス担当者は、親によって管理されている場合、すべてのUC連絡先レコードにアクセスできます。 | B. サービス担当者が親によって管理されている場合、サービス担当者はすべてのUC連絡先レコードにアクセスできません。 | C. 暗黙的な共有により、サービス担当者はすべてのUCアカウントレコードにアクセスできるようになります。 | D. アカウントOWDはプライベートであるため、サービス担当者はすべてのUCアカウントレコードにアクセスできません。,"B,C","A. サービス担当者は、親によって管理されている場合、すべてのUC連絡先レコードにアクセスできます。
不正解です。連絡先はアカウントに関連付けられていますが、OWDがプライベートの場合、暗黙的共有は適用されません。

B. サービス担当者は、親によって管理されている場合、サービス担当者はすべてのUC連絡先レコードにアクセスできません。
正解です。連絡先が「親によって管理される」場合、そのアクセス権は親のアカウントに依存します。OWDがプライベートで、アカウントの共有ルールがない場合、連絡先へのアクセスは制限されます。これにより、サービス担当者がすべての連絡先にアクセスできるわけではありません。

C. 暗黙的な共有により、サービス担当者はすべてのUCアカウントレコードにアクセスできるようになります。
正解です。Parent Implicit Sharing によって、ケースへのアクセス権を持つサービス担当者は、そのケースに関連付けられた親の取引先（Account）に対する参照権を得られます。

D. アカウントOWDはプライベートであるため、サービス担当者はすべてのUCアカウントレコードにアクセスできません。
不正解です。設問文には、アカウントOWDがプライベートであるという明確な記載がありません。そのため、この前提が正しいかどうかは確定できません。暗黙的共有や共有ルールの影響を受ける可能性もあるため、選択肢Dの記述は不正確です。",
,7,ユニバーサル ヘルスは、患者のメモを Salesforceに保存することを計画しています。患者メモは、患者との電話通話を記録するために作成された長いテキストのメモで構成されます。日付監査により、これらのメモには個人を特定できる情報 (PII) および個人健康情報 (PHI) が含まれている可能性があることが判明しました。規制要件では、このデータは保存時も転 送中も暗号化する必要があると規定されています。ユニバーサルヘルスが確実にコンプライアンスを遵守できるようにするために、アーキテクトは何をすべ きでしょうか?,A. アクションは必要ありません。すべての Salesforce データは、Salesforce の標準の信頼対策の一環として保存時に暗号化されます。 | B. Salesforce Shield プラットフォームのデータ暗号化を有効にし、患者メモフィールドを暗号化済みとしてマークします。 | C. 「テキスト (暗号化)」タイプの新しいカスタム フィールドを作成し、患者メモ データを新しいフィールドに移動します。 | D. Apex トリガと Apex Crypto クラスを使用して、Salesforce に保存されるとすぐに患者メモを暗号化します。,B,"A. アクションは必要ありません。すべての Salesforce データは、Salesforce の標準の信頼対策の一環として保存時に暗号化されます。
不正解です。Salesforce標準の保存時暗号化は存在しますが、規制要件のすべてを満たす保証はありません。特に保存時と転送中の包括的暗号化には不十分です。

B. Salesforce Shield プラットフォームのデータ暗号化を有効にし、患者メモフィールドを暗号化済みとしてマークします。
正解です。Salesforce Shieldは保存時および転送中の暗号化を提供し、PIIやPHIデータの保護を徹底します。規制要件を確実に遵守できます。

C. 「テキスト (暗号化)」タイプの新しいカスタム フィールドを作成し、患者メモ データを新しいフィールドに移動します。
不正解です。テキスト(暗号化)型フィールドでは、保存時および転送中の暗号化の要件を満たすことができず、コンプライアンス違反となる可能性があります。

D. Apex トリガと Apex Crypto クラスを使用して、Salesforce に保存されるとすぐに患者メモを暗号化します。
不正解です。カスタム暗号化は、データ保存および転送時の全体的な暗号化を保証せず、メンテナンスや運用の負担も増大します。",
,8,Universal Containers (UC) は Service Cloud を実装しました。ケースオブジェクトには、ケースを (機密) としてマークするフラグフィールドがあります。UC は、このフラグはケースにアクセスできるすべてのユーザーが表示できるが、編集できるのは割り当てられたケース評価者のみであることを要求しました。ケース評価者は、ケースオブジェクトの検索フィールドです。建築家はどうすればこの要件を達成できるでしょうか?,A. 権限セット。 | B. オブジェクトの権限。 | C. カスタム Lightning コンポーネント。 | D. フィールドレベルのセキュリティ。,C,"A. 権限セット
不正解です。権限セットでは動的条件に応じた編集権限の制御ができず、ケース評価者のみ編集可能という要件を満たせません。

B. オブジェクトの権限
不正解です。オブジェクト権限は全フィールドに適用され、特定フィールドに限定した制御はできません。

C. カスタム Lightning コンポーネント
正解です。カスタム Lightning コンポーネントを利用して、ケース評価者かどうかに基づいて編集権限を動的に制御できます。

D. フィールドレベルのセキュリティ
不正解です。フィールドレベルセキュリティはすべてのユーザーに適用され、特定条件に基づく動的制御ができません。",
,9,Universal Containers の財務チームは、通常はアカウントや契約レコードにアクセスする必要がありません。ただし、特定の大きな取引（商談）に関与する場合、税金の計算を支援するためにアクセス権が与えられるケースがあります。この結果、財務チームのメンバーがアカウントおよび連絡先レコードにもアクセスできるようになってしまいました。この状況の原因として考えられる2つの理由を選択してください。,A. アカウントからの暗黙的な共有により、連絡先レコードにアクセスできます。 | B. Opportunity からの暗黙的な共有により、取引先レコードにアクセスできます。 | C. Opportunity からの暗黙的な共有により、連絡先レコードにアクセスできます。 | D. ロール階層によりアカウント レコードにアクセスできます。,"A,B","A. アカウントからの暗黙的な共有により、連絡先レコードにアクセスできます。
正解です。アカウントにアクセス権がある場合、関連する連絡先レコードも暗黙的に共有されます。これは、営業活動や顧客管理の一貫性を保つための設計です。

B. Opportunity からの暗黙的な共有により、取引先レコードにアクセスできます。
正解です。商談（Opportunity）は特定のアカウントに紐づいているため、商談へのアクセス権を持つユーザーは取引先レコードへのアクセスも可能です。

C. Opportunity からの暗黙的な共有により、連絡先レコードにアクセスできます。
不正解です。商談から直接連絡先にアクセス権を付与する仕組みはありません。アクセスは取引先を介して間接的に発生する場合があります。

D. ロール階層によりアカウント レコードにアクセスできます。
不正解です。ロール階層はアクセス拡張のメカニズムですが、財務チームがロール階層の上位にいない限り、アカウントへのアクセスは発生しません。",
,10,"Universal Containersのアーキテクトは、先月作成されたすべてのオープンな商談を表示するリスト
ビューを作成し、このリストビューを特定のユーザーグループに表示したいと考えています。アーキテクトがリストビューを共有するために利用できる 2 つのオプションはどれですか?",A. 公開グループ | B. プロファイル | C. ロール階層と内部下位ロール | D. 手動共有,"A,C","A. 公開グループ
正解です。公開グループは管理者が事前に作成したグループで、リストビューの共有先として効率的です。

B. プロファイル
不正解です。プロファイルはユーザーの権限を設定するためのもので、リストビュー共有対象としては使用できません。

C. ロール階層と内部下位ロール
正解です。ロール階層を利用することで、特定のロールに属するユーザーとその下位ロールにリストビューを共有できます。

D. 手動共有
不正解です。手動共有は特定の個人にリストビューを共有する方法であり、特定のユーザーグループ全体を指定する方法ではありません。",
