duplicate,#,question,choices,answer,explanation,source
,1,"Universal Containers は、通話ベースの応答システムを実装しています。電話の待ち時間が長くなりすぎ、顧客サービスに影響が出ています。経営者は、顧客の待ち時間を短縮し、エージェントが一度により多くの問い合わせを処理できるようにする方法を見つけたいと考えています。
コンサルタントはどの機能を推奨する必要がありますか?",,C,通話待ち時間を短縮し、エージェントがより多くの問い合わせを同時に処理できるようにするには、Salesforce Chat の導入をお勧めします。Chat を使用すると、複数の顧客と同時にリアルタイムでコミュニケーションできるため、通話ベースのサポートの負担が軽減され、カスタマーサービス全体の効率が向上します。,
,2,"Universal Containers は最近、Experience Cloud サイトを実装し、顧客がオンラインでケースを作成および更新できるようにしました。顧客は、自分の代理で作成したケースを含め、連絡先としてリストされているケースにのみアクセスできるようにする必要があります。サポート チームは、要件を満たすためにコンサルタントは何を推奨する必要がありますか?
A. Experience Cloud サイトのユーザーに、連絡先レコードに関連付けられたレコードへのアクセスを許可する共有セット
B. Experience Cloud サイトのユーザーロール階層に基づいてレコードへのアクセスが確実に付与されるようにする共有ルール
C. Case オブジェクトに対する組織全体のデフォルトのパブリック読み取り/書き込み",,A,"この要件を満たすための最適な方法は共有セット (Sharing Set) です。

要件の分析: 顧客は「自分の連絡先 (Contact) が関連付けられている」ケースにのみアクセスできる必要があります。これには、サポート担当者が顧客の代わりに作成したケース（この場合、ケースの所有者はサポート担当者ですが、連絡先は顧客になります）も含まれます。

共有セットの役割: 共有セットは、Experience Cloud サイトの（特に大量のライセンスを持つ）外部ユーザー向けに設計された共有機能です。組織全体のデフォルト（OWD）が「非公開」に設定されているオブジェクト（この場合はケース）に対して、ログインユーザーの 連絡先 または 取引先 レコードへの参照関係に基づいてアクセス権を付与します。

具体的な設定: このシナリオでは、コンサルタントは以下のように共有セットを設定します。

対象プロファイル: 該当する Experience Cloud ユーザーのプロファイル

対象オブジェクト: ケース (Case)

アクセスのマッピング: ユーザーの ContactId が ケースの ContactId と一致するレコードへのアクセスを許可する（アクセスレベルは要件に基づき「参照・更新」）。

他の選択肢が不適切な理由:

B (共有ルール): 共有ルールは、ロール階層や特定の条件に基づいてレコードを共有しますが、ログインしている 個々 のユーザーの連絡先レコードに動的に関連付ける設定は複雑になるか、カスタマーライセンス（ロールを持たないことが多い）では非効率的です。

C (OWD 公開読み取り/書き込み): これを設定すると、すべて の顧客が すべて のケース（他の顧客のケースも含む）を読み書きできてしまい、要件（自分のケースのみ）を完全に満たさず、重大なセキュリティリスクとなります。",
,3,"Cloud Kicks は、エージェントがサービス レベル アグリーメント (SLA) の範囲内で確実に作業できるように、さまざまなレベルのサポートを顧客に提供することを計画しています。
コンサルタントはどの機能を考慮する必要がありますか?
A. 権利
B. ケース管理
C. サービス契約",,A,"この要件の核心は、顧客との約束である**サービスレベルアグリーメント（SLA）をSalesforceのシステム上で定義し、その遵守を徹底させることです。この目的のために設計された機能が「権利（Entitlements）」**です。

A. 権利 (Entitlements) (正解) 🏆
権利管理は、顧客がどのレベルのサポートを受ける資格があるかを定義するための機能です。具体的には、以下のようなルールを設定できます。

サポートの種類: 電話サポート、メールサポートなど。

サポートの量: 月に5件まで、など。

SLAの定義（マイルストーン）: これが最も重要です。「初回応答は1時間以内」「ケースのクローズは8営業時間以内」といった具体的な時間目標（マイルストーン）を設定し、ケースが作成されてからの経過時間を自動で追跡します。期限が近づくとエージェントに警告を表示したり、エスカレーションルールを起動したりできます。これにより、SLA遵守を確実に支援します。

B. ケース管理 (Case Management) (不正解)
ケース管理は、顧客からの問い合わせ（ケース）を記録し、追跡するための基本的な機能です。これはサポートプロセスの土台ですが、ケースオブジェクト自体にはSLAを管理する機能は含まれていません。権利管理は、このケース管理と連携して機能します。

C. サービス契約 (Service Contracts) (不正解)
サービス契約は、顧客との間で交わされた保守契約やサブスクリプションなどを表すオブジェクトです。通常、「この顧客はゴールドプランを契約している」といった情報が記録されます。権利は、このサービス契約に紐づいて、「では、ゴールドプランの具体的なSLAは何か？」を定義します。契約そのものを管理するオブジェクトであり、SLAの実行を直接管理する機能ではありません。",
1,4,"Cloud Kicks は、エージェントがサービス レベル アグリーメント (SLA) の範囲内で確実に作業できるように、さまざまなレベルのサポートを顧客に提供することを計画しています。
コンサルタントはどの機能を考慮する必要がありますか?
A. 権利
B. ケース管理
C. サービス契約",,A,異なるレベルのサポートを提供し、サービスレベル契約（SLA）の遵守を確保するには、エンタイトルメントの活用をお勧めします。エンタイトルメントは、特定のサポートサービスとSLAに対する顧客の権利を定義するため、Cloud Kicksは異なるサポートレベルを効果的に管理・適用し、エージェントが各顧客に適切なレベルのサービスを提供できるようにします。,
,5,"コンサルタントは、ケースがオープンのままの平均日数を示すレポートをどのように設定すればよいですか?
A. Case に数式フィールドを作成して、平均年齢を計算します。
B. 毎日、オープンなケースの数のレポートのスナップショットを作成します。
C. レポートの標準のケース年齢フィールドを使用します。",,C,"Salesforceのケースオブジェクトには、**「経過時間 (Age)」**という標準フィールドが初めから用意されています。このフィールドは、ケースが作成されてから現在（ケースがオープンな場合）またはクローズされるまでの時間を自動的に計算します。

レポートを作成する際に、この**「経過時間」フィールドを列として追加し、その列の集計機能で「平均」**を選択するだけで、オープンなケースの平均日数を簡単に算出できます。

A. Case に数式フィールドを作成して、平均年齢を計算します。(不正解)
数式フィールドは個々のレコードの値を計算するためのものであり、レポートのように複数のレコードをまとめた平均値を算出することはできません。

B. 毎日、オープンなケースの数のレポートのスナップショットを作成します。(不正解)
レポートスナップショットは、特定の時点でのデータを記録し、傾向を分析するためには便利です。しかし、これはオープンなケースの件数を追跡するものであり、それらのケースがオープンであった**平均日数（経過時間）**を直接計算するものではありません。",
,6,"サービスエージェントからは、Lightning サービスコンソールが混雑しすぎて、必要な情報を見つけるのが困難になっているとの報告がありました。コンサルタントは、エージェントのコンソールの使用状況を確認した結果、設定されているすべての機能が必要であると判断しました。
このシナリオを考慮すると、コンサルタントはコンソール ユーザーの効率を向上させるためにどのソリューションを提案すべきでしょうか?
A. キーボード ショートカットをトレーニングします。
B. マクロを準備します。
C. 複数のコンソール レイアウトを作成します。",,C,"#Answers:

C. 複数のコンソール レイアウトを作成します。

#Quick Explanation:

すべての機能が業務に不可欠であっても、一つの画面にすべてを詰め込むと「情報過多」になり、生産性が低下します。複数のコンソール設定（Lightning アプリケーションやレコードページ）を作成し、ユーザーの役割やプロファイルに応じて必要な機能のみを適切に配置することで、画面の混雑を解消しつつ、必要なすべての機能を提供できます。

#Detailed Explanation:

Lightning サービスコンソールは、柔軟なカスタマイズが可能です。しかし、すべてを単一のレイアウトに詰め込むと、エージェントは必要な情報を探すことに時間を費やしてしまいます。

コンサルタントとしてのベストプラクティスは、単一の複雑なコンソールを強制するのではなく、ユーザーの役割や業務要件に合わせて、Lightning アプリケーションの構築やLightning レコードページの割り当てを最適化することです。

コンソールレイアウトの分割: ユーザーの役割（例：ティア1サポート、ティア2サポート）ごとに異なるアプリケーションを作成し、必要なコンポーネント（ユーティリティバー、詳細コンポーネント、関連リストなど）を個別に設定します。

プロファイルごとの割り当て: 特定の機能が必要なユーザーグループに対してのみ、その機能を含むコンソールレイアウトを割り当てます。

Lightning アプリケーション: コンソールアプリケーション自体を複数作成し、用途に応じて切り替え可能にすることで、各エージェントの作業スペースを整理された状態に保ちます。

このように、機能の数は減らさずに、「表示」と「配置」を分けることで、エージェントの認知負荷を軽減させます。

#Reasons for correct and incorrect:

A. キーボード ショートカットをトレーニングします。: 不適切です。キーボード ショートカットは確かに操作速度を向上させますが、本質的な「画面の混雑（視覚的な情報過多）」というUI設計上の問題を解決するものではありません。

B. マクロを準備します。: 不適切です。マクロは定型業務の自動化には非常に有効ですが、コンソールのUIが複雑すぎて情報が見つけにくいという問題を解決する手段ではありません。

C. 複数のコンソール レイアウトを作成します。: 正解です。 業務に必要な機能の総量は維持したまま、役割や文脈に合わせて画面構成を分けることで、各ユーザーにとっての「情報のノイズ」を減らし、業務効率を最大化する最も適切なアプローチです。",
,7,"Universal Containers (UC) は、Service Cloud Messaging を使用して顧客に SMS メッセージを送信することを計画しています。
メッセージは
常に 175 ～ 255 文字の間で指定します。
コンサルタントは、UC がメッセージングに何を使用することを推奨する必要がありますか?
A. SMS ロングコード
B. SMS 拡張
C. SMS ショートコード",,B,"このシナリオで鍵となるのは、メッセージの文字数が常に 175 ～ 255 文字であるという点です。

標準的な SMS (GSM-7 エンコーディング) の 1 メッセージあたりの文字数制限は 160 文字です。

要件では常にこの 160 文字を超えるため、複数のメッセージを 1 つの長いメッセージとして連結して送信する機能（連結 SMS または Long SMS と呼ばれる技術）を使用する必要があります。

Salesforce の文脈、特に日本語の選択肢において「SMS 拡張 (SMS Expansion)」は、この標準の 160 文字を超えるメッセージ（連結 SMS）を扱う機能を指します。Salesforce Help でも「拡張されたロングコードまたはショートコード SMS チャネル」といった表現が使われており、標準を超える機能であることを示しています。

A (SMS ロングコード) と C (SMS ショートコード) は、メッセージを送信するための「番号の種類」です。どちらの番号タイプも連結 SMS（160 文字を超えるメッセージ）を送信すること自体は可能ですが、要件の「175 ～ 255 文字」という 長さ に直接対応する機能名は「SMS 拡張」です。",
,8,"Cloud Kicks は、Experience Cloud の顧客がケースの作成と追跡、今後の製品発表の確認、共通の関心を持つ他の顧客との交流に使用できる、安全なブランド化されたモバイル アプリを作成したいと考えています。
コンサルタントはどのモバイル開発オプションを推奨すべきですか?
A. Apple 用と Android 用の 2 つのカスタム モバイル アプリを作成します。
B. コミュニティ ユーザーが Web ブラウザを通じてサイトにアクセスできることを説明します。
C. Salesforce Mobile Publisher を使用して、Apple と Android の両方に共通のアプリケーションを作成します。",,C,Experience Cloud のお客様向けに、安全でブランド化されたモバイルアプリを作成するには、Salesforce Mobile Publisher の活用をお勧めします。このツールを使用すると、Apple と Android の両方のデバイスに対応した統合モバイルアプリを作成でき、お客様がブランドとのエンゲージメント、ケースの追跡、コミュニティとの交流をシームレスに行うことができます。,
,9,"Universal Containers は、サービス契約に基づいてさまざまなサービス レベルを顧客に提供します。顧客サービス担当副社長は、Service Cloud を使用して、ケースが特定の段階に達していない時期を追跡し、それに応じて上級管理者に警告を発したいと考えています。
この要件に対処するためにコンサルタントはどの機能を推奨する必要がありますか?
A. レポートとダッシュボード
B. 権利とマイルストーン
C. サービス契約",,B,"この要件の核心は、顧客とのサービスレベルアグリーメント（SLA）に基づいて、ケースの対応時間を監視し、遅延が発生しそうな場合や発生した場合に自動的にアクション（警告など）を起こすことです。これを実現するために設計された機能が、まさに「権利とマイルストーン」です。

A. レポートとダッシュボード (不正解)
レポートとダッシュボードは、遅延しているケースを事後的に可視化するためには役立ちます。しかし、プロセスをリアルタイムで追跡し、遅延が発生する前やその瞬間に警告を発するような、能動的な仕組みではありません。

C. サービス契約 (不正解)
サービス契約は、顧客との間で交わされた契約内容（期間、対象製品など）を記録するためのオブジェクトです。「権利」は通常このサービス契約に紐づきますが、SLAの具体的な時間追跡や警告を行う機能は、サービス契約オブジェクト自体にはありません。

B. 権利とマイルストーン (正解) 🏆
これが最も的確なソリューションです。

権利 (Entitlements): 顧客がどのサービスレベル（例: ゴールド、シルバー）を受ける資格があるかを定義します。

マイルストーン (Milestones): 権利プロセス内の具体的な時間目標を設定します。例えば、「初回応答は1時間以内」「ケース解決は24時間以内」といったSLAの各ステップがこれにあたります。

マイルストーンアクション: マイルストーンの期限が近づいた時（警告アクション）や、期限を過ぎた時（違反アクション）に、メールアラートを上級管理者に送信するといった自動アクションを定義できます。

この組み合わせにより、UCの「ケースの進捗を追跡し、遅延があれば管理者に警告する」という要件を、Salesforceの標準機能で完全に満たすことができます。",
,10,"Universal Containers は、新製品と既存製品の定期メンテナンスの両方に対する顧客サポートを提供します。両方のタイプのケースには多くの共通のステージとフィールドがあります。ただし、メンテナンス ケースには、キャプチャする必要がある追加のステージとフィールドがあります。この目的を達成するためにコンサルタントはどの機能を推奨する必要がありますか?
A. 承認プロセス
B. サポート タイプ
C. サポート プロセス",,C,新製品サポートケースの共通ステージとフィールド、そしてメンテナンスケースの追加ステージとフィールドに対応するために、サポートプロセスの実装をお勧めします。サポートプロセスでは、提供されるサポートの種類に応じてケースステージをカスタマイズできるため、各ケースタイプに必要な情報がすべて正確に取得されます。,
