duplicate,#,question,choices,answer,explanation,source
,1,What can a System Administrator specify in the Company Information page?,"A. Business Hours, Translation Settings, Corporate Currency | B. Fiscal Year, Password Policies, Default Time Zone | C. Primary Contact, Chatter Settings, Set Domains | D. Organization Name, Default Time Zone, Default Language",D,,
,2,"Universal Containers is based in San Francisco with sales offices in Tokyo, Japan.
Which step should the System Administrator take to support both Japanese Yen and US Dollars?
Choose 1 answers",A. Activate multiple currencies. | B. Instruct the Tokyo users to update their My Profile page to reflect their location. | C. Set the Default Currency ISO Code to Yen. | D. Set the Currency Locale to Yen.,A,,
,3,"Ursa Major Solar recently enabled the multiple currencies feature.

As a result, which currency will be used as the foundation for all currency conversion rates?",A Personal currency | B Record currency | C Corporate currency | D Active currency,C,,
,4,"An administrator at Ursa Major Solar (UMS) needs to create a new user.

When creating a username, which two considerations need to be taken in to account?

Choose 2 options.",A Username matches to the User's Email address. | B Username needs to be in the format of an Email Address. | C Username must be unique across all Salesforce orgs. | D Username is added to the Active User Log.,"B,C",,
,5,"Salesforce users at Universal Containers complain that global search returns too many records. 
Which two configurations should a System Administrator perform to help users manage search results? 
Choose 2 answers",A. Specify the Keywords and include them into the object's search layout. | B. Reduce the number of records displayed for each object in the Search Results page. | C. Enable Sidebar Search Auto-Complete in the object's search settings. | D. Specify the Search Filter Fields for the object's search layout.,"B,D","In Classic, you can set up filters on an object's lookup search.",
,6,"Ursa Major Solar needs to fulfill the following requirements:
• A custom obiect must be created to capture account survey data.
• Users need the ability to select an account from the survey record and view related surveys on the account record.
Which two actions can an administrator configure to meet these requirements?
Choose 2 answers",A. Put the survey related list on the account page layout. | B. Put the account related list on the survey page layout. | C. Create a lookup relationship field on the account object. | D. Create a lookup relationship field on the survey object.,"A,D",,
,7,"Universal Containers uses a custom object within the product development team. Product development, executives, and System Administrators should be the only users with access to records of this object. Product development needs read/write access to all the records within the object, while the executives should only be able to view the records.

How can the System Administrator configure the security model to meet these requirements?","A Set the Organization-Wide Defaults for the custom object to Private; give the Product Development Profile Modify All for the object; give the Executive Profile View All access. | B Set the Organization-Wide Defaults for the custom object to Public Read Write; Give the Product Development Profile Read, Create, Edit permissions; give the Executive Profile Read Only permissions for that object. | C Set the Organization-Wide Defaults for the custom object to Public Read Write; create a Read Only Sharing Rule to share all records in the object with the Executive Public Group. | D Set the Organization-Wide Defaults for the custom object to Private; add the Executive users to the default team for the object; add the default team to all the records.",B,"Their explanation, which doesn't really make sense: ""Assign default access to Controlled by Parent, Private, Public Read Only, or Public Read/Write. Object permissions specify the base-level access users have to create, read, edit, and delete records for each object. Manage object permissions in permission sets and profiles.""",
,8,"An administrator at Ursa Major Solar is implementing an organization-wide default option for the Account object.

What is a correct option for the administrator in this scenario?",A Public Read/Write/Delete | B Private | C No Access | D Public Read/Write/Transfer,B,"Without any other context, you should default to the most restrictive setting at the org-wide level.",
,9,"Ursa Major Solar has a private sharing model on opportunities. Leadership has asked the administrator to create a new custom object that will track customer payment information and will link to the opportunity. Only those users with access to the opportunity should be able to see the records on the new object.

What should the administrator create to achieve this goal?",A A lookup relationship with a criteria-based sharing rule | B A lookup relationship with profile permissions | C A master-detail relationship with profile permissions | D A master-detail relationship with a criteria-based sharing rule,C,"A master-detail field is how you create a ""child"" relationship between objects.",
,10,"Universal Containers uses a private data access model. Product managers and sales representatives are in different branches of the role
hierarchy.
What should an Administrator do to ensure that product managers can report on opportunities in their product line?",A. Move all product managers to a role below the sales representatives. | B. Create a new role for product managers and sales representatives. | C. Save all opportunity reports in a public folder. | D. Create a sharing rule based on criteria.,D,,
