duplicate,#,question,choices,answer,explanation,source
,1,Northern Trail Outfitters (NTO) is evaluating Experience Cloud for creating an onboarding app for new hires.Which two things should NTO consider when creating the onboarding app? Choose 2 answers,A. Experience Cloud cannot be used for employee apps. | B. Not all Chatter posts inside Chatter groups within the employee app will be available in the main org. | C. Employee apps are only available in Unlimited Edition. | D. Chatter posts related to a record will be available in the employee app as well as the main org.,"B,D",Experience Cloud CAN be used for employee apps (A is false). Chatter posts inside Chatter groups within an employee community are scoped to that community and NOT visible in the main org (B correct). Employee apps are not restricted to Unlimited Edition (C false). Chatter posts on records (record feed) are visible in both the community and the main org because they are tied to the record (D correct).,https://www.freecram.com/Salesforce-certification/EX-Con-101-exam-questions.html?p=1
,2,"The Salesforce Administrator at Ursa Major Solar is trying to create a partner user for their Partner Community that was built using Salesforce Experience Builder. However, the admin is not able to create it from the contact record.What could be two reason causing this issue?Choose 2 answers",A. The Salesforce Administrator is not assigned a role in Salesforce. | B. The Salesforce Administrator is not a member of the Partner Community | C. The account record associated with the contact record is not enabled as a partner. | D. The Salesforce administrator is not marked as a delegated administrator on the partner account.,"A,C","To create a partner user from a contact record: (A) The admin must be assigned a role in Salesforce — admins without a role in the role hierarchy cannot enable partner accounts or create partner users. (C) The account must be enabled as a partner account — without this, 'Enable Partner User' does not appear on the contact. Option B (being a community member) and D (being a delegated admin) are not prerequisites. [CORRECTED from C,D to A,C]",https://www.freecram.com/Salesforce-certification/EX-Con-101-exam-questions.html?p=1
,3,"Northern Trail Outfitters (NTO) offers a new product that is different in North America. EMEA, and Asia Pacific regions. Pages have been created and published for this product. The site manager has applied criteria to ensure that visibility for these product pages are applied as per the requirements for each region.NTO further wants to control the users who see a specific page of this product by setting its visibility.Which three visibility options are available in Experience Cloud? Choose 3 answers",A. None | B. Visible | C. Personal | D. Default | E. Audience,"A,D,E",The three page visibility options in Experience Builder are: (A) None — hidden from all users. (D) Default — follows site's default visibility settings. (E) Audience — visible only to defined audience groups. 'Visible' (B) and 'Personal' (C) are not standard Experience Builder visibility options.,https://www.freecram.com/Salesforce-certification/EX-Con-101-exam-questions.html?p=1
,4,"universal Containers UC maintains multiple customer-facing sites, but only one profile for all customerusers.Ho customer has access to more than one site.which two steps should the UC admin take to grant access to each customer?Choose 2 answers",A. Select a permission set for a given site. | B. Edit the applicable user profile. | C. Create a permission set. | D. Select the profile for a given site.,"A,C",UC has one profile for all customers but needs selective site access. (A) Select a permission set for a given site — permission sets grant site membership. (C) Create a permission set — must first be created then assigned. Editing the profile (B) would affect all users. Selecting the profile for a site (D) alone doesn't enable selective per-user access control.,https://www.freecram.com/Salesforce-certification/EX-Con-101-exam-questions.html?p=1
,5,No More Homelessness (NMH) and DreamHouse Realty (DR)are working to provide free housing to low- income seniors. Social workers at NMH need to access records owned by realtors at DR.What should the Experience Cloud consultant recommend for record sharing?,A. Role Hierarchy | B. Sharing Set | C. Sharing Rule | D. Super User,C,The question asks about sharing settings for a customer community. (C) Sharing Rule is the correct mechanism. Sharing Sets (B) are specifically for Customer Community license users. Super User (D) is for partner communities. Standard customer community sharing uses Sharing Sets and Sharing Rules based on account/contact relationships.,https://www.freecram.com/Salesforce-certification/EX-Con-101-exam-questions.html?p=1
,6,What is the most efficient way that a Salesforce Admin can create a single Experience Cloud Site user from a Contact?,A. Enable the Account as a Customer Account so all Contacts in that Account become Customer users. | B. Email the Contact a link to the Self-Registration page for the site. | C. Use Data Loader to add the Contact in Salesforce as a Customer user. | D. Enable the Contact in Salesforce as a Customer user.,D,"The most efficient way to create a single Experience Cloud user from a contact record is (D) to navigate to the contact record and click 'Enable Customer User' / 'Manage External User'. This single action creates the community user directly from the contact, pre-populating user details. Far more efficient than Setup or Data Loader.",https://www.freecram.com/Salesforce-certification/EX-Con-101-exam-questions.html?p=2
,7,Universal Containers (UC) is planning to create a portal for its global partner network. Users will be assigned a Partner Community license and a role.Which two things should UC keep in mind when setting up partner roles?Choose 2 answers,"A. Role Hierarchy can only be used if all objects have external OWD set to Private. | B. The default limit for the number of roles for portals is 50,000 per org. | C. Unused roles can be deleted. | D. Once created, roles cannot be deleted.","B,D","For UC's global partner portal with role hierarchy for sharing: (B) The default number of partner roles is 3 (Executive, Manager, User) — this is the Salesforce default and key planning consideration. (D) Role hierarchy for external users affects record sharing — partner roles determine which records partners can see based on hierarchy position.",https://www.freecram.com/Salesforce-certification/EX-Con-101-exam-questions.html?p=2
,8,"AW Computing wants to create a site that gives customers access to Knowledge articles and peer-to-peer conversations, with the aim of decreasing the number of calls to its support organization.What should AW Computing do to accomplish this goal?",A. Give access to its internal orgs using Chatter groups | B. Open its Slack implementation to all customers | C. Create a site with the Customer Service template | D. Create a site with the Marketing Microsite template,C,"AW Computing wants customers to access Knowledge articles and peer-to-peer conversations. (C) The Help Center template provides out-of-the-box components for Knowledge article browsing, case submission, and community Q&A. It is purpose-built for customer self-service with Knowledge and community discussion features.",https://www.freecram.com/Salesforce-certification/EX-Con-101-exam-questions.html?p=2
,9,Zephynus Relocation (ZRS) plans to launch a public site. ZRS would like toleverage a topic catalog so that site users can see all the organized topics in one place and easily navigate to any topic or subtopic.Which step is required to set up a topic catalog?,"A. Create at least one subtopic and add the More Topic ink link when editing the navigation menu. | B. Create at least one topic along with its subtopic. | C. Enable Topic Hierarchy and create at least one topic with two subtopics. | D. Create at least one topic and add the More Topics,,,, ;link editing the navigation menu.",C,ZRS wants to leverage a topic catalog so users can browse all organized topics. (C) Add at least one subtopic and include the 'More Topics' link when editing the navigation menu. This enables a full topic catalog browsing experience where public visitors can navigate through all organized topics on the site.,https://www.freecram.com/Salesforce-certification/EX-Con-101-exam-questions.html?p=2
,10,"Ursa Major Solar is creating an employee experience portal.Using audience targeting, how should the Experience designer set it up so that different pages in the portal appear to different departments and roles within those departments?",A. By using Location criteria and specifying which IP address applies to each department and domain | B. By using Profile criteria and selecting the Service profile | C. By using Domain criteria and creating custom domains for each department or role to access the portal | D. By using User criteria and selecting appropriate user fields on CRM objects,D,"UMS wants audience targeting for its employee experience portal. (D) Using location criteria (IP address/domain) is a valid audience targeting criterion in Experience Cloud. Audience targeting supports: user profile attributes, record-based criteria, location-based criteria (IP ranges/domains), and permission sets — allowing different content for employees in different departments or locations.",https://www.freecram.com/Salesforce-certification/EX-Con-101-exam-questions.html?p=2
