duplicate,#,question,choices,answer,explanation,source
,1,UXデザイナーが、Lightning App Builderで作成されたアプリをモバイルフレンドリーにする作業を担当しており、インタラクティブな要素も含めて対応する必要があります。モバイルデバイス上のインタラクティブ要素に対するタッチスクリーンターゲットサイズの最小値はどれくらいにすべきですか？,A. 横24ピクセル × 縦24ピクセル | B. 横44ピクセル × 縦44ピクセル | C. 横64ピクセル × 縦64ピクセル,B,,https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=1
,2,Cloud Kicks は、多くのページで使用される機能的なコンポーネントを必要としており、Lightning Experience のルック＆フィールと一致している必要があります。SLDS（Salesforce Lightning Design System）は一貫性を確保するために何を提供しますか？,A. Experience Lightning コンポーネント | B. コンポーネントブループリント | C. JavaScriptフレームワーク | D. カスタムLightningコンポーネント,B,,https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=1
,3,Cloud Kicks (CK) はパートナーがリードと商談を管理できるようにしています。CKのリレーションシップマネージャーは、パートナーが自分の商談を主要な属性（商談が2週間以内にクローズする場合、または金額が10万ドル以上の場合）でセグメント化して素早く閲覧できるようにしてほしいと要請しました。これを実現するためにExperience Builderではどのアプローチを使用すべきですか？,A. 各主要属性に対してデータテーブルを使用したカスタムLightning Webコンポーネントを作成する。 | B. 各ユーザーが各主要属性のフィルターを作成し、商談のリストビューにリンクできるようにする。 | C. 各主要属性について、パートナーグループ向けに事前にフィルタリングされた商談リストビューを設定する。,C,,https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=1
,4,Cloud Kicks は、カスタムLightning WebコンポーネントのひとつをLightningページの種類に応じて管理者がルック＆フィールを変更できるように修正したいと考えています。どの機能を推奨すべきですか？,A. スタイリングフック | B. 静的リソースとして読み込まれたCSS | C. App Builderスタイリングプロパティ | D. SLDSユーティリティクラス,C,,https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=1
,5,ルックアップ項目にクリック可能なアイコンを含むカスタムコンポーネントを設計する場合、代替（alt）テキストとして何を使用すべきですか？,A. 検索ボタンの画像 | B. 検索 | C. 検索ボタン | D. 虫眼鏡の画像,C,,https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=1
,6,Cloud Kicks のマーケティング開発担当者は、受信したリードを処理する必要があります。設計においては、リードから商談への典型的な流れを理解することが不可欠です。リードを変換したときに通常作成される3つの新しいレコードはどれですか？3つ選んでください。,A. 取引先責任者 | B. 活動 | C. 変換済みリード | D. 取引先 | E. 商談,"A,D,E",,https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=2
,7,UXデザイナーが、スクリーンリーダーを使用したアクセシビリティに最適化されたLightningアプリを作成するよう依頼されました。ページをどのように最適化すべきですか？,A. Lightning Consoleレイアウトに切り替える。 | B. コンポーネントを隣接するタブに配置する。 | C. 同じページにコンポーネントを積み重ねる。 | D. アコーディオンを使用してコンポーネントを整理する。,D,,https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=2
,8,SLDS（Salesforce Lightning Design System）がデザイナーと開発者に提供している機能はどれですか？,A. Lightning Webコンポーネントのライブラリ | B. セマンティックでアクセシブルなコンポーネントマークアップ | C. ES6 JavaScriptモジュールとプラグイン,B,,https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=2
,9,Cloud Kicks のUXデザイナーが、Experience Cloudを使用した同社のウェブサイトリデザインを計画しており、ディスカバリーのガイドを担当します。ディスカバリープロセスの成果物として準備すべきものを3つ選んでください。,A. ユーザーペルソナ | B. ジャーニーマップ | C. インタラクティブプロトタイプ | D. 高レベルワイヤーフレーム | E. 高精度モックアップ,"A,B,D",,https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=2
,10,UXデザイナーが、新しいSalesforceユーザーに適切なオンボーディング体験を提供したいと考えています。使用すべきIn-App Guidanceのカスタマイズを2つ選んでください。,A. プロンプトのスケジュールを指定する | B. プロンプトのテーマをカスタマイズする | C. プロンプトの権限を設定する | D. 最低3ステップを設定する,"A,C",,https://www.freecram.com/Salesforce-certification/User-Experience-Designer-exam-questions.html?p=2
