duplicate,#,question,choices,answer,explanation,source
,1,"NTO は、Salesforce 組織のカスタム オブジェクトから毎日 5,000万件のレコードを抽出する必要があります。NTO は、これらのレコードの抽出中にクエリタイムアウトの問題に直面しています。タイムアウトの問題を回避するには、データアーキテクトは何を推奨する必要がありますか?",A. カスタムの自動番号と数式フィールドを使用し、データを抽出するときにそれを使用してレコードをチャンクします。 | B. レコードを 200 ごとに自動的に分割してデータを抽出する REST API。 | C. ETL ツールを使用してレコードを抽出します。 | D. SF サポートに問い合わせて、クエリのタイムアウト値を増やすように依頼します。,C,"A. カスタムの自動番号と数式フィールドを使用し、データを抽出するときにそれを使用してレコードをチャンクします。
不正解です。手動設定が必要であり、データ量が多い場合には複雑で非効率です。ETLツールを使用する方が自動化されており、スケーラブルな解決策です。

B. レコードを 200 ごとに自動的に分割してデータを抽出する REST API。
不正解です。REST APIには制限があり、大量データの抽出には向いていません。APIコールの制限に達する可能性があり、ETLツールの方が効率的です。

C. ETL ツールを使用してレコードを抽出します。
正解です。ETLツールは、大量のデータを効率的に抽出、変換、ロードするために設計されており、クエリタイムアウトの問題を回避する最適な方法です。

D. SF サポートに問い合わせて、クエリのタイムアウト値を増やすように依頼します。
不正解です。一時的な解決策であり、根本的な問題を解決しません。サポート対応にも時間がかかる可能性があり、効率的ではありません。",【解答・解説付き】Salesforce認定Dataアーキテクト試験対策
,2,ユニバーサルコンテナはSalesforceリード管理を実装しています。UCは複数のソースからリード データを調達しており、リード データを会社概要と位置情報として確実に取得したいと考えています。リードデータにプロファイル情報と位置情報の両方が含まれていることを確認するには、データアーキテクトはどのソリューションを推奨すべきですか?,A. 営業担当者に、入力されている会社プロフィールと位置データを検索するよう依頼します。 | B. レポートを実行して、会社概要と位置データを持たないレコードを特定します。 | C. 外部データプロバイダーを利用して企業プロフィールと位置データを入力します。 | D. Salesforceからデータをエクスポートし、別のチームに送信して会社プロフィールと位置データを入力します。,C,"A. 営業担当者に、入力されている会社プロフィールと位置データを検索するよう依頼します。
不正解です。手動プロセスに依存することは、データの一貫性と正確性を確保するのが難しく、労力がかかりやすいです。

B. レポートを実行して、会社概要と位置データを持たないレコードを特定します。
不正解です。レポートを使ってデータの不足を特定するのは有効ですが、これだけではデータの補完が自動化されないため、追加の手間がかかります。

C. 外部データ プロバイダーを利用して企業プロフィールと位置データを入力します。
正解です。外部データプロバイダーを利用することで、信頼性の高いデータを効率的に取得でき、データの完全性を確保できます。

D. Salesforceからデータをエクスポートし、別のチームに送信して会社プロフィールと位置データを入力します。
不正解です。データをエクスポートして手動で処理する方法は時間がかかり、エラーが発生しやすいため、効率的なソリューションではありません。",【解答・解説付き】Salesforce認定Dataアーキテクト試験対策
,3,Force.com アプリケーションのパフォーマンス テストに関して正確なのは次の 2つの記述のうちどれですか?,A. すべての Force.com アプリケーションは、運用環境だけでなくサンドボックスでもパフォーマンス テストを行う必要があります。 | B. パフォーマンステスト計画を作成し、Salesforce カスタマー サポートに送信する必要があります。 | C. 高度にカスタマイズされたコードまたは大容量のアプリケーションは、パフォーマンス テストを行う必要があります。 | D. サンドボックスでベンチマークされたアプリケーションのパフォーマンスは、本番環境でも期待できます。,"B,C","A. すべての Force.com アプリケーションは、運用環境だけでなくサンドボックスでもパフォーマンステストを行う必要があります。
不正解。サンドボックス環境でのテストは有用ですが、必須ではありません。サンドボックスと本番環境ではパフォーマンスが異なる場合があるため、完全な信頼はできません。

B. パフォーマンステスト計画を作成し、Salesforce カスタマーサポートに送信する必要があります。
正解。特に大規模なアプリケーションやカスタマイズされたコードを使用する場合、パフォーマンステスト計画を作成し、Salesforceのサポートに送信することで適切な支援を受けることが推奨されます。

C. 高度にカスタマイズされたコードまたは大容量のアプリケーションは、パフォーマンステストを行う必要があります。
正解。高度にカスタマイズされたアプリケーションや大規模なデータを扱う場合、パフォーマンスの問題を早期に発見し、対応するためにパフォーマンステストを行うことが重要です。

D. サンドボックスでベンチマークされたアプリケーションのパフォーマンスは、本番環境でも期待できます。
不正解。サンドボックス環境と本番環境のパフォーマンスは必ずしも一致しないため、サンドボックスでのベンチマーク結果が本番環境で再現されるとは限りません。",【解答・解説付き】Salesforce認定Dataアーキテクト試験対策
,4,"ユニバーサル コンテナ (UC) は、従業員の詳細、給与計算、採用活動を管理するために、Salesforce 上に人事アプリケーションを構築したいと考えています。関連データを適切に保存するには、アプリケーションは 45 のカスタム オブジェクトを利用する必要があります。これに加えて、UC では、オンプレミスのアプリケーションから Salesfoce への API 呼び出しが毎日約 20,000件発生すると予想しています。
データアーキテクトは、これらの要件に最も適したどのライセンスタイプを推奨する必要がありますか?",A. サービスクラウド | B. ライトニングプラットフォームスタート | C. ライトニングプラットフォームプラス | D. Lightning 外部アプリの起動,C,"A. サービスクラウド
不正解です。サービスクラウドはカスタマーサポートやサービス業務向けに特化しており、大量のカスタムオブジェクトやAPI呼び出しの要件には対応しません。

B. ライトニングプラットフォームスタート
不正解です。ライトニングプラットフォームスタートは基本的なプラットフォーム機能を提供しますが、カスタムオブジェクトやAPI呼び出しの制限が厳しく、要件を満たせません。

C. ライトニングプラットフォームプラス
正解です。ライトニングプラットフォームプラスは大量のカスタムオブジェクト（45個）と高頻度のAPI呼び出し（毎日20,000件）に対応できるため、要件を満たすのに最適です。

D. Lightning 外部アプリの起動
不正解です。Lightning 外部アプリの起動は外部アプリケーションとの統合に特化していますが、45のカスタムオブジェクトと20,000件のAPI呼び出しには対応しきれません。",【解答・解説付き】Salesforce認定Dataアーキテクト試験対策
,5,"Universal Containers (UC) は、Salesforce内の顧客情報の正確性を懸念しています。彼らは最近、正確であることが証明された顧客データ用に全社規模の信頼できるソース MDM を作成しました。UC は、信頼できるソースと Salesforce に 2,000 万を超える固有の顧客レコードを保有しています。Salesforceのデータが MDMと同一であることを確認するには、アーキテクトは何を推奨する必要がありますか?",A. Salesforce データをExcel に抽出し、信頼できるソースと手動で比較します。 | B. 信頼できるソース データを Salesforce にロードし、Apex バッチジョブを実行して相違点を見つけます。 | C. Data Quality 用の AppExchange パッケージを使用して、Salesforceデータを信頼できるソースと照合します。 | D. Salesforce内のデータをそのままにし、時間の経過とともに自動的に修正されると想定します。,C,"A. Salesforce データを Excel に抽出し、信頼できるソースと手動で比較します。
不正解。2000万以上のレコードを手動で比較するのは非常に非効率で現実的ではありません。手動のプロセスはエラーが発生しやすく、管理が困難です。

B. 信頼できるソース データを Salesforce にロードし、Apex バッチジョブを実行して相違点を見つけます。
不正解。Apexバッチジョブは大量のデータを処理する際にスケーラビリティの問題が発生する可能性があり、2000万以上のレコードには適していません。

C. Data Quality 用の AppExchange パッケージを使用して、Salesforceデータを信頼できるソースと照合します。
正解。AppExchangeパッケージは、大量のデータを効率的に比較し、データの整合性を保つための専用ツールであり、スケーラビリティにも優れています。

D. Salesforce内のデータをそのままにし、時間の経過とともに自動的に修正されると想定します。
不正解。データの正確性を担保するには積極的なデータ管理が必要です。自動修正を期待するのは非現実的で、データの信頼性を損なう可能性があります。",【解答・解説付き】Salesforce認定Dataアーキテクト試験対策
,6,運送および物流会社は、Salesforce の導入以来、Sales Cloud内で多数のレポートを作成してきました。これらのレポートの一部は、会社のコンテナの所在に関する大量のデータを分析しており、ユーザーがレポートを実行しようとするとタイムアウトになり始めています。これらのタイムアウトの問題を回避するために推奨されるアプローチは何ですか?,A. レポート内のレコードのキャッシュを使用するカスタム Visualforceレポートを作成することで、レポートのパフォーマンスを向上させます。 | B. Sales Cloud の既存のレポートを Analytics Cloudに基づく新しいレポートに置き換えることにより、レポートのパフォーマンスを向上させます。 | C. レポートの実行前にデータをプリフェッチする Report オブジェクトの Apexトリガを作成することで、レポートのパフォーマンスを向上させます。 | D. レポートを 1 日に 1回だけ実行するようにスケジュールされたダッシュボードを作成することで、レポートのパフォーマンスを向上させます。,B,"A. レポート内のレコードのキャッシュを使用するカスタム Visualforceレポートを作成することで、レポートのパフォーマンスを向上させます。
不正解。カスタム Visualforce レポートは柔軟ですが、標準機能を超えるパフォーマンス向上を保証するものではなく、メンテナンスも難しいため不適切です。

B. Sales Cloud の既存のレポートを Analytics Cloudに基づく新しいレポートに置き換えることにより、レポートのパフォーマンスを向上させます。
正解。Analytics Cloud（Tableau CRM）は大規模データセットの分析に特化しており、高パフォーマンスのレポート作成が可能です。これによりタイムアウト問題を回避できます。

C. レポートの実行前にデータをプリフェッチする Report オブジェクトの Apexトリガを作成することで、レポートのパフォーマンスを向上させます。
不正解。Apex トリガを使用してデータをプリフェッチする方法は、リアルタイムデータ処理には適しておらず、レポートの実行時のパフォーマンス向上には直接効果がありません。

D. レポートを 1 日に 1回だけ実行するようにスケジュールされたダッシュボードを作成することで、レポートのパフォーマンスを向上させます。
不正解。スケジュールされたダッシュボードは実行頻度を減らすことで負荷を軽減しますが、レポートの実行自体のパフォーマンス問題を根本的に解決するものではありません。",【解答・解説付き】Salesforce認定Dataアーキテクト試験対策
,7,"大手小売企業は最近、自社の CRM ソリューションとして Salesforce を選択しました。次のレコード数があります。
2,500,000アカウント, 25,000,000件の連絡先
最初のパフォーマンステストを実行したときに、データアーキテクトは、レポートとリストビューの応答が非常に遅いことに気付きました。
パフォーマンスの問題を解決するには、データアーキテクトは何をすべきでしょうか?",A. ユーザーにアクセスが許可されたデータのみをロードします | B. 頻繁に検索されるアカウントおよび連絡先オブジェクトのフィールドにカスタムインデックスを追加します。 | C. データのロードを最近作成された 2000 レコードに制限します。 | D. 取引先オブジェクトと連絡先オブジェクトを表すスキニーテーブルを作成します。,B,"A. ユーザーにアクセスが許可されたデータのみをロードします
不正解です。アクセス制御はデータセキュリティには重要ですが、レポートやリストビューのパフォーマンス改善には直接効果がありません。インデックス作成が効果的です。

B. 頻繁に検索されるアカウントおよび連絡先オブジェクトのフィールドにカスタムインデックスを追加します。
正解です。カスタムインデックスは検索パフォーマンスを大幅に向上させます。特に大量のデータを扱う場合、特定フィールドの検索速度が大幅に改善されます。

C. データのロードを最近作成された 2000 レコードに制限します。
不正解です。最近作成されたデータのみに制限することで一時的にパフォーマンスが向上しますが、完全なデータセットの検索には不十分です。インデックス作成の方が効果的です。

D. 取引先オブジェクトと連絡先オブジェクトを表すスキニーテーブルを作成します。
不正解です。スキニーテーブルもパフォーマンス向上に寄与しますが、まずは頻繁に検索されるフィールドにカスタムインデックスを追加することが最も効果的です。",【解答・解説付き】Salesforce認定Dataアーキテクト試験対策
,8,"NTO は、Salesforceを含む企業環境全体に複数のシステムを持ち、顧客記録のバージョンが異なります。Salesforceでは、顧客は連絡先オブジェクトによって表されます。NTO は、次の属性を持つ MDM ソリューションを利用します。
1. MDM ソリューションは、マスター キーを使用して顧客マスターを追跡します。
2. マスター キーは、顧客データが保存されている各外部システムのレコード ID へのマップです。
3. MDMソリューションは重複除外機能を提供するため、信頼できる唯一の情報源として機能します。
データアーキテクトは、Salesforce内でマスターキーのストレージをどのように実装する必要がありますか？",A. マスターキーを Heroku postgres に保存し、同期には Heroku connect を使用します。 | B. 連絡先の検索フィールドを含むマスター キーを保存するカスタム オブジェクトを作成します。 | C. 連絡先のルックアップフィールドを含むマスターキーを保存する外部オブジェクトを作成します。 | D. マスターキーを連絡先オブジェクトに外部 ID として保存します (参照インポート用のフィールド),D,"A. マスターキーを Heroku postgres に保存し、同期には Heroku connect を使用します。
不正解です。Herokuに保存すると同期プロセスが複雑になり、リアルタイム性が欠けるため、運用コストが増加します。

B. 連絡先の検索フィールドを含むマスター キーを保存するカスタム オブジェクトを作成します。
不正解です。カスタムオブジェクトは連絡先との参照管理が複雑で、フィールド間の一貫性とデータ管理の手間が増えます。

C. 連絡先のルックアップフィールドを含むマスターキーを保存する外部オブジェクトを作成します。
不正解です。外部オブジェクトはSalesforce Connectライセンスが必要で、API呼び出しに依存しパフォーマンスが低下し、運用コストが増加します。

D. マスターキーを連絡先オブジェクトに外部 ID として保存します (参照インポート用のフィールド)。
正解です。連絡先オブジェクトに外部IDとしてマスターキーを保存することで、一貫したデータ参照が可能です。ユニークでインデックス付きのフィールドにより、重複排除に適しています。",【解答・解説付き】Salesforce認定Dataアーキテクト試験対策
,9,UCは、営業チームを1つのプラットフォームにまとめるために、Sales Appを世界的に展開しています。UCは、何百万もの機会とアカウントが作成されると予想しており、アプリケーションのパフォーマンスを懸念しています。データの偏りを避けるためにデータアーキテクトが行うべき3つの推奨事項はどれですか？,"A. カスタムオブジェクトを検索するのではなく、選択リストフィールドを使用します。 | B. 1人のユーザーに割り当てるレコードの所有権を10,000件に制限します。 | C. 10000件の商談を1つの取引先に割り当てます。 | D. 1つのアカウントに関連付けられる商談の数を10,000に制限します。 | E. 同じレコードを参照するレコードの関連付けを10000件に制限します。","B,D,E","A. カスタムオブジェクトを検索するのではなく、選択リストフィールドを使用します。
不正解です。
選択リストフィールドの使用は検索の効率を向上させますが、データの偏りを直接防ぐものではなく、要件の主旨とは異なります。

B. 1人のユーザーに割り当てるレコードの所有権を10,000件に制限します。
正解です。
1人のユーザーに過度に多くのレコードを割り当てることはデータの偏りを招き、パフォーマンスの低下につながるため、所有権を分散させることが推奨されます。

C. 10000件の商談を1つの取引先に割り当てます。
不正解です。
一つの取引先に対して多くの商談を割り当てると、データの偏りが生じ、特定の取引先にデータが集中することになります。

D. 1つのアカウントに関連付けられる商談の数を10,000に制限します。
正解です。
一つのアカウントに関連付けられる商談の数を制限することで、データの偏りを防ぎ、システムのパフォーマンスを維持できます。

E. 同じレコードを参照するレコードの関連付けを10000件に制限します。
正解です。
関連付けの数を制限することで、特定のレコードにデータが集中することを防ぎ、全体のパフォーマンスを最適化します。",【解答・解説付き】Salesforce認定Dataアーキテクト試験対策
,10,顧客は評判の高い業界で活動しており、Salesforceの導入を計画しています。Salesforceで維持される顧客情報には次のものが含まれます: 個人を特定できる情報(PII)、地理的位置ごとに整理されたプロファイルのIP制限。財務記録は非公開にし、割り当てられた営業担当者のみがアクセスできるようにする必要があります。また、ユーザーにSalesforceからの情報のエクスポートを許可しないでください。エンタープライズセキュリティでは、アクセスを特定の地域内のユーザーに制限し、ユーザーアクティビティを詳細に監視することが義務付けられています。データアーキテクトが推奨すべき3つのSalesforceシールド機能はどれですか?,A. すべてのユーザーアクティビティを監視するイベント監視 | B. 特定の地域外のユーザーからのSalesforceへのアクセスを制限します。 | C. 営業ユーザーが顧客のPII情報にアクセスできないようにする | D. Salesforceデータのエクスポートを防止するトランザクションセキュリティポリシー | E. Salesforceで保持される機密顧客情報を暗号化します。,"B,D,E","A. すべてのユーザーアクティビティを監視するイベント監視
不正解です。
イベント監視はユーザーアクティビティの詳細な記録を提供しますが、地域外のアクセスを制限することやデータのエクスポートを防ぐ直接の機能は含まれていません。

B. 特定の地域外のユーザーからのSalesforceへのアクセスを制限します。
正解です。
地域ベースの制限を設定することで、指定された地域外からのアクセスを防止し、セキュリティ要件を満たします。

C. 営業ユーザーが顧客のPII情報にアクセスできないようにする
不正解です。
設問の要件では、営業担当者が財務記録にアクセスできるようにする必要があるため、PII情報へのアクセス制限のみでは要件を完全に満たしていません。

D. Salesforceデータのエクスポートを防止するトランザクションセキュリティポリシー
正解です。
トランザクションセキュリティポリシーは、データのエクスポートを制限することができ、情報の外部への漏えいを防ぎます。

E. Salesforceで保持される機密顧客情報を暗号化します。
正解です。
暗号化を使用することで、Salesforce内にある機密情報を保護し、特にPIIや財務情報を安全に維持できます。",【解答・解説付き】Salesforce認定Dataアーキテクト試験対策
