duplicate,#,question,choices,answer,explanation,source
,6,"Data Cloud で対処できる一般的なユースケースはどれですか?
2つの回答を選択してください",A. 顧客データを理解し、それに基づいて行動することで、より関連性の高いエクスペリエンスを実現します。 | B. 一元化された一連のポリシーとプロセスを通じて、エンタープライズ データのライフサイクルを管理します。 | C. 標準化され拡張可能なデータ モデルを使用して、複数のソースからのデータを調和させます。 | D. バックアップと災害対策のための集中システムとして機能し、重要なビジネスデータを保護します。,"A,C","回復。
説明：
Data Cloudは、Salesforceおよび外部ソースを含む多様なデータソースからデータを接続、準備、統合、一元化、クエリ、分析、活用するためのデータプラットフォームです。Data Cloudで対応可能な一般的なユースケースには以下のものが含まれます：
顧客データを理解し、より関連性の高い体験を促進する。Data Cloudは、異なるソースからのデータを統合し、チャネル横断でのアイデンティティを解決することで、顧客の360度ビューを獲得するのを支援します。Data Cloudはまた、顧客セグメンテーション、パーソナライズド体験の創出、インサイトとAIを活用したデータ活用を、あらゆるチャネルで実現するのを支援します。
複数のソースからのデータを標準化され拡張可能なデータモデルで統合する。Data Cloudは、データを活用する前に変換・クリーニングし、拡張・カスタマイズ可能な共通データモデルにマッピングするのを支援します。Data Cloudは、データエンリッチメントやアイデンティティ解決の最適化のため、計算済みインサイトや関連属性を生成する機能も提供します。
他の2つのオプションは、Data Cloudの一般的な使用ケースではありません。Data Cloudはデータガバナンスやバックアップ/災害復旧機能を提供しません。これらの機能は通常、Salesforceの他のソリューションまたは外部ソリューションで処理されます。
参照：
Data Cloudの動作原理を学ぶ
Salesforce Data Cloudについて
プラットフォームのユースケースを発見
一般的なデータ分析のユースケースを理解する",Salesforce.Data-Cloud-Consultant-JPN.v2025-03-28.q66
,16,データクラウドにおける人工知能 (AI) の役割は何ですか?,A. データ検証の自動化 | B. 動的なデータ駆動型管理ダッシュボードの作成 | C. 洞察と予測を通じて顧客とのやり取りを強化 | D. ユースケース用のメールテンプレートの生成,C,"* AIの役割：Salesforce Data Cloudにおいて、人工知能（AI）はデータを活用して洞察と予測を生成し、顧客とのインタラクションを向上させる重要な役割を果たしています。
* 洞察と予測：
AIアルゴリズム： 機械学習アルゴリズムを活用して、大量の顧客データを分析します。
予測分析： 顧客の行動傾向、好み、潜在的な将来の行動など、予測可能な洞察を提供します。
* 顧客体験の向上：
パーソナライゼーション： 顧客のニーズと好みを予測することで、パーソナライズされた体験を創出します。
効率化： 顧客が連絡を取る前に問題を予測し、解決策を提案することで、プロアクティブなカスタマーサービスを実現します。
マーケティング：ターゲティングとセグメンテーションを最適化し、マーケティング活動を最も有望なリードや顧客に集中させます。
* 活用事例：
レコメンドエンジン：過去の行動や好みに基づいて製品やサービスを提案します。
チャーン予測：離反リスクの高い顧客を特定し、リテンション戦略でエンゲージメントを強化します。
* 参照：
Salesforce Data Cloud AI機能
Salesforce AI for Customer Interaction",Salesforce.Data-Cloud-Consultant-JPN.v2025-03-28.q66
,45,"ノーザン トレイル アウトフィッターズはデータ クラウドの実装を希望しており、いくつかのユースケースを念頭に置いています。
Data Cloud に適していると考えられる 2 つのユースケースはどれですか?
2 つの答えを選択してください",A. 顧客のアイデンティティを照合するために、さまざまなソースからデータを取り込んで統合するため | B. クロスチャネル マーケティング メッセージを作成および調整するため | C. 調和されたデータを使用して、顧客とビジネスへの影響をより正確に理解するため | D. 個別のビジネス インテリジェンス ツールと IT データ管理ツールの必要性を排除するため,"A,C","Data Cloudは、Salesforceおよび外部ソースを含む多様なデータソースからデータを接続、準備、統合、統一、クエリ、分析、活用するためのデータプラットフォームです。Data Cloudが適している主なユースケースは以下の通りです：
多様なソースからデータを収集し統合して顧客のアイデンティティを一致させる。Data Cloudは、ストリーミングデータやバッチデータを含むすべてのデータをSalesforceに統合し、共通のデータモデルにマッピングするのを支援します。Data Cloudは、異なるチャネルやソース間の顧客IDを解決し、統一された顧客プロファイルを作成する支援も可能です。
調和されたデータを活用して、顧客とビジネスへの影響を正確に理解する。Data Cloudは、データを活用する前に変換・クリーニングを行い、計算されたインサイトや関連属性でデータを豊かにする支援が可能です。Data Cloudは、データに基づくセグメントやオーディエンスを作成し、任意のチャネルでアクティベートする支援も可能です。Data Cloudは、AIを活用して顧客の行動や結果を予測する支援も可能です。
他の2つのオプションは、Data Cloudに適したユースケースとは考えられていません。Data Cloudは、クロスチャネルマーケティングメッセージの作成やオーケストレーション機能を提供しません。これは通常、Marketing Cloudなどの他のSalesforceソリューションで処理されます。Data Cloudは、ビジネスインテリジェンスやITデータ管理ツールの必要性を排除するものではありません。これらのツールと連携し、その機能を補完するように設計されています。
参照：
Data Cloudの仕組みについて学ぶ
Salesforce Data Cloudについて
プラットフォームのユースケースを発見する
一般的なデータ分析のユースケースを理解する",Salesforce.Data-Cloud-Consultant-JPN.v2025-03-28.q66
,49,Data Cloud はどのようにしてデータのプライバシーとセキュリティを確保しますか?,A. 保存時および転送中のデータを暗号化することで | B. 同意の参照を強制および制御することにより | C. オフサイトサーバーにデータを安全に保存することで | D. データアクセスを許可された管理者に制限することで,A,"* データプライバシーとセキュリティ（データクラウド）：
Salesforce Data Cloudにおいて、データプライバシーとセキュリティの確保は最優先事項です。
参照：
* 主要なセキュリティ対策：
データ暗号化（保管時と転送時）：
データ暗号化により、データが保管中および転送中に不正アクセスから保護されます。
同意設定の管理と制御：
同意管理により、データの利用が顧客の許可と規制要件に準拠するように確保されます。
* セキュリティ対策の実施手順：
データ暗号化：
Salesforce Shieldを使用して、保存中のデータに暗号化を有効化します。
転送中のデータにTLS/SSL暗号化が使用されていることを確認します。
同意管理：
Data Cloud内で同意設定を設定し、適用します。
同意記録を定期的に監査し、更新します。
* 実践的な応用：
例： 金融機関は顧客の財務データを暗号化して保護し、GDPRに準拠するために同意管理を実施しています。",Salesforce.Data-Cloud-Consultant-JPN.v2025-03-28.q66
,83,"Data Cloud はどのようにしてデータのプライバシーとセキュリティを確保しますか?
A. 保存時および転送中のデータを暗号化することで
B. 同意の参照を強制および制御することにより
C. オフサイトサーバーにデータを安全に保存することで
D. データアクセスを許可された管理者に制限することで",,A,"データプライバシーとセキュリティにおけるデータクラウド：
* Salesforce Data Cloudにおいて、データプライバシーとセキュリティの確保は最優先事項です。",Salesforce.Data-Cloud-Consultant-JPN.v2024-09-12.q66
,127,"Data Cloud で対処できる 2 つの一般的なユースケースはどれですか?
2 つの答えを選択してください
A. 顧客データを理解し、それに基づいて行動し、より関連性の高いエクスペリエンスを推進します。
B. 一元化された一連のポリシーとプロセスを通じて企業データのライフサイクルを管理します。
C. 標準化された拡張可能なデータ モデルを使用して、複数のソースからのデータを調和させます。
D. バックアップと災害復旧のための集中システムとして機能することで、重要なビジネス データを保護します。",,"A,C","Data Cloudは、Salesforceおよび外部ソースを含む多様なデータソースからデータを接続、準備、統合、一元化、クエリ、分析、活用できるデータプラットフォームです。Data Cloudで対応可能な主なユースケースは以下の通りです：
* 顧客データを理解し、より関連性の高い体験を提供するためのアクションを実行する。Data Cloudは、異なるソースからのデータを統合し、チャネル横断でのアイデンティティを解決することで、顧客の360度ビューを獲得するのを支援します。Data Cloudは、インサイトとAIを活用して顧客セグメンテーション、パーソナライズド体験の創出、あらゆるチャネルでのデータ活用を支援します。
* 複数のソースからのデータを標準化され拡張可能なデータモデルで調和させる。Data Cloudは、データの利用前に変換・クリーニングを行い、拡張・カスタマイズ可能な共通データモデルにマッピングします。また、計算されたインサイトや関連属性を生成し、データエンリッチメントとアイデンティティ解決の最適化を支援します。
他の2つのオプションは、データクラウドの一般的な使用ケースではありません。データクラウドはデータガバナンスやバックアップおよび災害復旧機能を提供しません。これらの機能は通常、Salesforceの他のソリューションまたは外部ソリューションで処理されます。
参考文献：
* データクラウドの仕組みについて学ぶ
* Salesforceデータクラウドについて
* プラットフォームのユースケースを発見する
* 一般的なデータ分析のユースケースを理解する",Salesforce.Data-Cloud-Consultant-JPN.v2024-09-12.q66
,137,"Northern Trail Outfitters は Data Cloud を実装したいと考えており、いくつかのユースケースを念頭に置いています。
Data Cloud に適していると考えられるユースケースはどれですか?
2つの回答を選択してください
A. さまざまなソースからデータを取り込んで統合し、顧客のアイデンティティを調整する
B. クロスチャネルマーケティングメッセージを作成し、調整する
C. 調和されたデータを使用して、顧客とビジネスへの影響をより正確に理解する
D. ビジネスインテリジェンスとITデータ管理ツールを別々に用意する必要がなくなる",,"A,C","Data Cloud は、Salesforce や外部のさまざまなソース間でデータの接続、準備、調整、統合、クエリ、分析、および操作を行うことができるデータ プラットフォームです。Data Cloud に適していると考えられるユース ケースには次のようなものがあります。
* さまざまなソースからデータを取り込んで統合し、顧客 ID を調整します。Data Cloud は、ストリーミングかバッチかを問わず、すべてのデータを Salesforce に取り込み、共通のデータ モデルにマッピングするのに役立ちます。また、Data Cloud は、さまざまなチャネルやソース間で ID を解決し、顧客の統合プロファイルを作成するのにも役立ちます。
* 調和されたデータを使用して、顧客とビジネスへの影響をより正確に把握します。Data Cloud は、お客様がデータを使用する前に変換およびクレンジングし、計算された洞察と関連属性でデータを充実させるのに役立ちます。また、Data Cloud は、お客様がデータに基づいてセグメントとオーディエンスを作成し、任意のチャネルでアクティブ化できるようにも支援します。Data Cloud は、お客様が AI を使用して顧客の行動と結果を予測できるようにも支援します。
他の 2 つのオプションは、Data Cloud に適したユースケースとは見なされません。Data Cloud には、クロスチャネル マーケティング メッセージを作成および調整する機能はありません。これは通常、Marketing Cloud などの他の Salesforce ソリューションによって処理されます。また、Data Cloud は、ビジネス インテリジェンス ツールや IT データ管理ツールと連携して機能を補完するように設計されているため、個別のビジネス インテリジェンス ツールや IT データ管理ツールが不要になるわけではありません。
参考文献:
* データクラウドの仕組みを学ぶ
* Salesforce Data Cloudについて
* プラットフォームのユースケースを見つける
* 一般的なデータ分析のユースケースを理解する",Salesforce.Data-Cloud-Consultant.v2024-12-02.q93
,187,"データクラウドの主な目的は何ですか?
A. 顧客のゴールデンレコードの提供
B. 販売サイクルと機会の管理
C. マーケティングデータの結果の分析
D. 顧客データの統合と統一",,D,"データクラウドの主な目的:
* Salesforce Data Cloud の主な機能は、さまざまなソースからの顧客データを統合および統一し、各顧客の単一の包括的なビューを作成することです。",Salesforce.Data-Cloud-Consultant.v2024-12-02.q93
,42,"世界的なファッション小売業者は、AMFR、FMFA、APAC 全体でオンライン販売プラットフォームを運営しています。顧客、注文、製品情報のデータ形式は地域によって異なり、コンプライアンス規制では、元のデータ ソースでデータを変更せずに維持することが求められています。また、リアルタイムのパーソナライゼーションと分析のために、顧客プロファイルの統一されたビューも必要です。
これらの要件を考慮すると、企業は受信データ ストリームを標準化およびクレンジングするためにどのような変換アプローチを実装する必要がありますか?",A. ストリーミング データ変換を実装します。 | B. Data Cloud に取り込む前にデータを変換します。 | C. バッチデータ変換を実装します。 | D. Apex を使用してデータを変換およびクレンジングします。,A,"A. ストリーミング データ変換を実装します。 ソースによると、ストリーミング データ変換は「ほぼリアルタイムでデータを変換」するものであり、ソース DLO からターゲット DLO へとデータを書き込みます。これは、1 行のデータに対して動作し、ストリーミング プロセスとして継続的に実行され、新しいデータや変更されたデータをピックアップします。要件には「リアルタイムのパーソナライゼーションと分析」が含まれており、ストリーミング変換はリアルタイムまたはほぼリアルタイムの処理に適しています。また、データは Data Cloud に取り込まれて DLO となった後で変換されるため、元のソースデータは変更されずに維持されます。
B. Data Cloud に取り込む前にデータを変換します。 ソースが示す Data Cloud の標準的なデータ取り込みフローは、まずデータを Data Cloud に取り込み (DSO/DLO の作成)、その後データマッピングや変換を行います。Data Cloud に取り込む前にデータを変換することは、ソースデータが変更されてしまう可能性があり、「元のデータソースでデータを変更せずに維持」というコンプライアンス要件と矛盾する可能性があります。また、Data Cloud の価値の一つは、元の DLO を保持しつつ、それを基にさまざまな DMO を作成できる柔軟性にあるとも考えられます。
C. バッチデータ変換を実装します。 ソースによると、バッチデータ変換は「繰り返し可能なプロセス、スケジュールまたは手動でトリガー可能」であり、「フルリフレッシュ」に使用されると説明されています。これはデータ変換の一つの方法ですが、要件で求められている「リアルタイムのパーソナライゼーションと分析」には、バッチ処理よりもストリーミング処理の方が適しています。
D. Apex を使用してデータを変換およびクレンジングします。 ソース では、Apex が ConnectAPI.CDPQuery Apex クラス として、Data Cloud のデータへのアクセスやクエリ実行のために言及されています。しかし、データ ストリームから取り込まれたデータに対して、標準化やクレンジングのためのデータ変換を実行する主要なアプローチとして Apex が示されているわけではありません。Data Cloud には、データ変換のための組み込みツールやプロセスがあります。
これらの点を考慮すると、顧客、注文、製品情報を標準化およびクレンジングし、元のソースデータを変更せずに維持し、かつリアルタイムの要件を満たすためには、Data Cloud にデータを取り込んだ後に、ストリーミング データ変換を実装する というアプローチが、ソースの情報に最も合致していると考えられます。このアプローチにより、地域ごとに異なる形式のデータを Data Cloud 内で標準化された形式に変換し、統一されたプロファイル作成やリアルタイム分析に活用できるようになります。
したがって、ソースに基づいた回答は A. ストリーミング データ変換を実装します。 となります。
正解は A. ストリーミング データ変換を実装します。",Salesforce.Data-Cloud-Consultant-JPN.v2025-03-28.q66
,107,"Data Cloud は個人の忘れられる権利をどのように処理しますか?
A. すべてのデータ ソース オブジェクトからレコードを削除し、ダウンストリーム データ モデル オブジェクトは次にスケジュールされた取り込み時に更新されます。
B. 指定された個別レコードとその統合個別リンク レコードを削除します。
C. 指定された個人とレコードを、個人データ モデル オブジェクトにマップされたデータ ソース オブジェクトから削除します。
D. 指定された個人と、その個人に関連するデータ モデル オブジェクト/データ レイク オブジェクトからレコードを削除します。",,D,"Data Cloudは、個人の「忘れられる権利」を履行するため、指定された個人およびその個人に関連するすべてのデータモデルオブジェクト/データレイクオブジェクトから個人と関連する記録を削除します。これにより、Data Cloudはデータスペースから個人に関連するすべてのデータを削除します。これには、ソースオブジェクトからのデータ、統合された個人プロファイル、および関連するオブジェクトが含まれます。Data Cloudは、個人とソースレコードをリンクする統合個人リンクレコードも削除します。Data Cloudは、忘れられる権利の請求を処理するためにConsent APIを使用し、完全な削除を保証するために30日、60日、90日後に再処理されます。
他のオプションは、Data Cloudが個人の忘れられる権利を処理する方法の正しい説明ではありません。Data Cloudは、すべてのデータソースオブジェクトからレコードを削除しません。これは、ソースシステムのデータ整合性と可用性に影響を与えるためです。Data Cloudはまた、指定された個人レコードとその統一個人リンクレコードのみを削除しません。これは、ソースレコードと関連レコードがそのまま残るためです。Data Cloudは、個人データモデルオブジェクトにマッピングされたデータソースオブジェクトから指定された個人とレコードのみを削除しません。これは、関連レコードがそのまま残るためです。
参照：
* データ削除または忘れられる権利の請求
* Data Cloudでのデータ削除
* Data CloudでConsent APIを使用する
* Data Cloudにおけるデータとアイデンティティ",Salesforce.Data-Cloud-Consultant-JPN.v2024-09-12.q66
