duplicate,#,question,choices,answer,explanation,source
,1,What are three necessary components for establishing a governance framework? Choose 3 answers,A. Automated Testing | B. Requirements Management | C. Change Control Log | D. Documentation Repository | E. Continuous Integration,"A,C,D","A governance framework requires Automated Testing (A) for quality assurance, a Change Control Log (C) to track approved changes, and a Documentation Repository (D) to record standards and policies. These three components ensure controlled, auditable, and repeatable governance across teams.",https://certshero.com/salesforce/plat-arch-202
,2,Universal Containers' developers are working on a Visualforce page in a sandbox when an administrator adds a new field to Production. Which two approaches could an architect suggest to an administrator that would assist the developers in their development process? Choose 2 answers,"A. Use a Change Set to deploy the changes from Production to the sandbox, to ensure that changes made in production are reflected in the sandbox that the developers are working on | B. Use Salesforce-to-Salesforce to deploy the changes from Production to the sandbox, to ensure that changes made in production are reflected in the sandbox that the developers are working on | C. Manually replicate the same changes in the developer sandbox to ensure that changes made in production are reflected in the sandbox that the developers are working on | D. Refresh the developer sandbox to ensure that changes made in production are reflected in the sandbox that the developers are working on","A,D","A Change Set can push production metadata down to a sandbox (A), ensuring sandbox developers have the latest production changes. Refreshing the developer sandbox (D) copies the current production metadata and data directly into the sandbox. Salesforce-to-Salesforce (B) is for sharing records between orgs, not deploying metadata.",https://certshero.com/salesforce/plat-arch-202
,3,What is the responsibility of an executive sponsor on a project?,A. Communicate project status | B. Determine project methodology | C. Design executive dashboards | D. Approve changes to project scope,D,An executive sponsor's primary responsibility is approving changes to project scope (D). Communicating status (A) is the project manager's role; selecting methodology (B) is a PMO/team decision; designing dashboards (C) is an admin/developer task.,https://certshero.com/salesforce/plat-arch-202
,4,Universal Containers (UC) wants to shorten their deployment time to production by controlling which tests to run in production. UC's Architect has suggested that they run only subsets of tests. Which two statements are true regarding running specific tests during deployments? Choose 2 answers,"A. To run a subset of tests, set the Run Specified Tests test level on the DeployOptions objects and pass it as an argument to deploy() call. | B. run a subset of tests ,set the RunLocalTests test level on the DeployOptions object and pass it as an argument to deploy() call. | C. Specify both test classes and individual test methods that are required to be executed as both are supported in DeployOptions. | D. Specifying the test method is supported in DeployOptions, therefore specify only the test classes that are required to be executed.","A,D","To run a subset of tests, you set the RunSpecifiedTests test level on DeployOptions and pass it to deploy() (A). DeployOptions supports specifying test classes but NOT individual test methods, so only test classes should be specified (D). Option C is incorrect because individual test methods are not supported.",https://certshero.com/salesforce/plat-arch-202
,5,An Architect has been working on a large project for the past 6 months. This project must be live by the end of the current month. Which two planning techniques should the Architect use to ensure all metadata changes deploy smoothly and on time? Choose 2 answers,A. Ensure all code that is being deployed is checked into source control | B. Validate the final deployment package against production prior to go-live | C. Create a new sandbox and perform a test deployment to that environment | D. Upload a change set from sandbox to production as early as possible,"A,B","Checking all code into source control (A) ensures a complete, repeatable deployment package. Validating the final deployment package against production before go-live (B) surfaces issues early. Creating a new sandbox (C) and uploading change sets early (D) are not specifically effective planning techniques for smooth, on-time deployments.",https://certshero.com/salesforce/plat-arch-202
,6,"Universal Containers has automated its deployment process using Metadata API. However, they found that Metadata API doesn't support all the components yet. What should be done to address this?",A. Deploy unsupported components manually before/after deployment. | B. Use AppExchange products to deploy unsupported components. | C. Use change sets for deploying all the unsupported components. | D. Use the force.com IDE for deploying the unsupported components.,A,"When Metadata API does not support certain components, the best practice is to deploy those components manually before or after the automated deployment and document the manual steps. AppExchange, change sets, and Force.com IDE do not solve the root coverage gap in Metadata API.",https://certshero.com/salesforce/plat-arch-202
,7,"Universal Containers has multiple minor and major releases in a year .Minor releases have sample configuration changes, while major releases involve large number of complex code components. What is the deployment tools should an architect recommend for both types of releases?",A. Change sets for minor releases and Force.com IDE for major releases. | B. Change sets for both minor releases and major releases. | C. Change sets for minor releases and metadata API for major releases. | D. Force.com IDE for minor releases and metadata API for major releases.,C,"Change sets are simple and suitable for minor configuration releases. Metadata API (via Ant Migration Tool or Salesforce CLI) is the recommended tool for major releases with large numbers of complex components, enabling automation, scripting, and version control integration.",https://certshero.com/salesforce/plat-arch-202
,8,Universal Containers (UC) has integrated with their on-premise billing system using Salesforce Connect. The data is configured using an External Object in sandbox. UC wants to deploy the external object to production using the Metadata API and would like to know what Metadata types to choose for deployments to production. Which two options are valid metadata types related to deployment of external objects? Choose 2 answers.,"A. In change sets, external objects are included in the External Object component. | B. In the Metadata API, the Custom Object metadata type represents external objects. | C. In the Metadata API, the External Object metadata type represents external objects. | D. In change sets, external objects are included in the custom object component.","B,D","In Metadata API, the CustomObject metadata type represents external objects (B), just as it does for custom objects. In change sets, external objects appear in the Custom Object component (D). There is no separate 'External Object' metadata type in Metadata API or change sets.",https://www.freecram.com/Salesforce-certification/Plat-Arch-202-exam-questions.html?p=2
,9,"Universal Containers is in the process of testing their integration between salesforce and their on-premise ERP systems. The testing team has requested a sandbox with up to 10,000 records in each object to benchmark the integration performance. What is the fastest approach an Architect should recommend?","A. Spin off a partial copy sandbox using a sandbox template with all the objects required for testing the integration. | B. Spin off a Developer pro sandbox, migrate the metadata and load the data using data loader. | C. Spin off a Development sandbox, migrate the metadata and load the data using data loader. | D. Spin off a full copy sandbox with all the objects that are required for testing the integration.",A,"A Partial Copy sandbox with a sandbox template containing the relevant objects provides up to 10,000 records per object and provisions much faster than a Full sandbox. Developer Pro or Developer sandboxes (B,C) require manual data loading with Data Loader which is slower. A Full sandbox (D) takes significantly longer to provision and refresh.",https://www.freecram.com/Salesforce-certification/Plat-Arch-202-exam-questions.html?p=2
,10,Universal Containers has started building a customer Lightning community that contains a few dozen Aura components. The development team lead has come to the Salesforce architect about questions regarding testing the Lightning components.What two knowledge points can the architect pass to the development team lead?Choose 2 answers,"A. There is a $T test helper object that can be used to create the instance of the Lightning component, and it is promise enabled. | B. The testing can be viewed in the lightning.force.com/c/jasminetests.app URL. The page loads and runs Jasmine test and writes pass/fail information to the screen. | C. The testing of the JavaScript part of the Aura component can be tested in the Jest framework and the Apex controllers can be tested using test classes. | D. Install the Lightning test service AppExchange package to enable the Aura component testing.","A,C","The $T (now $A) test helper in Lightning Testing Service creates component instances and is promise-enabled (A). Aura component JavaScript can be tested with Jest via the Lightning Testing Service, and Apex controllers are tested with Apex test classes (C). Option D (installing the LTS AppExchange package) is the setup step, not a knowledge point about testing capabilities.",https://www.freecram.com/Salesforce-certification/Plat-Arch-202-exam-questions.html?p=2
