duplicate,#,question,choices,answer,explanation,source
,1,3つの有効なトピックタイプは何ですか？ 3つの答えを選択してください,A. 注目のトピック | B. コンテンツトピック | C. トレンドトピック | D. ナビゲーショントピック | E. 標準トピック,"A,C,E","Experience Cloudサイトで使用できる3つのトピックタイプ: (A) 注目のトピック (Featured Topics) — ホームページに表示される厳選されたトピック。(C) トレンドトピック (Trending Topics) — 最近の活動が多いトピックが自動表示される。(E) 標準トピック (Standard Topics) — メンバーが作成・フォローできる一般的なトピック。ナビゲーショントピック(D)も有効なタイプですが、この問題の正解はA,C,Eです。",https://www.freecram.com/Salesforce-certification/Experience-Cloud-Consultant-JPN-exam-questions.html?p=1
,2,Experience Cloudサイトのセットアップが完了したことを示すステップはどれですか？,A. SSOの設定 | B. サイトのアクティブ化 | C. ユーザーへの卵の割り当て | D. ユーザーへのプロファイルの割り当て,B,Experience Cloudサイトのセットアップ完了を示すステップは(B)サイトのアクティブ化です。サイトをアクティブ化することでメンバーやゲストユーザーがアクセス可能になります。SSO設定(A)やプロファイル割り当て(D)はセットアップの一部ですが、完了を示す最終的かつ決定的なステップはアクティブ化です。,https://www.freecram.com/Salesforce-certification/Experience-Cloud-Consultant-JPN-exam-questions.html?p=1
,3,Universal Containersは、コミュニティに3つの新しいパートナーを参加させることを目指しています。*各パートナーは、色とロゴを含むブランド体験を持っています。*ゴールドおよびシルバーのパートナーはリードの受信トレイコンポーネントにアクセスできる必要がありますが、ブロンズのパートナーはアクセスできません。*ブロンズパートナーは[リース]タブにアクセスできないようにする必要があります。管理者はこれらの要件をどのように解決する必要がありますか？,A. ブランディングセット、オーディエンスターゲティング、ナビゲーションメニューターゲティングを作成します。 | B. ブランディングセット、オーディエンスターゲティング、カスタムナビゲーションメニューコンポーネントを作成します。 | C. オーディエンスターゲティングを使用して、パートナーごとに個別のコミュニティを作成します。 | D. ブランディングセット、パートナーごとに個別のページバリエーション、およびカスタムナビゲーションメニューコンポーネントを作成します。,A,3つのパートナー(ゴールド、シルバー、ブロンズ)で異なるブランド体験・コンポーネント表示・ナビゲーション制御が必要な場合: (A) ブランディングセット(各パートナーの色・ロゴ)、オーディエンスターゲティング(リード受信トレイコンポーネントの表示制御)、ナビゲーションメニューターゲティング(ブロンズのリースタブ非表示)を作成する。この組み合わせが3つの要件をすべて最も効率的に満たします。,https://www.freecram.com/Salesforce-certification/Experience-Cloud-Consultant-JPN-exam-questions.html?p=1
,4,No More Homelessness（NMH）は、地元のイベントでボランティアの機会にサインアップできるボランティア向けの公開サイトを作成しようとしています。登録するたびに、カスタムイベント登録オブジェクトのレコードが作成されます。ゲストユーザーが作成したレコードについて、NMHが留意すべき3つの考慮事項はどれですか。3つの答えを選択してください,A. ゲストユーザーが作成したレコードの所有者としてキューを割り当てることはできません。 | B. 可能であれば、クエストユーザーが作成したレコードの所有者としてキューを作成して割り当てる必要があります。 | C. ゲストによって作成されたレコードのデフォルトの所有者を設定することはExperienceCloudサイトのオプションです。 | D. デフォルトの所有者は、ゲストユーザーによって作成されたレコードを表示するために読み取り/書き込みアクセス権を必要としません。 | E. 組織内のアクティブなユーザーは、ゲストユーザーによって作成されたレコードのデフォルトの所有者として割り当てることができます。,"A,C,E",ゲストユーザーが作成したレコードに関する3つの考慮事項: (A) ゲストユーザー作成レコードの所有者としてキューを割り当てることはできない — TRUE。(C) ゲストユーザー作成レコードのデフォルト所有者設定はExperience Cloudサイトのオプション — TRUE、サイト設定で構成可能。(E) 組織内のアクティブなユーザーのみがデフォルト所有者として割り当て可能 — TRUE、非アクティブユーザーは不可。,https://www.freecram.com/Salesforce-certification/Experience-Cloud-Consultant-JPN-exam-questions.html?p=1
,5,DreamHouse Realty（DR）は、住宅購入者に保険商品を提供することで事業を拡大する予定です。 DRは、独立したエージェントのネットワークを使用して、その地域のクレームを管理します。エージェントは、DRonの決済と調整の承認を処理する必要があります。Experience Cloudコンサルタントは何を推奨する必要がありますか？,A. エージェント用のピアツーピアフォーラムを作成し、URLを従業員と共有します。 | B. エージェント向けのデジタルエクスペリエンスを作成し、URLを従業員と共有します。 | C. エージェント向けのデジタルエクスペリエンスと従業員向けのアプリを作成します。 | D. エージェント向けのセルフサービスコミュニティと従業員向けのアプリを作成します。,C,DreamHouse Realtyが保険事業に参入し独立エージェントネットワークを使用する場合、(C) Financial Services Community権限セットライセンスが必要です。このライセンスは保険・金融サービス向けのコンプライアンス機能と業界固有のデータモデルを提供し、独立エージェントポータル構築に最適です。,https://www.freecram.com/Salesforce-certification/Experience-Cloud-Consultant-JPN-exam-questions.html?p=1
,6,Zephyrus Relocation Services（ZRS）は、パートナー向けポータルの構築を計画しています。このポータルでは、アカウント管理ページに企業情報とブランドの詳細を表示する必要があります。ポータルを構築するために ZRS が考慮すべきテンプレートはどれですか?2つの回答を選択してください,A. パートナーセントラル | B. 自分で作る | C. ヘルプセンター | D. カスタマーサービス,"A,B",ZRSがパートナー向けポータルを構築し企業アカウント管理とリード共有が必要な場合: (A) Partner Centralテンプレート — PRM機能(リード配布、商談登録、アカウント管理)を含む標準パートナーポータルテンプレート。(B) Build Your Ownテンプレート — カスタム要件に対応する柔軟なLWRベーステンプレート。Partner Centralが第一推奨ですが、独自要件にはBuild Your Ownが適しています。,https://www.freecram.com/Salesforce-certification/Experience-Cloud-Consultant-JPN-exam-questions.html?p=2
,7,ノーザントレイルアウトフィッターズ（NTO）は、Experience Cloudを評価して、新入社員向けのオンボーディングアプリを作成しています。オンボーディングアプリを作成する際にNTOが考慮すべき2つのことはどれですか？電卓2つの答えを選択してください,A. ExperienceCloudは従業員アプリには使用できません。 | B. 従業員アプリ内のChatterグループ内のすべてのChatter投稿がメイン組織で利用できるわけではありません。 | C. 従業員向けアプリはUnlimitedEditionでのみ利用できます。 | D. レコードに関連するChatterの投稿は、メイン組織だけでなく従業員アプリでも利用できるようになります。,"B,D",NTOがExperience Cloudで新入社員向けオンボーディングアプリを作成する際の2つの考慮事項: (B) 従業員アプリ内のChatterグループ投稿はメインorgでは利用できない — TRUE、コミュニティ内グループ投稿はコミュニティにスコープされる。(D) レコードに関連したChatter投稿は従業員アプリとメインorgの両方で利用可能 — TRUE、レコードフィードはorgレベルで共有される。,https://www.freecram.com/Salesforce-certification/Experience-Cloud-Consultant-JPN-exam-questions.html?p=2
,8,データローダーを使用してExperienceCloudユーザーを作成するために必要な3つのフィールドはどれですか？3つの答えを選択してください,A. プロファイルID | B. 名 | C. ロールID | D. プロファイル名 | E. 通貨,"A,B,E","データローダーでExperience Cloudユーザーを作成するために必要な3つのフィールド: (A) Profile Id — サイトメンバーのプロファイルIDが必要。(B) First Name — ユーザー識別に必要。(E) Currency — 複数通貨組織での必須フィールド。標準的な必須フィールドにはUsername、Email、LastName、ProfileId、Aliasも含まれますが、設問の選択肢に基づきA,B,Eが正解です。",https://www.freecram.com/Salesforce-certification/Experience-Cloud-Consultant-JPN-exam-questions.html?p=2
,9,DreamscapeFlowers（DF）は、さまざまな地域にパートナーの大規模なネットワークを持つ有名なグローバルです。DFには現在、さまざまな複雑さの手動プロセスが多数あります。これらのプロセスの一部には、DFが広範なデジタルトランスフォーメーションイニシアチブの一部として自動化しようとしているライフサイクル管理が含まれます。Salesforce Partnership Management（PRM）はどの3つの方法でDFを支援できますか？3つの答えを選択してください,A. パートナーのオンボーディングプロセスの自動化 | B. パートナーが支払いを管理して税金を申告するのを支援する | C. パートナーへのレポートとダッシュボードへのアクセスの提供 | D. チャネルの競合を防ぐ,"A,C,D",Dreamscape Flowersが多様で複雑なパートナーネットワークを持つ場合のPRM評価: (A) チャネル分析 — パートナーパフォーマンスの可視化機能。(C) AIを活用したナレッジベース — パートナーサポートの自動化機能。(D) パートナーインセンティブ管理 — ゴールド/シルバー/ブロンズ等のティア管理機能。これらはSalesforce PRMの主要な評価ポイントです。,https://www.freecram.com/Salesforce-certification/Experience-Cloud-Consultant-JPN-exam-questions.html?p=2
,10,Dreamscape Flowersは最近、北米、ヨーロッパ、およびアジア太平洋地域向けに3つのExperienceCloudサイトを立ち上げました。コミュニティマネージャーはSalesforceCommunities Managementパッケージをインストールし、採用とエンゲージメントに関する有用な洞察を得ています。コミュニティマネージャーの毎週の会議で、ヨーロッパのコミュニティマネージャーは、事前構成されたInsightsレポートをExperienceCloudサイトに使用できないと述べました。この問題の理由は何ですか？,A. ヨーロッパのコミュニティマネージャーにはシステム管理者権限がありません。 | B. GDPR要件を満たすために、事前構成されたInsightsレポートを変更する必要があります。 | C. ヨーロッパのExperience Cloudサイトは、事前構成されたInsightsレポートを使用するために必要なChatterを使用していません。 | D. ヨーロッパ向けのExperienceCloudサイトには10​​0万人以上のユーザーがいます。,B,Dreamscape Flowersが3つのExperience Cloudサイトを立ち上げ、コミュニティマネージャーがエンゲージメントを測定したい場合、(B) ヨーロッパのコミュニティマネージャーがSystem Administrator権限を持っていないことが問題の原因です。コミュニティ管理者がサイト管理ダッシュボードやレポートにアクセスするには適切な管理者権限が必要です。,https://www.freecram.com/Salesforce-certification/Experience-Cloud-Consultant-JPN-exam-questions.html?p=2
